NUMERO;PROMEDIO_UNO;PROMEDIO_DOS;NOTA_EE_DOS;PROMEDIO_TRES;NOTA_MULTIVARIADO;NOTA_FISICA_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;PROMEDIO_SEIS;NAC_SEIS;NOTA_PLINEAL;NOTA_IECONOMICA;NOTA_DISENO;NOTA_METODOS;NOTA_EI_TRES;PROMEDIO_SIETE;CAR_SIETE;NCC_SIETE;NCA_SIETE;NCP_SIETE;NAC_SIETE;NAA_SIETE;NAP_SIETE;EPA_SIETE;NOTA_EMPRENDIMIENTO;VECES_EMPRENDIMIENTO;CREDITOS_EMPRENDIMIENTO;NOTA_GRAFOS;VECES_GRAFOS;CREDITOS_GRAFOS;NOTA_CALIDAD_UNO;VECES_CALIDAD_UNO;CREDITOS_CALIDAD_UNO;NOTA_MERCADOTECNIA;VECES_MERCADOTECNIA;CREDITOS_MERCADOTECNIA;NOTA_ERGONOMIA;VECES_ERGONOMIA;CREDITOS_ERGONOMIA;NOTA_HOMBRE;VECES_HOMBRE;CREDITOS_HOMBRE;NOTA_EI_CUATRO;VECES_EI_CUATRO;CREDITOS_EI_CUATRO;NOTA_EI_CINCO;VECES_EI_CINCO;CREDITOS_EI_CINCO;RENDIMIENTO_OCHO;PROMEDIO_OCHO
446;37.0;33.16666666666666;0.0;34.53125;40.0;32.0;0;22.875;0.0;25.0;0.0;0.0;0.0;27.5;4;17.0;0.0;0.0;0.0;0;30.0;0;2;2;0;1;1;0;2;30.0;1;2;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;2;0;0.0
449;33.8;37.29411764705883;42.0;38.33333333333334;30.0;39.0;49;36.88235294117647;33.0;40.0;50.0;32.0;46.0;38.23529411764706;8;32.0;31.0;46.0;34.0;45;40.8;0;15;15;0;8;8;0;2;47.0;1;2;40.0;1;2;43.0;1;2;33.0;1;2;44.0;1;2;40.0;1;1;39.0;1;2;40.0;1;2;2;37.28571428571428
453;40.8;38.88235294117647;38.0;37.83333333333334;35.0;30.0;40;35.41176470588236;33.0;41.0;50.0;30.0;34.0;36.70588235294117;8;30.0;38.0;40.0;35.0;42;38.13333333333333;0;15;15;0;8;8;0;2;39.0;1;2;38.0;1;2;33.0;1;2;35.0;1;2;43.0;1;2;32.0;1;1;38.0;1;2;44.0;1;2;2;34.92857142857143
455;43.33333333333334;42.05882352941177;45.0;43.88888888888889;40.0;37.0;47;41.05882352941177;38.0;45.0;46.0;40.0;46.0;44.35294117647059;8;41.0;40.0;50.0;41.0;46;46.0;0;15;15;0;8;8;0;2;50.0;1;2;50.0;1;2;45.0;1;2;43.0;1;2;50.0;1;2;44.0;1;1;48.0;1;2;37.0;1;2;3;42.0
475;35.46666666666667;35.64705882352941;38.0;36.58333333333334;27.5;36.0;33;35.35294117647059;35.0;40.0;32.0;38.0;31.0;37.94117647058823;8;30.0;31.0;46.0;35.0;44;36.8;0;15;15;0;8;8;0;2;37.0;1;2;40.0;1;2;32.0;1;2;31.0;1;2;41.0;1;2;40.0;1;1;35.0;1;2;40.0;1;2;2;36.14285714285715
478;32.4;32.35294117647059;31.0;38.02777777777778;30.5;35.0;0;33.91176470588236;35.0;37.0;35.0;41.0;35.0;37.14705882352941;8;33.5;33.0;38.0;38.0;45;39.06666666666667;0;15;15;0;8;8;0;2;42.0;1;2;40.0;1;2;35.0;1;2;30.0;1;2;44.0;1;2;40.0;1;1;42.0;1;2;40.0;1;2;2;37.85714285714285
515;37.13333333333333;39.35294117647059;42.0;35.63888888888889;31.0;48.0;0;36.8235294117647;29.0;41.0;40.0;43.0;38.0;35.41176470588236;8;34.0;22.5;40.0;32.0;43;39.0;1;15;13;2;8;7;1;2;20.5;2;2;43.0;1;2;46.0;1;2;31.0;1;2;47.0;1;2;42.0;1;1;41.0;1;2;43.0;1;2;2;38.78571428571428
516;37.13333333333333;38.23529411764706;50.0;38.22222222222222;35.0;45.0;0;38.35294117647059;37.0;45.0;42.0;47.0;43.0;38.47058823529412;8;27.0;30.0;45.0;38.0;48;41.33333333333334;0;15;15;0;8;8;0;2;38.0;1;2;48.0;1;2;42.0;1;2;41.0;1;2;41.0;1;2;44.0;1;1;42.0;1;2;36.0;1;2;2;39.57142857142857
525;31.15384615384615;31.26666666666667;0.0;28.1875;38.0;31.0;0;29.9;30.0;36.0;0.0;0.0;0.0;19.72727272727273;5;30.0;0.0;13.0;6.0;0;36.0;0;2;2;0;1;1;0;2;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;2;36.0;1;2;0.0;0;1;0.0;0;2;0.0;0;2;0;0.0
526;34.46666666666667;34.35294117647059;39.0;36.6875;35.0;35.0;0;40.5;35.5;37.0;45.0;45.0;34.0;35.47058823529412;8;36.0;40.0;37.0;33.0;31;35.66666666666666;0;15;15;0;8;8;0;2;32.0;1;2;44.0;1;2;35.0;1;2;34.0;1;2;40.0;1;2;41.0;1;1;30.0;1;2;32.0;1;2;2;36.57142857142857
