EPA_DOS;NOTA_TOP;NOTA_PROGB;NOTA_FIS_UNO;NOTA_HIST;LITERATURA_ICFES;NOTA_INT;VECES_TOP;NCA_UNO;IDIOMA_ICFES;NAP_UNO;VECES_HIST;NOTA_EYB;NOTA_DIF;BIOLOGIA_ICFES;NCP_UNO;NOTA_DITO;NAA_DOS;NCA_DOS;CAR_DOS;NOTA_SEM;VECES_PROGB;VECES_INT;CON_MAT_ICFES;VECES_ALGEBRA;NAC_DOS;NAA_UNO;NAP_DOS;NOTA_ALGEBRA;NOTA_CD&C;NCP_DOS;NOTA_ASES;NCC_DOS;VECES_FIS_UNO;NOTA_TEXTOS;QUIMICA_ICFES;FILOSOFIA_ICFES;VECES_ASES;GENERO;VECES_EYB;CREDITOS_ASES;CREDITOS_EYB;CREDITOS_FIS_UNO;CREDITOS_PROGB;CREDITOS_TOP;PROMEDIO_DOS;PROMEDIO_UNO;CREDITOS_INT;RENDIMIENTO_TRES;PROMEDIO_TRES
2;35;50;35;40;58.76;40;1;15.0;39.11;0;1;30;35;44.38;0.0;40;6;17.0;0;40;1;1;59.02;1;6;7;0;30;40;0.0;35;17.0;1;35;48.83;53.52;1;1;1;3;2;3;3;3;37.94117647058823;36.0;3;2.0;36.388888888888886
2;35;35;35;35;58.52;30;1;15.0;52.09;0;1;35;35;46.34;0.0;35;6;17.0;1;35;2;1;49.77;2;6;7;0;30;40;0.0;30;17.0;1;35;47.67;41.86;1;0;1;3;2;3;3;3;33.23529411764706;34.333333333333336;3;2.0;32.77777777777778
2;30;50;34;30;47.18;8;1;15.0;48.43;0;4;35;30;57.84;0.0;30;4;11.0;2;35;1;2;52.15;3;5;7;1;40;30;3.0;0;14.0;1;35;48.83;42.25;0;0;2;3;2;3;3;3;31.142857142857142;33.0;3;2.0;31.22222222222222
2;30;40;30;40;53.5;30;1;15.0;42.2;0;1;35;35;53.11;0.0;35;6;17.0;3;45;3;2;55.63;2;6;7;0;30;40;0.0;35;17.0;1;40;45.27;52.09;3;1;1;3;2;3;3;3;33.23529411764706;36.333333333333336;3;2.0;34.44444444444444
1;30;0;30;40;47.18;17;1;15.0;40.89;0;1;35;30;53.84;0.0;30;3;8.0;3;40;0;3;54.43;3;5;7;2;40;40;6.0;25;14.0;2;35;48.83;39.26;5;1;1;3;2;3;3;3;26.857142857142858;35.333333333333336;3;1.0;25.333333333333332
2;30;35;30;45;47.18;30;2;15.0;49.65;0;1;35;30;50.07;0.0;35;6;17.0;1;45;1;1;47.48;2;6;7;0;30;45;0.0;34;17.0;1;40;55.57;36.82;1;0;1;3;2;3;3;3;32.1764705882353;36.0;3;2.0;35.27777777777778
2;30;30;30;40;55.65;30;1;15.0;49.51;0;1;35;30;46.74;0.0;35;6;17.0;3;40;2;2;53.09;2;6;7;0;35;40;0.0;30;17.0;1;40;51.89;54.45;2;0;1;3;2;3;3;3;30.58823529411765;35.666666666666664;3;2.0;34.333333333333336
2;30;50;35;45;54.66;30;1;15.0;52.09;0;1;40;35;51.96;0.0;40;6;17.0;1;40;1;1;52.06;1;6;7;0;30;40;0.0;30;17.0;1;40;47.67;46.69;2;1;1;3;2;3;3;3;35.588235294117645;37.333333333333336;3;2.0;36.666666666666664
2;30;50;0;40;49.15;0;3;8.0;39.11;2;1;0;25;48.2;7.0;30;2;6.0;1;35;1;0;52.15;5;2;5;0;15;40;0.0;0;6.0;0;40;55.57;41.86;0;1;0;3;2;3;3;3;40.0;29.333333333333332;3;1.0;30.0
2;40;35;30;40;51.43;30;3;15.0;45.31;0;1;0;30;51.63;0.0;30;5;15.0;4;40;1;3;55.73;2;6;7;1;30;40;2.0;36;17.0;3;40;44.7;46.43;3;0;1;3;2;3;3;3;30.176470588235293;34.0;3;1.0;13.933333333333334
2;30;40;30;45;49.09;30;2;15.0;50.67;0;1;40;30;51.63;0.0;40;6;17.0;3;40;1;4;40.15;3;6;7;0;30;40;0.0;30;17.0;2;40;52.03;41.62;1;1;1;3;2;3;3;3;32.94117647058823;36.0;3;2.0;30.444444444444443
2;30;50;35;40;47.18;30;1;15.0;49.65;0;1;35;30;50.07;0.0;40;6;17.0;2;45;1;1;47.48;2;6;7;0;35;45;0.0;35;17.0;2;40;48.83;44.33;2;0;1;3;2;3;3;3;35.88235294117647;37.0;3;2.0;32.72222222222222
2;30;40;30;45;49.15;31;2;15.0;47.21;0;1;45;30;50.07;0.0;40;6;17.0;3;35;1;3;36.42;3;6;7;0;30;45;0.0;30;17.0;1;35;52.16;42.25;4;1;1;3;2;3;3;3;33.705882352941174;35.333333333333336;3;2.0;33.5
2;30;40;35;40;54.66;30;1;15.0;47.21;0;1;40;30;44.41;0.0;30;6;17.0;2;35;1;4;52.06;2;6;7;0;35;45;0.0;30;17.0;2;30;52.59;47.08;1;1;1;3;2;3;3;3;33.8235294117647;33.666666666666664;3;2.0;32.77777777777778
2;30;30;30;45;62.72;30;1;15.0;52.42;0;1;37;30;64.49;0.0;40;6;17.0;2;40;2;3;48.67;3;6;7;0;30;40;0.0;37;17.0;1;40;40.8;52.99;1;1;1;3;2;3;3;3;32.05882352941177;36.0;3;2.0;34.94444444444444
2;30;33;35;40;46.7;31;2;15.0;33.35;0;1;45;30;43.43;0.0;40;6;17.0;3;35;1;4;52.82;2;6;7;0;30;40;0.0;30;17.0;1;35;49.0;34.54;3;0;1;3;2;3;3;3;33.35294117647059;34.333333333333336;3;2.0;34.611111111111114
2;30;45;30;40;62.78;30;1;15.0;45.2;0;1;35;30;44.56;0.0;40;6;17.0;3;40;1;3;53.09;2;6;7;0;30;35;0.0;30;17.0;2;40;46.94;40.37;3;0;1;3;2;3;3;3;33.23529411764706;35.0;3;2.0;34.0
2;30;40;48;35;42.72;17;3;15.0;38.31;0;1;45;30;53.85;0.0;30;5;14.0;3;40;1;3;47.41;7;6;7;1;31;40;3.0;31;17.0;1;40;54.29;42.25;6;1;1;3;2;3;3;3;34.588235294117645;33.53333333333333;3;1.0;24.22222222222222
1;36;8;0;40;47.0;0;1;11.0;41.6;1;1;35;25;34.26;4.0;35;2;5.0;1;40;2;0;53.35;6;3;6;1;30;35;3.0;0;8.0;0;35;41.52;52.09;0;1;1;3;2;3;3;3;25.25;32.333333333333336;3;1.0;20.5
2;38;30;0;45;54.87;0;4;8.0;44.74;2;1;35;24;50.07;7.0;30;3;8.0;3;40;3;0;36.42;7;4;5;1;23;40;3.0;26;11.0;0;35;45.38;39.64;6;1;1;3;2;3;3;3;32.0;31.0;3;2.0;33.0
2;35;50;35;45;52.77;30;2;15.0;43.48;0;1;40;40;46.34;0.0;45;6;17.0;1;45;1;1;54.33;1;6;7;0;35;45;0.0;30;17.0;1;40;50.94;47.08;1;1;1;3;2;3;3;3;36.470588235294116;41.0;3;2.0;38.05555555555556
2;30;40;30;40;47.14;30;2;15.0;43.48;0;1;37;35;45.64;0.0;40;6;17.0;1;40;1;1;50.54;1;6;7;0;30;40;0.0;30;17.0;1;40;45.4;46.04;1;1;1;3;2;3;3;3;32.588235294117645;36.666666666666664;3;2.0;35.166666666666664
2;30;45;30;40;49.15;30;1;15.0;40.89;0;1;40;30;46.32;0.0;35;6;17.0;1;40;3;1;42.39;2;6;7;0;35;40;0.0;30;17.0;1;40;50.5;44.72;1;1;1;3;2;3;3;3;33.8235294117647;35.666666666666664;3;2.0;33.166666666666664
2;30;50;30;45;51.41;35;2;15.0;40.5;0;1;35;30;62.31;0.0;40;6;17.0;1;45;1;1;60.92;2;6;7;0;35;40;0.0;30;17.0;1;40;48.59;52.48;1;1;1;3;2;3;3;3;35.0;37.333333333333336;3;2.0;35.27777777777778
2;35;30;30;45;51.21;30;2;15.0;43.48;0;1;40;30;47.79;0.0;35;6;17.0;3;30;1;3;53.2;2;6;7;0;30;40;0.0;30;17.0;1;35;45.4;50.76;2;0;1;3;2;3;3;3;32.05882352941177;34.0;3;2.0;33.111111111111114
