CON_MAT_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;FILOSOFIA_ICFES;LOCALIDAD;LITERATURA_ICFES;QUIMICA_ICFES;PG_ICFES;PROMEDIO_UNO;NOTA_ALGEBRA;NOTA_DITO;NOTA_TEXTOS;NOTA_CD&C;NCA_UNO;NAA_UNO;NOTA_HIST;NOTA_SEM;NOTA_DIF;NAP_UNO;VECES_HIST;VECES_ALGEBRA;NCP_UNO;PROMEDIO_DOS;EPA_DOS;NOTA_TOP;NOTA_PROGB;NOTA_FIS_UNO;NOTA_INT;VECES_TOP;NOTA_EYB;PROMEDIO_TRES;NOTA_SUELOS;NOTA_POO;NOTA_FIS_DOS;NOTA_ECUA;NCA_TRES;NOTA_FOTO;NOTA_CFJC;VECES_SUELOS;PROMEDIO_CUATRO;NOTA_GEOGEO;NCA_CUATRO;NOTA_PRII;EPA_CUATRO;NOTA_PROB;PROMEDIO_CINCO;NOTAS_SISC;VECES_BD;NOTA_ME;CAR_CINCO;NOTA_CARTO;VECES_CARTO;PROMEDIO_SEIS;NOTA_GEO_FIS;NOTA_L_DOS;NOTA_LEGIC;NOTA_INGECO;VECES_L_DOS;PROMEDIO_SIETE;NOTA_ECONOMET;NOTA_AVAP;NOTA_EI_UNO;PROMEDIO_NUEVE;RENDIMIENTO_NUEVE
58.15;55.64;57.36;1;56.09;5;53.3;49.26;436.36;33.0;30;40;35;35;15.0;7;35;30;30;0;1;1;0.0;36.470588235294116;2;35;50;30;35;1;40;36.22222222222222;35;40;35;34;18.0;35;45;1;36.11764705882353;31;17.0;46;2;30;38.111111111111114;44;1;32;1;46;1;37.266666666666666;30;30;42;37;1;38.625;34;31;43;38.15384615384615;2.0
59.02;39.11;44.38;1;53.52;20;58.76;48.83;411.36;36.0;30;40;35;40;15.0;7;40;40;35;0;1;1;0.0;37.94117647058823;2;35;50;35;40;1;30;36.388888888888886;35;30;30;45;18.0;35;45;1;40.529411764705884;42;17.0;41;2;50;39.44444444444444;43;1;40;0;40;1;39.266666666666666;33;41;35;42;1;38.8125;37;35;46;37.69230769230769;2.0
55.63;42.2;53.11;1;52.09;7;53.5;45.27;405.82;36.333333333333336;30;35;40;40;15.0;7;40;45;35;0;1;2;0.0;33.23529411764706;2;30;40;30;30;1;35;34.44444444444444;30;37;37;35;18.0;36;41;1;36.588235294117645;30;17.0;40;2;39;37.166666666666664;41;1;32;1;44;1;36.666666666666664;31;36;40;43;1;35.75;30;34;37;37.38461538461539;2.0
47.48;49.65;50.07;0;36.82;4;47.18;55.57;383.33;36.0;30;35;40;45;15.0;7;45;45;30;0;1;2;0.0;32.1764705882353;2;30;35;30;30;2;35;35.27777777777778;30;45;38;30;18.0;36;44;1;34.8235294117647;33;17.0;36;2;30;35.388888888888886;38;1;33;2;43;1;39.666666666666664;42;42;37;34;1;41.4375;34;42;47;38.6;2.0
53.09;49.51;46.74;0;54.45;11;55.65;51.89;415.94;35.666666666666664;35;35;40;40;15.0;7;40;40;30;0;1;2;0.0;30.58823529411765;2;30;30;30;30;1;35;34.333333333333336;30;35;30;38;18.0;40;40;2;37.8235294117647;32;17.0;37;2;43;35.05555555555556;36;1;35;0;39;1;37.53333333333333;30;37;39;36;1;39.75;38;36;47;40.8;3.0
52.06;52.09;51.96;1;46.69;8;54.66;47.67;415.3;37.333333333333336;30;40;40;40;15.0;7;45;40;35;0;1;1;0.0;35.588235294117645;2;30;50;35;30;1;40;36.666666666666664;35;45;30;40;18.0;40;40;1;37.94117647058823;37;17.0;40;2;35;39.0;44;1;32;0;44;1;37.733333333333334;37;40;38;30;1;37.6875;38;38;44;39.92307692307692;2.0
55.73;45.31;51.63;0;46.43;20;51.43;44.7;385.46;34.0;30;30;40;40;15.0;7;40;40;30;0;1;2;0.0;30.176470588235293;2;40;35;30;30;3;0;13.933333333333334;11;0;0;25;2.0;34;0;1;30.4;30;5.0;0;2;31;0.0;0;0;0;0;0;0;36.0;0;0;0;0;0;0.0;0;0;0;32.0;2.0
40.15;50.67;51.63;1;41.62;20;49.09;52.03;376.41;36.0;30;40;40;40;15.0;7;45;40;30;0;1;3;0.0;32.94117647058823;2;30;40;30;30;2;40;30.444444444444443;30;33;30;13;15.0;45;35;1;39.416666666666664;38;12.0;35;2;42;28.5;30;2;14;3;37;2;28.8;0;0;38;30;0;22.0;0;22;0;15.0;1.0
47.48;49.65;50.07;0;44.33;10;47.18;48.83;387.28;37.0;35;40;40;45;15.0;7;40;45;30;0;1;2;0.0;35.88235294117647;2;30;50;35;30;1;35;32.72222222222222;30;30;35;38;18.0;30;40;1;36.470588235294116;30;17.0;36;2;45;35.72222222222222;40;1;37;1;38;1;37.2;30;37;38;35;1;37.9375;38;43;43;40.7;3.0
36.42;47.21;50.07;1;42.25;7;49.15;52.16;391.18;35.333333333333336;30;40;35;45;15.0;7;45;35;30;0;1;3;0.0;33.705882352941174;2;30;40;30;31;2;45;33.5;31;35;30;31;18.0;36;42;2;39.529411764705884;38;17.0;39;2;43;36.55555555555556;37;2;31;3;44;1;37.4;30;43;34;36;1;39.4375;37;41;43;42.0;3.0
