CON_MAT_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;FILOSOFIA_ICFES;LOCALIDAD;LITERATURA_ICFES;QUIMICA_ICFES;PG_ICFES;PROMEDIO_UNO;NOTA_ALGEBRA;NOTA_DITO;NOTA_TEXTOS;NOTA_CD&C;NCA_UNO;NAA_UNO;NOTA_HIST;NOTA_SEM;NOTA_DIF;NAP_UNO;VECES_HIST;VECES_ALGEBRA;NCP_UNO;PROMEDIO_TRES;RENDIMIENTO_TRES
60.0;56.0;55.0;0;44.0;7;78.0;59.0;410.0;34.666666666666664;30;39;41;41;15.0;7;34;37;31;0;1;2;0.0;36.611111111111114;2.0
63.0;53.0;69.0;1;60.0;20;63.0;53.0;425.0;39.333333333333336;45;40;40;44;15.0;7;41;41;32;0;1;2;0.0;36.05555555555556;2.0
59.0;60.0;55.0;0;60.0;11;62.0;50.0;417.0;37.46666666666667;37;36;43;42;15.0;7;43;37;32;0;1;2;0.0;39.833333333333336;2.0
64.0;50.0;63.0;0;53.0;4;62.0;67.0;427.0;39.6;35;41;43;43;15.0;7;40;38;40;0;1;1;0.0;47.111111111111114;4.0
60.0;60.0;58.0;0;59.0;20;58.0;67.0;425.0;34.4;30;35;41;40;15.0;7;37;36;31;0;1;1;0.0;35.55555555555556;2.0
56.0;77.0;58.0;0;44.0;8;69.0;46.0;405.0;29.733333333333334;28;34;32;37;7.0;4;39;19;24;3;1;3;8.0;39.0;2.0
63.0;56.0;55.0;0;60.0;4;57.0;56.0;419.0;35.06666666666667;35;32;34;35;15.0;7;37;36;36;0;1;2;0.0;37.44444444444444;2.0
63.0;50.0;63.0;0;60.0;4;54.0;59.0;419.0;30.0;23;35;40;37;8.0;5;34;34;23;2;1;3;7.0;13.0;1.0
64.0;43.0;59.0;0;49.0;19;63.0;47.0;402.0;28.933333333333334;21;34;40;39;8.0;5;31;30;23;2;1;2;7.0;2.0;1.0
60.0;58.0;63.0;0;49.0;16;63.0;52.0;414.0;35.733333333333334;36;39;41;39;15.0;7;38;33;30;0;1;2;0.0;38.0;2.0
64.0;47.0;68.0;1;49.0;20;63.0;55.0;413.0;38.93333333333333;40;42;40;38;15.0;7;42;42;34;0;1;2;0.0;37.5;2.0
55.0;53.0;59.0;0;60.0;4;62.0;56.0;420.0;44.8;47;45;43;41;15.0;7;43;44;46;0;1;1;0.0;43.94444444444444;3.0
64.0;43.0;51.0;1;53.0;10;54.0;52.0;399.0;37.666666666666664;42;44;39;39;15.0;7;37;40;30;0;1;2;0.0;37.666666666666664;2.0
55.0;52.0;68.0;0;53.0;19;62.0;56.0;418.0;34.733333333333334;31;36;40;43;15.0;7;37;35;31;0;1;1;0.0;34.55555555555556;2.0
68.0;39.0;41.0;0;60.0;10;57.0;56.0;396.0;34.8;34;30;37;41;15.0;7;41;31;33;0;2;2;0.0;37.05555555555556;2.0
64.12;68.41;57.23;1;59.25;11;56.32;63.39;411.42;42.2;35;44;41;42;15.0;7;45;38;47;0;1;1;0.0;36.333333333333336;2.0
60.0;77.0;45.0;1;59.0;4;58.0;67.0;410.0;38.93333333333333;37;47;42;45;15.0;7;43;40;31;0;1;2;0.0;35.72222222222222;2.0
63.0;49.0;58.0;1;60.0;13;57.0;47.0;409.0;34.86666666666667;30;39;35;36;15.0;7;40;41;32;0;1;1;0.0;37.166666666666664;2.0
59.0;50.0;51.0;0;60.0;19;69.0;53.0;408.0;40.06666666666667;33;45;42;42;15.0;7;43;40;40;0;1;1;0.0;43.72222222222222;3.0
59.0;56.0;55.0;0;60.0;8;53.0;53.0;401.0;38.666666666666664;37;44;42;44;15.0;7;44;37;32;0;1;2;0.0;36.333333333333336;2.0
