CON_MAT_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;FILOSOFIA_ICFES;LOCALIDAD;LITERATURA_ICFES;QUIMICA_ICFES;PG_ICFES;PROMEDIO_UNO;NOTA_ALGEBRA;NOTA_DITO;NOTA_TEXTOS;NOTA_CD&C;NCA_UNO;NAA_UNO;NOTA_HIST;NOTA_SEM;NOTA_DIF;NAP_UNO;VECES_HIST;VECES_ALGEBRA;NCP_UNO;PROMEDIO_DOS;EPA_DOS;NOTA_TOP;NOTA_PROGB;NOTA_FIS_UNO;NOTA_INT;VECES_TOP;NOTA_EYB;PROMEDIO_TRES;NOTA_SUELOS;NOTA_POO;NOTA_FIS_DOS;NOTA_ECUA;NCA_TRES;NOTA_FOTO;NOTA_CFJC;VECES_SUELOS;PROMEDIO_CINCO;RENDIMIENTO_CINCO
56.43;61.22;53.07;1;48.86;11;50.37;54.59;443.71;35.333333333333336;35;35;40;35;15.0;7;40;40;30;0;1;1;0.0;33.23529411764706;2;30;40;35;30;1;35;37.888888888888886;35;42;39;33;18.0;45;40;1;38.5;2.0
51.6;58.06;52.77;0;53.59;10;50.37;62.0;439.59;40.666666666666664;35;40;40;45;15.0;7;40;40;45;0;1;1;0.0;34.411764705882355;2;35;45;30;30;1;30;35.5;30;44;32;36;18.0;39;30;1;36.333333333333336;2.0
58.94;53.32;51.06;0;48.86;7;48.26;52.83;435.46;37.666666666666664;45;30;40;30;15.0;7;40;40;35;0;1;3;0.0;36.11764705882353;2;35;30;39;38;1;40;33.27777777777778;35;40;30;31;18.0;30;41;1;37.666666666666664;2.0
61.49;45.94;44.68;0;39.79;5;56.7;56.08;407.59;34.0;35;30;40;35;15.0;7;35;40;30;0;1;2;0.0;25.41176470588235;1;30;35;31;19;1;30;28.5;41;11;0;0;5.0;36;0;1;10.0;1.0
56.43;65.1;55.09;0;46.59;7;54.54;54.59;418.19;39.666666666666664;35;40;40;45;15.0;7;40;45;40;0;1;1;0.0;35.0;2;40;30;40;35;1;35;36.05555555555556;39;40;31;46;18.0;30;31;1;35.833333333333336;2.0
75.27;65.86;53.95;1;43.59;1;55.25;47.22;426.58;35.666666666666664;45;30;35;30;15.0;7;40;40;30;0;1;1;0.0;33.05882352941177;2;30;30;34;32;1;35;35.94444444444444;35;37;39;39;18.0;34;30;1;37.111111111111114;2.0
56.43;67.51;55.09;0;46.59;19;56.64;60.27;425.97;42.0;45;40;40;50;15.0;7;40;45;40;0;1;1;0.0;38.23529411764706;2;40;40;30;35;1;40;38.55555555555556;40;43;35;35;18.0;45;40;1;38.166666666666664;2.0
70.23;54.64;57.49;1;54.89;12;60.24;53.59;443.98;36.666666666666664;30;45;40;50;15.0;7;40;40;30;0;1;1;0.0;35.0;2;40;35;35;30;1;35;34.111111111111114;35;38;38;32;18.0;30;35;1;41.55555555555556;3.0
61.49;37.51;66.19;0;37.24;15;54.6;57.93;450.71;36.666666666666664;40;45;40;40;15.0;7;30;40;30;0;1;2;0.0;36.23529411764706;2;30;50;30;30;1;35;39.5;37;50;38;36;18.0;39;45;1;38.05555555555556;2.0
56.71;43.48;51.94;1;53.92;4;58.76;55.57;446.95;39.333333333333336;30;40;50;45;15.0;7;45;45;35;0;1;1;0.0;33.8235294117647;2;30;35;30;35;1;40;36.166666666666664;35;41;35;32;18.0;36;45;1;37.05555555555556;2.0
