NOTA_L_DOS;NOTA_ECONOMET;NOTA_AVAP;CAR_CINCO;NOTA_POO;NOTA_ECUA;NOTA_FOTO;NOTA_GEOGEO;NOTA_EI_UNO;VECES_ECONOMET;NOTA_PDI;NOTA_INGECO;NOTA_CFJC;NOTA_CARTO;NOTA_SUELOS;NOTA_EI_DOS;NAC_SIETE;NCA_SIETE;NAP_SIETE;NAA_SIETE;VECES_PDI;VECES_EI_UNO;NOTA_LEGIC;NCC_SIETE;VECES_EI_DOS;VECES_GEO_SAL;CAR_SIETE;VECES_AVAP;VECES_L_DOS;NOTA_PROCC;NCP_SIETE;NOTA_GEO_SAL;EPA_SIETE;NOTA_GEO_FIS;PROMEDIO_DOS;PROMEDIO_CINCO;PROMEDIO_SEIS;PROMEDIO_SIETE;VECES_PROCC;CREDITOS_AVAP;CREDITOS_EI_DOS;CREDITOS_ECONOMET;CREDITOS_EI_UNO;CREDITOS_PDI;CREDITOS_PROCC;CREDITOS_GEO_SAL;RENDIMIENTO_OCHO;PROMEDIO_OCHO
35;30;31;2;40;46;30;36;36;1;31;43;31;42;39;40;7;16.0;0;7;1;1;40;16.0;1;1;0;1;2;41;0.0;46;2;36;35.0;35.833333333333336;39.86666666666667;36.6875;1;2;2;2;2;3;2;3;2.0;35.0
44;39;36;3;37;39;34;39;37;1;35;36;30;44;35;42;7;16.0;0;7;1;1;44;16.0;1;1;0;1;1;46;0.0;43;2;37;33.05882352941177;37.111111111111114;39.733333333333334;39.625;1;2;2;2;2;3;2;3;2.0;38.5
44;33;40;1;43;35;45;31;32;1;43;44;40;46;40;40;7;16.0;0;7;1;1;35;16.0;1;1;0;1;1;37;0.0;38;2;30;38.23529411764706;38.166666666666664;39.733333333333334;37.9375;1;2;2;2;2;3;2;3;2.0;38.714285714285715
45;37;44;0;38;32;30;36;35;1;39;41;35;39;35;46;7;16.0;0;7;1;1;41;16.0;1;1;0;1;1;40;0.0;37;2;33;35.0;41.55555555555556;41.266666666666666;39.5;1;2;2;2;2;3;2;3;2.0;39.642857142857146
31;40;38;2;50;36;39;32;38;1;36;31;45;48;37;40;7;16.0;0;7;1;1;35;16.0;1;1;0;1;2;42;0.0;36;2;40;36.23529411764706;38.05555555555556;37.2;38.25;1;2;2;2;2;3;2;3;2.0;36.42857142857143
44;44;40;0;41;32;36;42;42;1;32;34;45;42;35;45;7;16.0;0;7;1;1;44;16.0;1;1;0;1;1;43;0.0;46;2;42;33.8235294117647;37.05555555555556;40.2;41.375;1;2;2;2;2;3;2;3;3.0;41.714285714285715
41;40;37;1;50;37;40;30;39;1;41;42;45;45;40;46;7;16.0;0;7;1;1;41;16.0;1;1;0;1;1;36;0.0;40;2;35;40.294117647058826;41.111111111111114;41.53333333333333;39.9375;1;2;2;2;2;3;2;3;3.0;40.285714285714285
39;41;37;3;44;33;30;33;43;2;32;35;45;38;44;36;7;16.0;0;7;3;1;43;16.0;1;1;2;1;1;47;0.0;41;2;30;35.88235294117647;33.77777777777778;36.733333333333334;39.1875;1;2;2;2;2;3;2;3;2.0;38.142857142857146
43;35;31;2;30;33;33;36;41;2;33;38;30;41;31;33;7;16.0;0;7;3;1;40;16.0;1;1;3;2;1;48;0.0;41;2;30;34.1764705882353;40.111111111111114;38.2;37.375;1;2;2;2;2;3;2;3;2.0;36.142857142857146
33;42;42;2;43;37;38;34;32;2;35;40;30;33;30;46;7;16.0;0;7;1;1;42;16.0;1;1;1;1;1;36;0.0;44;2;35;34.11764705882353;37.72222222222222;37.266666666666666;39.5625;1;2;2;2;2;3;2;3;2.0;35.785714285714285
43;35;36;0;43;38;32;34;41;1;33;37;35;33;30;30;7;16.0;0;7;1;1;45;16.0;1;1;0;1;1;45;0.0;36;2;30;32.88235294117647;34.111111111111114;38.2;36.3125;1;2;2;2;2;3;2;3;2.0;38.07142857142857
34;34;39;3;43;30;40;33;38;2;35;34;40;37;32;34;7;16.0;0;7;1;1;40;16.0;2;1;2;1;1;39;0.0;35;2;42;32.05882352941177;34.94444444444444;36.93333333333333;36.125;1;2;2;2;2;3;2;3;2.0;36.57142857142857
42;32;42;0;36;36;30;36;38;1;37;38;45;39;35;44;7;16.0;0;7;1;1;40;16.0;1;1;0;1;1;40;0.0;41;2;30;32.0;34.72222222222222;35.666666666666664;39.125;1;2;2;2;2;3;2;3;2.0;35.5
