NOTA_SISDIN;NOTA_ELECPOT;PROMEDIO_SIETE;PROMEDIO_TRES;NOTA_COMDIG;NOTA_FDS;NOTA_VARCOM;CON_MAT_ICFES;NOTA_TFM;PROMEDIO_SEIS;NCC_SIETE;NOTA_COMANA;NAA_SIETE;NOTA_ECO;NCA_SIETE;VECES_COMANA;PG_ICFES;VECES_ELECPOT;NOTA_CCON;VECES_COMDIG;VECES_ADMICRO;NOTA_L_TRES;NCP_SIETE;PROMEDIO_CINCO;NAC_SIETE;CAR_SIETE;NOTA_HSE;NAP_SIETE;VECES_ECO;VECES_FDS;VECES_SISDIN;EPA_SIETE;VECES_DDM;VECES_L_TRES;CREDITOS_ELECPOT;VECES_HSE;RENDIMIENTO_OCHO;PROMEDIO_OCHO
35.0;30.0;35.5;39.411764705882355;40.0;35.0;45.0;67.54;47.0;36.785714285714285;12.0;35.0;5;38.0;12.0;1;473.44;2;40.0;1;1;0.0;0.0;33.733333333333334;5;1;0.0;0;1;1;1;2;1;0;3;0;2.0;38.05555555555556
30.0;46.0;38.75;32.970588235294116;35.0;45.0;25.0;62.82;48.0;37.857142857142854;12.0;38.0;5;36.0;12.0;1;470.68;1;30.0;1;1;0.0;0.0;38.0;5;0;0.0;0;1;1;1;2;1;0;3;0;2.0;34.77777777777778
30.0;37.0;32.27777777833334;36.470588235294116;31.0;34.0;35.0;72.55;39.0;33.857142856428574;12.0;26.33333333;4;27.66666667;10.0;3;430.29;2;45.0;1;1;0.0;2.0;35.0;5;2;0.0;1;3;1;1;2;1;0;3;0;2.0;37.44444444444444
45.0;50.0;43.333333333333336;38.23529411764706;40.0;50.0;40.0;60.49;49.0;39.357142857142854;12.0;35.0;5;30.0;12.0;1;410.43;1;50.0;1;1;0.0;0.0;44.4;5;0;0.0;0;1;1;1;2;1;0;3;0;3.0;42.27777777777778
30.0;26.5;32.458333333333336;35.55555555555556;36.0;29.0;23.33333333;62.82;36.0;24.250000000714287;12.0;28.66666667;3;42.0;7.0;3;482.43;2;40.0;1;1;0.0;5.0;36.8;5;2;0.0;2;1;2;1;2;1;0;3;0;2.0;38.388888888888886
35.0;38.0;37.916666666666664;33.05555555555556;39.0;47.0;32.5;78.22;50.0;36.25;12.0;30.0;5;30.0;12.0;1;463.16;1;32.5;1;1;0.0;0.0;40.0;5;0;0.0;0;1;1;1;2;1;0;3;0;3.0;44.333333333333336
30.0;26.5;33.958333333333336;36.1764705882353;44.0;31.0;45.0;72.55;42.0;28.428571428571427;12.0;30.0;4;37.0;9.0;1;492.98;2;40.0;1;1;0.0;3.0;39.333333333333336;5;1;0.0;1;1;1;1;2;1;0;3;0;2.0;37.77777777777778
40.0;43.0;40.0;39.72222222222222;39.0;40.0;30.0;69.99;50.0;32.285714285714285;12.0;39.0;5;37.0;12.0;1;461.56;1;40.0;1;1;0.0;0.0;42.13333333333333;5;0;0.0;0;1;1;1;2;1;0;3;0;3.0;43.333333333333336
30.0;34.0;31.25;31.029411764705884;30.0;34.0;35.0;78.22;41.0;31.5;12.0;25.5;4;27.5;10.0;2;488.45;1;40.0;1;2;0.0;2.0;32.666666666666664;5;1;0.0;1;2;1;1;2;1;0;3;0;2.0;35.97222222222222
21.5;6.5;20.458333333333332;33.73529411764706;35.0;19.0;23.33333333;62.82;0.0;23.60606060454546;12.0;20.33333333;1;20.0;3.0;3;464.66;2;35.0;1;1;0.0;9.0;24.138888887500002;5;4;0.0;4;2;3;2;1;1;0;3;0;1.0;25.285714285714285
