NOTA_TG_UNO;NOTA_L_DOS;NOTA_AVAP;NOTA_EI_CINCO;NOTA_ECONOMET;NOTA_AVAM;NOTA_FOTO;NOTA_FGEP;NOTA_EI_SEIS;NOTA_EE_DOS;NOTA_ECUA;NOTA_EI_UNO;NOTA_L_TRES;NOTA_GEOGEO;NOTA_ORD_TER;NCC_NUEVE;NOTA_POO;NCA_NUEVE;NAC_NUEVE;NAA_NUEVE;VECES_EE_DOS;NOTA_FOTOD;VECES_EI_CINCO;VECES_ORD_TER;NOTA_EI_CUATRO;VECES_TG_UNO;EPA_NUEVE;VECES_EI_SEIS;PROMEDIO_CINCO;PROMEDIO_SEIS;PROMEDIO_SIETE;PROMEDIO_NUEVE;NCP_NUEVE;NAP_NUEVE;CREDITOS_EI_CINCO;CREDITOS_TG_UNO;CREDITOS_ORD_TER;CREDITOS_EI_SEIS;CREDITOS_EE_DOS;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
40;39;39;35;40;40;38;41;0;45;43;41;43;40;44;10.0;50;10.0;4;4;1;42;1;1;39;1;2;0;36.77777777777778;40.13333333333333;42.625;40.7;0.0;0;3;2;3;3;2;2.0;39.81818181818182
35;39;41;37;39;40;30;36;38;39;38;46;33;34;44;13.0;38;13.0;5;5;1;31;1;1;37;1;2;1;37.5;37.666666666666664;38.9375;38.84615384615385;0.0;0;3;2;3;3;2;3.0;42.54545454545455
45;38;46;31;38;36;33;33;0;39;31;46;40;30;43;10.0;36;10.0;4;4;1;33;1;1;41;1;2;0;35.77777777777778;36.733333333333334;39.25;39.0;0.0;0;3;2;3;3;2;3.0;40.63636363636363
50;43;39;39;39;40;43;39;0;45;30;42;41;30;43;10.0;32;10.0;4;4;1;37;1;1;39;1;2;0;33.611111111111114;37.46666666666667;40.125;43.6;0.0;0;3;2;3;3;2;3.0;41.45454545454545
48;44;38;39;44;40;41;47;35;39;34;46;38;36;43;13.0;41;13.0;5;5;1;40;1;1;39;1;2;1;38.55555555555556;40.666666666666664;43.125;40.38461538461539;0.0;0;3;2;3;3;2;3.0;45.0
50;41;34;37;42;36;35;50;0;37;43;38;36;33;43;10.0;37;10.0;4;4;1;43;1;1;38;1;2;0;35.0;37.8;37.4375;41.4;0.0;0;3;2;3;3;2;3.0;42.875
48;37;45;39;45;45;42;46;0;44;38;46;40;40;43;10.0;47;10.0;4;4;1;39;1;1;38;1;2;0;39.166666666666664;40.86666666666667;43.625;43.0;0.0;0;3;2;3;3;2;3.0;42.27272727272727
43;41;41;39;39;34;34;45;0;46;34;48;42;41;45;10.0;41;10.0;4;4;1;40;1;1;42;1;2;0;40.05555555555556;39.266666666666666;43.4375;43.0;0.0;0;3;2;3;3;2;4.0;45.18181818181818
30;43;42;32;41;37;36;38;38;38;35;37;48;39;45;13.0;50;13.0;5;5;1;41;1;1;34;1;2;1;39.27777777777778;37.2;40.75;37.0;0.0;0;3;2;3;3;2;3.0;43.36363636363637
42;39;45;39;43;45;46;46;0;44;45;38;40;42;41;10.0;44;10.0;4;4;1;43;1;1;46;1;2;0;38.0;42.4;43.5625;41.2;0.0;0;3;2;3;3;2;3.0;44.27272727272727
