NOTA_PROB;NOTA_CIENCIAS_COMP_UNO;NOTA_MOD_PROG_DOS;NOTA_ARQ_COMP;NOTA_INV_OP_UNO;NOTA_FISICA_TRES;VECES_INV_OP_UNO;VECES_PROB;NOTA_METODOS_NUM;NOTA_MOD_PROG_UNO;VECES_MOD_PROG_DOS;VECES_FISICA_TRES;NOTA_EE_TRES;VECES_CIENCIAS_COMP_UNO;VECES_ARQ_COMP;VECES_EE_TRES;NCC_CUATRO;NCA_CUATRO;NAP_CUATRO;NOTA_MAT_DIS;NOTA_A_SISTEMAS;NAC_TRES;NAA_DOS;VECES_A_SISTEMAS;NOTA_GT_DOS;CAR_CUATRO;NAA_CUATRO;NOTA_FUND_BASES;NCC_TRES;NOTA_HOMBRE;NCP_CUATRO;NAA_TRES;VECES_HOMBRE;NAC_CUATRO;EPA_CUATRO;CREDITOS_PROB;CREDITOS_INV_OP_UNO;PROMEDIO_CINCO;CREDITOS_EE_TRES;CREDITOS_MOD_PROG_DOS;CREDITOS_CIENCIAS_COMP_UNO;CREDITOS_FISICA_TRES;PROMEDIO_UNO;PROMEDIO_DOS;PROMEDIO_TRES;CREDITOS_ARQ_COMP;RENDIMIENTO_CINCO
10.0;0.0;13.5;0.0;0.0;0.0;0;2;42.0;30.0;2;0;0;0;1;0;8.0;6.0;1;0.0;37.0;4;3;1;0;0;3;0.0;10.0;0.0;2.0;3;0;4;1;3;3;8.8125;2;3;3;3;31.764705882352942;28.764705882941175;35.7;2;1.0
29.5;35.0;48.0;42.0;37.0;30.0;1;2;35.0;30.0;1;1;48;1;1;1;18.0;18.0;0;34.0;46.0;7;5;1;50;0;9;30.0;18.0;40.0;0.0;7;1;9;2;3;3;37.81578947368421;2;3;3;3;36.55555555555556;33.894736841052634;33.888888888888886;2;2.0
35.0;34.0;44.0;36.0;37.0;34.0;1;1;40.0;42.0;1;1;45;1;1;1;18.0;18.0;0;40.0;39.0;7;7;1;50;0;9;38.0;18.0;44.0;0.0;7;1;9;2;3;3;37.578947368421055;2;3;3;3;35.833333333333336;36.71052631578947;38.333333333333336;2;2.0
32.0;40.0;39.0;43.0;37.0;30.0;1;1;35.0;44.0;1;1;50;1;1;1;18.0;18.0;0;30.0;33.0;7;8;1;50;0;9;40.0;18.0;45.0;0.0;6;1;9;2;3;3;37.89473684210526;2;3;3;3;38.0;38.63157894736842;35.50000000055556;2;2.0
0.0;8.0;0.0;16.5;0.0;0.0;0;0;32.0;37.0;0;0;33;1;2;1;12.0;9.0;1;17.0;37.0;5;4;1;50;1;5;31.0;12.0;0.0;3.0;3;0;6;2;3;3;17.571428571428573;2;3;3;3;27.04705882352941;28.852941175882354;20.791666666666668;2;1.0
32.0;30.0;47.0;40.0;32.0;39.0;1;1;35.0;46.0;1;1;48;1;1;1;18.0;15.0;1;33.0;43.0;7;6;1;50;1;8;31.0;18.0;50.0;3.0;7;1;9;2;3;3;37.68421052631579;2;3;3;3;38.22222222222222;35.526315789473685;36.388888888888886;2;2.0
34.0;29.0;49.0;35.0;38.0;31.0;1;1;40.0;35.0;1;1;48;2;1;1;18.0;15.0;1;37.0;44.0;7;8;1;50;1;8;38.0;18.0;40.0;3.0;6;1;9;2;3;3;37.31578947368421;2;3;3;3;37.388888888888886;39.36842105263158;34.19444444444444;2;2.0
34.0;36.0;48.0;32.0;30.0;33.0;1;1;39.0;40.0;1;1;44;1;2;1;18.0;15.0;1;34.0;37.0;7;8;1;50;1;8;30.0;18.0;40.0;3.0;6;1;9;2;3;3;36.578947368421055;2;3;3;3;34.666666666666664;37.63157894736842;34.888888888888886;2;2.0
31.5;40.0;43.0;39.0;41.0;32.0;1;2;35.0;33.0;1;1;50;1;1;1;18.0;18.0;0;32.0;43.0;7;8;1;50;0;9;35.0;18.0;42.0;0.0;7;1;9;2;3;3;38.973684210526315;2;3;3;3;39.27777777777778;37.526315789473685;36.833333333333336;2;2.0
35.0;32.0;49.0;44.0;33.0;32.0;1;1;35.0;47.0;1;1;49;1;1;1;18.0;18.0;0;41.0;40.0;7;8;1;50;0;9;32.0;18.0;39.0;0.0;5;1;9;2;3;3;38.36842105263158;2;3;3;3;39.94444444444444;35.36842105263158;34.666666666666664;2;2.0
32.0;30.0;30.0;44.0;38.0;32.0;1;2;30.0;36.0;1;1;45;1;1;1;18.0;18.0;0;36.0;37.0;7;8;1;50;0;9;35.0;18.0;44.0;0.0;6;1;9;2;3;3;34.94736842105263;2;3;3;3;30.63888888888889;36.23684210526316;37.94444444444444;2;2.0
41.0;0.0;23.0;0.0;0.0;0.0;0;1;41.0;38.0;1;0;0;0;0;0;9.0;6.0;1;19.0;31.0;4;2;1;0;0;3;0.0;10.0;0.0;3.0;3;0;4;2;3;3;32.0;2;3;3;3;32.05882352941177;27.15625;31.75;2;2.0
27.0;0.0;0.0;50.0;0.0;0.0;0;1;42.0;0.0;0;0;0;0;1;0;6.0;3.0;1;11.33333333;34.0;4;5;1;0;1;2;0.0;11.0;0.0;3.0;1;0;3;1;3;3;36.2;2;3;3;3;33.44444444533333;34.266666666;21.818181818181817;2;2.0
37.0;34.0;44.0;0.0;38.0;0.0;1;1;35.0;38.0;1;0;0;1;0;0;15.0;15.0;0;31.0;0.0;7;3;0;50;0;7;33.0;18.0;0.0;0.0;4;0;7;2;3;3;38.25;2;3;3;3;35.294117647058826;34.199999999333336;33.02777777777778;2;2.0
0.0;0.0;21.0;45.0;0.0;0.0;0;0;39.0;38.0;2;1;0;0;1;0;6.0;6.0;0;0.0;30.0;5;4;1;0;0;3;0.0;14.0;0.0;0.0;3;0;3;2;3;3;19.125;2;3;3;3;37.77777777866666;33.25;29.499999999285713;2;1.0
33.0;30.0;30.0;45.0;40.0;36.0;1;1;30.0;21.5;1;1;46;1;1;1;18.0;15.0;1;31.0;36.0;7;6;1;50;1;8;37.0;18.0;34.0;3.0;4;1;9;2;3;3;36.26315789473684;2;3;3;3;39.5;33.184210525789474;32.166666666666664;2;2.0
