PROMEDIO_UNO;NOTA_DIF;CON_MAT_ICFES;EPA_UNO;FISICA_ICFES;PG_ICFES;NOTA_PROGB;NOTA_FIS_UNO;BIOLOGIA_ICFES;IDIOMA_ICFES;LITERATURA_ICFES;NCP_UNO;NOTA_TEXTOS;NOTA_CFJC;NAP_UNO;NOTA_SEM;NCC_UNO;GENERO;LOCALIDAD;VECES_TEXTOS;NAA_UNO;NCA_UNO;VECES_DIF;VECES_SEM;NAC_UNO;CAR_UNO;QUIMICA_ICFES;VECES_CFJC;VECES_FIS_UNO;VECES_PROGB;RENDIMIENTO_DOS;PROMEDIO_DOS
36.81818181818182;35.0;78.22;2;56.51;484.72;45.0;30.0;60.25;57.13;66.94;0.0;0.0;40.0;0;0.0;11.0;0;10;0;4;11.0;1;0;4;0;61.18;1;1;1;1.0;30.0
33.333333333333336;30.0;60.49;2;64.0;458.0;40.0;30.0;58.09;61.22;64.21;0.0;0.0;35.0;0;35.0;12.0;0;10;0;5;12.0;2;1;5;1;47.22;1;1;1;2.0;32.64705882352941
28.636363636363637;20.0;62.82;1;56.51;474.12;40.0;25.0;60.25;76.45;66.94;7.0;0.0;40.0;2;0.0;11.0;0;10;0;2;4.0;1;0;4;0;57.44;1;1;1;1.0;15.0
32.083333333333336;25.0;58.13;2;66.74;457.32;35.0;35.0;53.95;73.83;59.48;4.0;0.0;40.0;1;35.0;12.0;0;13;0;4;8.0;2;1;5;1;61.18;1;1;1;2.0;36.3235294117647
38.75;40.0;69.99;2;58.93;469.54;45.0;30.0;60.25;67.6;57.32;0.0;0.0;40.0;0;40.0;12.0;0;5;0;5;12.0;1;1;5;0;48.97;1;1;1;2.0;33.38235294117647
17.727272727272727;15.0;67.54;1;58.93;475.1;15.0;25.0;55.99;79.55;64.21;11.0;0.0;15.0;4;0.0;11.0;0;7;0;0;0.0;1;0;4;0;61.18;1;1;1;1.0;15.0
24.09090909090909;15.0;53.42;1;63.43;476.96;40.0;15.0;65.51;53.56;74.87;7.0;0.0;40.0;2;0.0;11.0;0;19;0;2;4.0;2;0;4;2;52.46;1;2;1;1.0;15.0
15.0;15.0;44.48;1;54.12;354.43;15.0;15.0;38.26;40.88;47.14;11.0;0.0;15.0;4;0.0;11.0;0;8;0;0;0.0;1;0;4;0;41.37;1;1;1;1.0;15.0
37.916666666666664;35.0;65.16;2;66.74;451.32;40.0;40.0;55.99;58.45;53.22;0.0;0.0;35.0;0;40.0;12.0;0;7;0;5;12.0;1;1;5;0;52.34;1;1;1;2.0;31.764705882352942
37.5;32.5;72.55;2;66.74;472.69;40.0;40.0;60.25;40.88;51.21;0.0;0.0;40.0;0;40.0;12.0;0;20;0;5;12.0;2;1;5;1;54.01;1;1;1;2.0;35.88235294117647
38.75;35.0;72.55;2;58.93;476.82;45.0;35.0;62.54;71.53;61.76;0.0;0.0;45.0;0;40.0;12.0;1;4;0;5;12.0;1;1;5;0;48.97;1;1;1;2.0;34.705882352941174
35.416666666666664;35.0;69.99;2;66.74;475.78;40.0;30.0;62.54;54.57;55.25;0.0;0.0;40.0;0;35.0;12.0;0;7;0;5;12.0;1;1;5;0;54.01;1;1;1;1.0;28.088235294705882
29.583333333333332;27.5;78.22;1;56.51;457.21;30.0;30.0;58.09;69.48;51.21;4.0;0.0;35.0;1;30.0;12.0;0;8;0;4;8.0;2;1;5;1;59.25;1;1;1;2.0;32.94117647058823
37.916666666666664;27.5;75.87;2;58.17;468.28;40.0;45.0;48.51;51.96;65.33;4.0;0.0;40.0;1;50.0;12.0;1;7;0;4;8.0;2;1;5;1;53.9;1;1;1;2.0;33.529411764705884
42.916666666666664;45.0;81.5;2;56.51;482.79;45.0;40.0;60.25;73.83;57.32;0.0;0.0;40.0;0;40.0;12.0;0;16;0;5;12.0;1;1;5;0;65.59;1;1;1;2.0;33.529411764705884
33.333333333333336;30.0;62.82;2;46.84;389.1;35.0;35.0;43.37;57.13;49.19;0.0;0.0;35.0;0;35.0;12.0;0;9;0;5;12.0;1;1;5;0;41.37;1;1;1;2.0;30.147058823529413
41.666666666666664;40.0;69.99;2;61.41;455.29;50.0;35.0;58.09;65.86;49.19;0.0;0.0;40.0;0;45.0;12.0;1;19;0;5;12.0;1;1;5;0;57.44;1;1;1;2.0;33.6764705882353
37.916666666666664;35.0;67.54;2;61.41;473.44;40.0;40.0;60.25;88.67;59.48;0.0;0.0;40.0;0;35.0;12.0;0;5;0;5;12.0;1;1;5;0;65.59;1;1;1;2.0;39.411764705882355
