NOTA_DIS_ARQ_SOFT;NOTA_EI_OP_AI;NOTA_ING_ECONOMICA;NOTA_REDES_COM_TRES;NOTA_CIBERNETICA_TRES;VECES_EI_OP_AI;VECES_DIS_ARQ_SOFT;VECES_ING_ECONOMICA;VECES_EI_OP_BI;VECES_CIBERNETICA_TRES;NOTA_INV_OP_DOS;NOTA_F_ING_SOF;VECES_REDES_COM_TRES;NAP_SIETE;NOTA_GI_DOS;NOTA_EI_OP_BI;NOTA_INV_OP_TRES;NCA_SIETE;NOTA_REDES_COM_DOS;VECES_CIBERNETICA_DOS;NOTA_MOD_PROG_DOS;CAR_SIETE;NOTA_EI_DOS;NOTA_CIBERNETICA_UDOS;NAA_SIETE;NCC_SIETE;NOTA_ESTADISTICA;NOTA_GT_TRES;NOTA_HISTORIA_COL;VECES_REDES_COM_DOS;NCP_SEIS;NOTA_ECONOMIA;VECES_EI_DOS;NAC_SIETE;VECES_ECONOMIA;EPA_SIETE;NOTA_METODOS_NUM;NCP_SIETE;CREDITOS_CIBERNETICA_TRES;CREDITOS_EE_CUATRO;VECES_F_ING_SOF;NOTA_EE_CUATRO;CREDITOS_ING_ECONOMICA;CREDITOS_EI_OP_BI;CREDITOS_EI_OP_AI;CREDITOS_DIS_ARQ_SOFT;CREDITOS_REDES_COM_TRES;PROMEDIO_UNO;PROMEDIO_DOS;PROMEDIO_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;RENDIMIENTO_OCHO;PROMEDIO_OCHO
49.0;46.0;41.0;47.0;50.0;1;1;1;1;1;48.0;44.0;1;0;50.0;42.0;48;19.0;44;1;47.0;0;44.0;50.0;9;19.0;43.0;50;36.0;1;0.0;41.0;1;9;1;2;39.0;0.0;2;2;1;0;2;3;3;4;2;42.666666666666664;42.526315789473685;43.333333333333336;44.78947368421053;45.0;4.0;46.0
48.0;43.0;35.0;46.0;45.0;1;1;1;1;1;39.0;37.0;1;0;45.0;38.0;44;19.0;43;1;49.0;0;39.0;37.0;9;19.0;35.0;50;37.0;1;0.0;40.0;1;9;1;2;42.0;0.0;2;2;1;0;2;3;3;4;2;31.805555555555557;37.94736842105263;36.166666666666664;37.6578947368421;36.611111111111114;3.0;42.9375
49.0;46.0;39.0;47.0;50.0;1;1;1;1;1;48.0;45.0;1;0;50.0;43.0;48;19.0;43;1;46.0;0;44.0;50.0;9;19.0;41.0;50;34.0;1;0.0;42.0;1;9;1;2;38.0;0.0;2;2;1;0;2;3;3;4;2;39.888888888888886;41.31578947368421;39.833333333333336;41.421052631578945;44.44444444444444;4.0;45.9375
42.0;29.0;33.0;43.0;44.0;2;1;1;3;1;41.0;31.0;1;0;50.0;17.33333333;35;18.0;35;1;48.0;0;37.0;35.0;8;18.0;35.0;0;31.0;1;0.0;35.0;1;8;1;2;31.0;0.0;2;2;1;0;2;3;3;4;2;35.25;35.89473684210526;33.666666666666664;34.55263157894737;37.44444444444444;2.0;34.187499999375
47.0;36.0;30.5;36.0;42.0;1;1;2;1;1;40.0;40.0;1;1;50.0;36.0;35;17.0;33;2;44.0;2;41.0;30.0;8;19.0;31.5;50;49.0;1;0.0;29.33333333;1;9;3;2;42.0;2.0;2;2;1;0;2;3;3;4;2;34.09259259333333;34.28947368421053;31.52777777888889;36.421052631578945;40.19444444444444;2.0;38.8125
47.0;39.0;41.0;42.0;47.0;1;1;1;1;1;41.0;46.0;1;0;47.0;37.0;46;19.0;44;1;48.0;0;43.0;30.0;9;19.0;39.0;48;48.0;1;0.0;44.0;1;9;1;2;41.0;0.0;2;2;1;0;2;3;3;4;2;34.0;34.05263157894737;33.305555555;39.0;40.77777777777778;3.0;42.25
33.0;42.0;19.0;35.0;42.0;1;1;2;0;1;41.0;31.5;1;2;50.0;0.0;37;14.0;22;4;41.0;3;42.0;12.0;7;19.0;31.0;50;27.0;2;4.0;37.0;1;9;1;2;31.0;5.0;2;2;2;0;2;3;3;4;2;37.0;35.21052631578947;34.916666666666664;36.578947368421055;33.10185185222222;2.0;34.61538461538461
30.0;30.0;33.0;41.0;44.0;1;1;1;1;1;36.0;45.0;1;0;50.0;40.0;36;19.0;38;2;42.0;1;38.0;31.5;9;19.0;27.0;40;27.0;1;5.0;37.0;1;9;1;2;30.5;0.0;2;2;1;0;2;3;3;4;2;33.666666666666664;30.473684210526315;35.05555555555556;35.89473684263158;34.52777777777778;2.0;35.375
48.0;44.0;46.0;38.0;41.0;1;1;1;0;1;50.0;36.0;1;0;45.0;0.0;43;19.0;42;1;33.0;0;40.0;37.0;9;19.0;40.0;50;30.0;1;0.0;39.0;1;9;1;2;41.0;0.0;2;2;1;0;2;3;3;4;2;36.05555555555556;35.39473684210526;38.94444444444444;35.31578947368421;40.5;3.0;44.15384615384615
0.0;0.0;38.0;0.0;0.0;0;0;1;0;0;37.0;0.0;0;0;0.0;0.0;39;5.0;32;0;36.0;0;0.0;0.0;2;5.0;37.0;0;20.0;1;2.0;0.0;0;2;0;2;39.0;0.0;2;2;0;0;2;3;3;4;2;36.111111111111114;32.333333333333336;29.96875;30.764705882352942;33.53846153846154;2.0;38.0
