GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO
0;2;12;1;19;5;458.0;85.0;85.0;52.0;59.0;68.0;68.0;63.0;0.0;60.0;50.0;12;3;9;3;2012
0;2;6;1;19;5;450.0;76.0;76.0;59.0;62.0;69.0;69.0;63.0;0.0;49.0;53.0;4;4;9;2;2012
0;1;1;1;19;5;462.0;75.0;75.0;60.0;63.0;62.0;62.0;77.0;0.0;54.0;60.0;11;5;9;2;2012
0;2;11;1;19;5;431.0;76.0;76.0;69.0;74.0;50.0;50.0;63.0;0.0;36.0;63.0;11;5;9;3;2012
1;1;5;1;19;5;446.0;76.0;76.0;63.0;58.0;63.0;63.0;76.0;0.0;44.0;53.0;5;6;9;2;2012
1;2;10;1;19;5;449.0;76.0;76.0;59.0;59.0;69.0;69.0;76.0;0.0;44.0;55.0;10;3;9;3;2012
1;2;10;1;19;5;428.0;85.0;85.0;60.0;56.0;62.0;62.0;63.0;0.0;41.0;60.0;8;3;9;3;2012
0;2;15;1;19;5;447.0;85.0;85.0;52.0;56.0;69.0;69.0;59.0;0.0;60.0;60.0;18;3;9;3;2012
0;2;13;1;19;5;442.0;76.0;76.0;63.0;62.0;63.0;63.0;68.0;0.0;53.0;55.0;1;5;9;4;2012
0;2;16;1;19;5;423.0;85.0;85.0;60.0;75.0;54.0;54.0;48.0;0.0;41.0;60.0;8;3;9;2;2012
0;2;10;1;19;5;433.0;75.0;75.0;65.0;56.0;63.0;63.0;48.0;0.0;60.0;47.0;10;3;9;3;2012
1;2;10;1;19;5;466.0;64.0;64.0;55.0;52.0;91.0;91.0;63.0;0.0;69.0;56.0;10;3;9;3;2012
0;2;10;1;19;5;439.0;85.0;85.0;52.0;56.0;69.0;69.0;48.0;0.0;60.0;63.0;10;3;9;3;2012
1;1;14;1;19;5;450.0;85.0;85.0;60.0;47.0;53.0;53.0;77.0;0.0;69.0;56.0;14;2;9;3;2012
1;1;12;1;19;5;456.0;63.0;63.0;65.0;56.0;68.0;68.0;59.0;0.0;69.0;63.0;12;3;9;3;2012
0;1;11;1;19;5;426.0;85.0;85.0;60.0;59.0;58.0;58.0;55.0;0.0;49.0;52.0;8;3;9;3;2012
0;1;14;1;19;5;432.0;76.0;76.0;63.0;52.0;69.0;69.0;63.0;0.0;49.0;56.0;8;3;9;3;2012
