NOTA_GEOGEO;NOTA_TOP;NCA_CUATRO;NOTA_SUELOS;NOTA_POO;NOTA_PRII;NOTA_FOTO;EPA_CUATRO;LITERATURA_ICFES;NOTA_PROGB;NOTA_PROB;NOTA_ECUA;NOTA_CFJC;NOTA_FIS_UNO;NCC_CUATRO;NOTA_L_UNO;NAA_CUATRO;NAC_CUATRO;NCP_CUATRO;NOTA_CCON;IDIOMA_ICFES;VECES_FIS_TRES;VECES_GEOGEO;VECES_PROB;NOTA_HIST;VECES_GH&F;VECES_L_UNO;VECES_PRII;NOTA_FIS_DOS;VECES_SUELOS;NOTA_GH&F;NOTA_FIS_TRES;NOTA_EYB;NOTA_DIF;NCA_TRES;NAP_CUATRO;VECES_CCON;CAR_CUATRO;CREDITOS_L_UNO;CREDITOS_CCON;CREDITOS_PROB;CREDITOS_PRII;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_TRES;PROMEDIO_CUATRO;CREDITOS_GH&F;CREDITOS_GEOGEO;CREDITOS_FIS_TRES;RENDIMIENTO_CINCO;PROMEDIO_CINCO
30;30;17.0;30;40;42;36;2;56.79;35;40;33;37;40;17.0;35;7;7;0.0;37;58.45;2;1;1;35;1;1;1;30;2;35;31;35;30;18.0;0;1;1;2;1;2;3;33.411764705882355;31.333333333333332;34.388888888888886;35.35294117647059;3;3;3;2.0;32.333333333333336
37;30;17.0;40;30;39;33;2;56.57;30;48;34;40;30;17.0;47;7;7;0.0;44;47.21;1;1;2;40;1;1;1;31;1;35;35;40;30;18.0;0;1;1;2;1;2;3;31.176470588235293;34.333333333333336;33.388888888888886;39.529411764705884;3;3;3;2.0;35.111111111111114
33;30;17.0;35;40;37;40;2;65.59;30;30;35;40;30;17.0;50;7;7;0.0;40;50.37;1;1;1;40;1;1;1;30;1;40;36;40;30;18.0;0;1;0;2;1;2;3;31.176470588235293;36.666666666666664;35.0;37.529411764705884;3;3;3;2.0;37.666666666666664
36;35;17.0;32;32;38;35;2;46.97;30;35;34;35;38;17.0;45;7;7;0.0;47;76.45;1;1;1;35;1;1;1;36;1;37;38;35;30;18.0;0;1;0;2;1;2;3;34.294117647058826;32.666666666666664;33.833333333333336;38.470588235294116;3;3;3;3.0;40.611111111111114
39;30;17.0;30;34;30;36;2;45.12;50;32;30;40;43;17.0;40;7;7;0.0;42;48.43;1;1;2;45;1;1;1;35;1;35;35;35;30;18.0;0;1;1;2;1;2;3;37.8235294117647;35.0;34.388888888888886;35.470588235294116;3;3;3;2.0;33.166666666666664
30;35;17.0;35;43;38;42;2;62.59;40;30;30;46;30;17.0;45;7;7;0.0;45;58.59;1;1;1;45;1;1;1;34;1;40;30;50;30;18.0;0;2;1;2;1;2;3;37.64705882352941;34.666666666666664;36.72222222222222;35.8235294117647;3;3;3;2.0;34.666666666666664
34;30;17.0;35;50;40;35;2;65.43;35;30;30;40;30;17.0;43;7;7;0.0;35;50.37;1;1;1;45;1;1;1;30;1;35;30;50;30;18.0;0;1;0;2;1;2;3;33.23529411764706;37.666666666666664;35.27777777777778;35.1764705882353;3;3;3;2.0;38.0
34;35;17.0;33;33;37;35;2;56.79;50;37;36;35;38;17.0;36;7;7;0.0;35;58.45;2;1;1;40;1;1;1;30;2;35;30;40;30;18.0;0;1;1;2;1;2;3;37.0;33.666666666666664;32.833333333333336;34.64705882352941;3;3;3;2.0;37.44444444444444
32;35;17.0;40;32;36;40;2;53.3;41;45;35;45;30;17.0;40;7;7;0.0;35;55.64;1;2;1;45;2;1;1;30;1;38;34;40;30;18.0;0;1;2;2;1;2;3;35.76470588235294;36.333333333333336;34.77777777777778;36.76470588235294;3;3;3;2.0;36.55555555555556
38;30;15.0;37;30;34;34;2;44.91;35;45;33;40;38;15.0;0;6;6;0.0;34;47.21;1;1;1;35;1;0;1;33;1;33;38;40;30;18.0;0;1;0;2;1;2;3;33.8235294117647;30.666666666666668;33.166666666666664;36.86666666666667;3;3;3;2.0;32.22222222222222
0;30;6.0;36;32;0;39;2;61.76;30;0;0;35;30;6.0;31;3;3;0.0;39;41.03;0;0;0;40;1;1;0;30;3;32;0;40;30;12.0;0;1;0;2;1;2;3;30.294117647058822;34.0;33.916666666666664;32.833333333333336;3;3;3;1.0;28.4
31;35;17.0;35;40;46;35;2;53.3;50;30;34;45;30;17.0;35;7;7;0.0;43;55.64;2;2;1;35;2;1;1;35;1;32;38;40;30;18.0;0;1;3;2;1;2;3;36.470588235294116;33.0;36.22222222222222;36.11764705882353;3;3;3;2.0;38.111111111111114
42;35;17.0;35;30;41;35;2;58.76;50;50;45;45;35;17.0;45;7;7;0.0;40;39.11;1;1;1;40;1;1;1;30;1;40;30;30;35;18.0;0;1;0;2;1;2;3;37.94117647058823;36.0;36.388888888888886;40.529411764705884;3;3;3;2.0;39.44444444444444
38;35;12.0;35;30;37;40;2;58.52;35;35;35;45;35;12.0;0;5;5;0.0;35;52.09;0;1;1;35;1;0;1;30;1;35;0;35;35;15.0;0;1;0;2;1;2;3;33.23529411764706;34.333333333333336;32.77777777777778;36.25;3;3;3;2.0;32.75
30;30;17.0;30;37;40;36;2;53.5;40;39;35;41;30;17.0;35;7;7;0.0;45;42.2;1;1;1;40;1;1;1;37;1;34;39;35;35;18.0;0;1;0;2;1;2;3;33.23529411764706;36.333333333333336;34.44444444444444;36.588235294117645;3;3;3;2.0;37.166666666666664
33;30;17.0;30;45;36;36;2;47.18;35;30;30;44;30;17.0;40;7;7;0.0;44;49.65;1;1;1;45;1;1;1;38;1;35;32;35;30;18.0;0;1;0;2;1;2;3;32.1764705882353;36.0;35.27777777777778;34.8235294117647;3;3;3;2.0;35.388888888888886
32;30;17.0;30;35;37;40;2;55.65;30;43;38;40;30;17.0;42;7;7;0.0;44;49.51;1;1;1;40;2;1;1;30;2;35;39;35;30;18.0;0;1;1;2;1;2;3;30.58823529411765;35.666666666666664;34.333333333333336;37.8235294117647;3;3;3;2.0;35.05555555555556
37;30;17.0;35;45;40;40;2;54.66;50;35;40;40;35;17.0;40;7;7;0.0;45;52.09;1;2;1;45;1;1;1;30;1;34;39;40;35;18.0;0;1;1;2;1;2;3;35.588235294117645;37.333333333333336;36.666666666666664;37.94117647058823;3;3;3;2.0;39.0
38;30;12.0;30;33;35;45;2;49.09;40;42;13;35;30;12.0;0;5;5;0.0;44;50.67;0;1;1;45;1;0;1;30;1;42;0;40;30;15.0;0;1;0;2;1;2;3;32.94117647058823;36.0;30.444444444444443;39.416666666666664;3;3;3;1.0;28.5
30;30;17.0;30;30;36;30;2;47.18;50;45;38;40;35;17.0;39;7;7;0.0;44;49.65;1;1;1;40;1;1;1;35;1;34;36;35;30;18.0;0;1;0;2;1;2;3;35.88235294117647;37.0;32.72222222222222;36.470588235294116;3;3;3;2.0;35.72222222222222
38;30;17.0;31;35;39;36;2;49.15;40;43;31;42;30;17.0;45;7;7;0.0;43;47.21;2;1;1;45;1;1;1;30;2;34;40;45;30;18.0;0;1;1;2;1;2;3;33.705882352941174;35.333333333333336;33.5;39.529411764705884;3;3;3;2.0;36.55555555555556
