NOTA_SUELOS;NOTAS_SISC;NOTA_TOP;NOTA_GEOGEO;NOTA_POO;VECES_BD;NOTA_ME;NOTA_ECUA;CAR_CINCO;NOTA_PROGB;NOTA_FOTO;NOTA_CARTO;LITERATURA_ICFES;VECES_CARTO;NOTA_CFJC;VECES_SISC;NCA_CUATRO;NOTA_PROB;NOTA_AGEO;NOTA_BD;NOTA_PRII;NOTA_ECO_UNO;VECES_ME;VECES_EST;NAC_CINCO;NCA_CINCO;NCC_CINCO;EPA_CINCO;EPA_CUATRO;NAP_CINCO;NAA_CINCO;VECES_ECO_UNO;VECES_AGEO;NOTA_EST;NCP_CINCO;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_TRES;PROMEDIO_CUATRO;PROMEDIO_CINCO;CREDITOS_ECO_UNO;CREDITOS_EST;CREDITOS_BD;CREDITOS_AGEO;CREDITOS_ME;CREDITOS_SISC;CREDITOS_CARTO;RENDIMIENTO_SEIS;PROMEDIO_SEIS
31;37;30;38;35;2;31;31;3;40;36;44;49.15;1;42;1;17.0;43;36;37;39;36;1;1;7;18.0;18.0;2;2;0;7;2;2;31;0.0;33.705882352941174;35.333333333333336;33.5;39.529411764705884;36.55555555555556;2;2;3;3;2;3;3;2.0;37.4
30;38;30;37;43;2;32;30;4;40;33;35;54.66;2;35;1;17.0;32;30;30;31;35;1;2;7;18.0;18.0;2;2;0;7;2;1;45;0.0;33.8235294117647;33.666666666666664;32.77777777777778;32.705882352941174;34.611111111111114;2;2;3;3;2;3;3;2.0;34.4
33;35;30;34;36;2;30;33;1;30;35;41;62.72;1;34;1;17.0;30;35;31;38;30;1;1;7;18.0;18.0;2;2;0;7;1;1;45;0.0;32.05882352941177;36.0;34.94444444444444;38.529411764705884;35.333333333333336;2;2;3;3;2;3;3;2.0;34.266666666666666
30;35;30;35;39;1;38;30;1;33;32;42;46.7;1;40;1;17.0;46;34;34;32;33;1;1;7;18.0;18.0;2;2;0;7;1;3;39;0.0;33.35294117647059;34.333333333333336;34.611111111111114;38.1764705882353;36.388888888888886;2;2;3;3;2;3;3;2.0;34.0
32;40;30;39;30;1;32;30;2;45;36;32;62.78;1;45;1;17.0;47;36;35;36;34;1;1;7;18.0;18.0;2;2;0;7;2;2;43;0.0;33.23529411764706;35.0;34.0;36.1764705882353;35.94444444444444;2;2;3;3;2;3;3;2.0;35.266666666666666
30;0;30;0;10;0;0;0;0;40;33;0;42.72;0;32;0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;1;2;0;0;0;0;0;0.0;34.588235294117645;33.53333333333333;24.22222222222222;39.0;0.0;2;2;3;3;2;3;3;4.0;50.0
24;0;36;0;0;0;0;0;0;8;0;0;47.0;0;10;0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;1;1;0;0;0;0;0;0.0;25.25;32.333333333333336;20.5;0.0;0.0;2;2;3;3;2;3;3;4.0;50.0
35;41;35;32;40;1;33;40;0;50;40;42;52.77;1;35;1;17.0;30;32;38;38;36;1;1;7;18.0;18.0;2;2;0;7;1;1;45;0.0;36.470588235294116;41.0;38.05555555555556;35.05882352941177;38.166666666666664;2;2;3;3;2;3;3;2.0;39.53333333333333
0;0;25;0;0;0;0;0;0;15;0;0;54.66;0;0;0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;1;1;0;0;0;0;0;0.0;25.0;27.666666666666668;0.0;0.0;0.0;2;2;3;3;2;3;3;4.0;50.0
30;33;30;38;40;2;30;35;1;40;34;37;47.14;1;40;1;17.0;30;30;36;34;30;1;1;7;18.0;18.0;2;2;0;7;1;1;42;0.0;32.588235294117645;36.666666666666664;35.166666666666664;37.588235294117645;34.0;2;2;3;3;2;3;3;2.0;39.4
31;30;30;40;40;1;42;31;2;45;30;33;49.15;1;45;1;17.0;38;32;32;41;32;2;1;7;18.0;18.0;2;2;0;7;1;2;41;0.0;33.8235294117647;35.666666666666664;33.166666666666664;37.8235294117647;33.94444444444444;2;2;3;3;2;3;3;2.0;35.2
35;41;30;34;40;1;30;35;1;50;35;33;51.41;1;40;1;17.0;30;32;31;35;31;1;1;7;18.0;18.0;2;2;0;7;2;1;44;0.0;35.0;37.333333333333336;35.27777777777778;35.8235294117647;34.5;2;2;3;3;2;3;3;2.0;33.53333333333333
30;41;35;33;38;1;39;39;3;30;30;34;51.21;1;35;1;17.0;40;36;36;39;34;2;1;7;18.0;18.0;2;2;0;7;2;3;41;0.0;32.05882352941177;34.0;33.111111111111114;35.05882352941177;37.166666666666664;2;2;3;3;2;3;3;2.0;37.53333333333333
31;40;40;36;38;1;32;35;1;35;36;42;58.84;1;37;1;17.0;46;30;41;37;35;1;1;7;18.0;18.0;2;2;0;7;2;1;46;0.0;35.0;38.666666666666664;34.72222222222222;38.76470588235294;38.05555555555556;2;2;3;3;2;3;3;3.0;41.13333333333333
40;39;40;36;35;1;32;30;0;50;45;42;66.94;1;45;1;17.0;33;31;33;35;36;1;1;7;18.0;18.0;2;2;0;7;1;1;31;0.0;39.11764705882353;36.666666666666664;35.666666666666664;37.470588235294116;35.166666666666664;2;2;3;3;2;3;3;3.0;41.666666666666664
35;36;30;42;42;1;32;33;0;40;45;44;50.37;1;40;1;17.0;47;30;43;44;46;1;1;7;18.0;18.0;2;2;0;7;1;1;39;0.0;33.23529411764706;35.333333333333336;37.888888888888886;42.88235294117647;38.5;2;2;3;3;2;3;3;3.0;40.93333333333333
30;32;35;40;44;1;42;36;0;45;39;34;50.37;1;30;1;17.0;38;30;42;38;30;1;1;7;18.0;18.0;2;2;0;7;1;1;48;0.0;34.411764705882355;40.666666666666664;35.5;39.11764705882353;36.333333333333336;2;2;3;3;2;3;3;2.0;39.2
35;40;35;32;40;1;37;31;1;30;30;38;48.26;1;41;1;17.0;38;40;34;36;34;1;1;7;18.0;18.0;2;2;0;7;2;1;40;0.0;36.11764705882353;37.666666666666664;33.27777777777778;37.35294117647059;37.666666666666664;2;2;3;3;2;3;3;2.0;38.2
41;0;30;0;11;0;0;0;1;35;36;0;56.7;0;0;0;3.0;0;0;0;0;10;0;0;1;0.0;2.0;1;2;1;0;2;0;0;2.0;25.41176470588235;34.0;28.5;32.0;10.0;2;2;3;3;2;3;3;1.0;28.0
