RENDIMIENTO_DOS;NOTA_POO;NOTA_INT;NOTA_FIS_DOS;NOTA_EYB;NOTA_DEM;NOTA_CIR_UNO;NOTA_HCI;VECES_INT;VECES_FIS_DOS;PROMEDIO_UNO;PG_ICFES;NCA_UNO;EPA_UNO;NAP_UNO;NCP_UNO;IDIOMA_ICFES;VECES_POO;NAA_UNO;VECES_CIR_UNO;VECES_EYB;VECES_DEM;CAR_UNO;QUIMICA_ICFES;ANO_INGRESO;GENERO;NCC_UNO;VECES_HCI;BIOLOGIA_ICFES;NAC_UNO;APT_VERB_ICFES;PROMEDIO_DOS;FILOSOFIA_ICFES;FISICA_ICFES;CREDITOS_HCI
2.0;45;30;35;35;35;36;45;2;3;32.05882352941177;410.7;17.0;2;0;0.0;48.92;1;7;2;1;2;3;50.18;2009;0;17.0;1;60.55;7;56.52;36.75;48.67;58.7;1
2.0;40;30;30;35;35;30;40;2;2;33.529411764705884;438.41;17.0;2;0;0.0;58.45;1;7;2;1;2;0;53.84;2009;0;17.0;2;53.84;7;52.97;33.4375;46.69;55.85;1
1.0;15;30;30;0;15;35;45;1;3;32.666666666666664;410.84;14.0;2;1;1.0;59.81;3;5;2;0;3;2;45.38;2009;0;15.0;2;53.84;6;54.87;27.857142857142858;44.33;50.98;1
2.0;40;30;30;40;35;45;40;1;1;35.0;445.52;17.0;2;0;0.0;39.11;1;7;2;1;1;0;56.05;2009;0;17.0;1;62.35;7;52.77;36.875;44.33;50.09;1
2.0;40;30;35;40;40;35;50;1;2;36.1764705882353;442.02;17.0;2;0;0.0;55.64;1;7;2;1;1;1;42.03;2009;0;17.0;1;55.53;7;57.14;36.875;56.09;51.55;1
1.0;0;0;0;25;0;15;0;0;0;25.0;424.22;2.0;1;5;15.0;43.48;0;2;3;1;0;5;54.2;2009;0;17.0;0;56.37;7;60.1;19.0;54.32;46.7;1
2.0;35;35;30;45;35;30;40;1;2;38.8235294117647;475.31;17.0;2;0;0.0;54.64;2;7;1;1;1;1;55.37;2009;0;17.0;1;55.27;7;62.78;34.6875;54.45;55.16;1
1.0;15;0;15;0;0;0;45;0;5;29.0;417.78;8.0;1;3;9.0;51.23;4;4;0;0;0;3;59.09;2009;0;17.0;1;48.23;7;55.4;19.285714285714285;56.81;42.78;1
1.0;20;0;30;0;40;15;30;0;1;34.11764705882353;416.6;10.0;2;2;7.0;49.65;2;5;2;0;1;2;61.3;2009;0;17.0;1;50.07;7;51.08;24.09090909090909;44.72;55.85;1
2.0;35;40;35;45;30;30;45;1;1;40.588235294117645;470.69;17.0;2;0;0.0;61.22;1;7;1;1;1;0;57.04;2009;0;17.0;1;54.55;7;62.59;36.5625;54.45;56.0;1
1.0;15;15;25;20;40;15;45;2;2;40.294117647058826;440.42;17.0;2;0;0.0;62.81;2;7;2;2;1;0;59.03;2009;0;17.0;1;51.89;7;51.38;20.9375;47.3;46.37;1
