PROMEDIO_TRES;PROMEDIO_DOS;NOTA_INT;NCA_DOS;NCA_TRES;NOTA_FIS_DOS;PG_ICFES;NOTA_FIS_TRES;BIOLOGIA_ICFES;VECES_FIS_TRES;CON_MAT_ICFES;PROMEDIO_UNO;FISICA_ICFES;NOTA_EL_UNO;NOTA_DEM;NAA_TRES;VECES_INT;NAA_DOS;NOTA_CIR_DOS;VECES_CIR_DOS;NAC_TRES;NAP_TRES;NCC_TRES;EPA_TRES;CAR_TRES;VECES_EL_UNO;VECES_MULTI;NCP_TRES;NOTA_EE_UNO;VECES_DEM;VECES_ECUA;NOTA_ECUA;CAR_DOS;NOTA_MULTI;CREDITOS_MULTI;CREDITOS_FIS_TRES;CREDITOS_EL_UNO;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
34.44444444444444;31.764705882352942;25.0;14.0;18.0;30.0;451.32;30.0;55.99;1;65.16;37.916666666666664;66.74;40.0;45.0;7;2;5;30.0;1;7;0;18.0;2;0;1;1;0.0;40.0;1;1;35.0;1;30.0;3;3;3;2.0;35.666666666666664
31.764705882352942;35.88235294117647;30.0;17.0;17.0;30.0;472.69;30.0;60.25;1;72.55;37.5;66.74;30.0;0.0;6;1;6;30.0;1;6;0;17.0;2;1;1;1;0.0;45.0;0;2;30.0;0;30.0;3;3;3;2.0;33.944444444000005
35.833333333333336;34.705882352941174;30.0;17.0;18.0;30.0;476.82;30.0;62.54;1;72.55;38.75;58.93;35.0;50.0;7;1;6;35.0;1;7;0;18.0;2;0;1;1;0.0;50.0;1;1;35.0;0;30.0;3;3;3;3.0;40.333333333333336
26.555555555555557;28.088235294705882;22.5;11.0;3.0;35.0;475.78;27.5;62.54;2;69.99;35.416666666666664;66.74;22.5;45.0;2;2;4;16.0;4;7;5;18.0;1;5;2;2;15.0;35.0;1;2;27.5;3;27.5;3;3;3;1.0;26.133333333333333
31.470588235294116;32.94117647058823;30.0;17.0;14.0;35.0;457.21;25.0;58.09;3;78.22;29.583333333333332;56.51;30.0;0.0;5;1;6;35.0;2;6;1;17.0;2;2;1;1;3.0;35.0;0;1;30.0;0;35.0;3;3;3;2.0;35.666666666666664
34.26470588235294;33.529411764705884;25.0;14.0;17.0;35.0;468.28;30.0;48.51;1;75.87;37.916666666666664;58.17;40.0;0.0;6;2;5;30.0;1;6;0;17.0;2;1;1;2;0.0;40.0;0;1;30.0;1;37.5;3;3;3;2.0;39.666666666666664
36.388888888888886;33.529411764705884;30.0;17.0;18.0;35.0;482.79;30.0;60.25;1;81.5;42.916666666666664;56.51;45.0;45.0;7;1;6;30.0;1;7;0;18.0;2;0;1;1;0.0;50.0;1;1;35.0;0;30.0;3;3;3;2.0;35.833333333333336
30.58823529411765;30.147058823529413;27.5;11.0;17.0;35.0;389.1;30.0;43.37;1;62.82;33.333333333333336;46.84;30.0;0.0;6;2;4;30.0;1;6;0;17.0;2;1;1;2;0.0;35.0;0;1;30.0;2;30.0;3;3;3;1.0;28.666666666666668
33.611111111111114;33.6764705882353;32.5;17.0;18.0;35.0;455.29;40.0;58.09;1;69.99;41.666666666666664;61.41;30.0;40.0;7;2;6;30.0;1;7;0;18.0;2;0;1;1;0.0;35.0;1;1;35.0;2;30.0;3;3;3;2.0;34.666666666666664
39.411764705882355;39.411764705882355;35.0;17.0;17.0;40.0;473.44;35.0;60.25;1;67.54;37.916666666666664;61.41;40.0;0.0;6;1;6;35.0;1;6;0;17.0;2;0;1;1;0.0;50.0;0;1;40.0;0;40.0;3;3;3;2.0;38.0
17.77777777777778;26.166666666;23.33333333;6.0;1.0;30.0;438.15;0.0;49.87;0;69.99;32.5;58.93;0.0;40.0;1;3;2;0.0;0;4;3;9.0;1;0;0;1;8.0;0.0;1;1;20.0;3;20.0;3;3;3;1.0;22.5
32.970588235294116;32.35294117647059;27.5;11.0;17.0;40.0;470.68;30.0;53.95;1;62.82;35.833333333333336;61.41;35.0;0.0;6;2;4;30.0;1;6;0;17.0;2;1;1;2;0.0;44.0;0;1;30.0;2;32.5;3;3;3;2.0;33.33333333266667
31.805555555555557;32.64705882352941;30.0;14.0;15.0;35.0;446.87;27.5;55.99;2;62.82;34.583333333333336;58.93;30.0;40.0;6;1;5;30.0;1;7;1;18.0;2;2;2;1;3.0;45.0;1;1;30.0;3;30.0;3;3;3;1.0;29.791666666666668
36.470588235294116;30.91176470588235;35.0;12.0;17.0;30.0;430.29;40.0;55.99;1;72.55;30.3125;46.84;30.0;0.0;6;1;4;40.0;1;6;0;17.0;2;0;1;1;0.0;40.0;0;1;35.0;2;35.0;3;3;3;2.0;33.666666666666664
21.416666667111112;26.274509803529412;22.5;3.0;3.0;35.0;482.39;22.5;60.25;2;67.54;30.833333333333332;56.51;4.333333333;45.0;2;2;1;8.333333333;3;7;5;18.0;1;5;3;2;15.0;40.0;1;3;26.66666667;5;25.0;3;3;3;2.0;30.583333333999995
18.731092437058827;33.38235294117647;22.5;14.0;2.0;50.0;471.05;14.14285714;60.25;7;62.82;31.818181818181817;69.69;3.0;0.0;1;2;5;26.66666667;3;6;5;17.0;1;5;2;4;15.0;35.0;0;5;20.0;2;19.0;3;3;3;1.0;18.6
15.0;35.0;0.0;3.0;1.0;0.0;490.49;0.0;60.25;0;75.27;36.81818181818182;72.97;0.0;45.0;1;0;1;0.0;0;2;1;3.0;1;0;0;0;2.0;0.0;1;0;0.0;0;0.0;3;3;3;2.0;40.0
38.23529411764706;36.76470588235294;40.0;17.0;17.0;35.0;410.43;35.0;53.95;1;60.49;35.416666666666664;58.93;35.0;0.0;6;1;6;35.0;1;6;0;17.0;2;0;1;1;0.0;40.0;0;1;40.0;0;45.0;3;3;3;2.0;39.666666666666664
35.55555555555556;33.529411764705884;35.0;11.0;18.0;35.0;482.43;40.0;58.09;1;62.82;32.9166666675;72.97;35.0;30.0;7;1;4;30.0;1;7;0;18.0;2;0;1;1;0.0;50.0;1;1;30.0;2;35.0;3;3;3;2.0;33.97777777733334
