NOTA_DIFERENCIAL;NOTA_CATEDRA_DEM;NOTA_PROG_BASICA;NAA_UNO;CAR_UNO;NOTA_TEXTOS;NOTA_LOGICA;NOTA_SEMINARIO;VECES_LOGICA;NAC_UNO;NCC_UNO;NCA_UNO;IDIOMA_ICFES;VECES_CATEDRA_DEM;NOTA_EE_UNO;PG_ICFES;NAP_UNO;VECES_DIFERENCIAL;CON_MAT_ICFES;NOTA_CATEDRA_CON;VECES_EE_UNO;NOTA_CATEDRA_FJC;NCP_UNO;LOCALIDAD_COLEGIO;EPA_UNO;VECES_PROG_BASICA;BIOLOGIA_ICFES;LITERATURA_ICFES;VECES_TEXTOS;VECES_CATEDRA_CON;VECES_CATEDRA_FJC;VECES_SEMINARIO;QUIMICA_ICFES;CREDITOS_PROG_BASICA;CREDITOS_LOGICA;CREDITOS_CATEDRA_FJC;PROMEDIO_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS
25.0;45.0;30.0;6;1;35.0;35.0;40.0;1;7;15.0;11.0;45.94;1;0.0;470.68;1;2;61.49;0.0;0;45.0;4.0;0;2;1;63.55;54.54;1;0;1;1;56.08;3;3;1;33.0;1.0;26.25357142857143
27.5;45.0;40.0;7;1;45.0;35.0;50.0;1;9;18.0;12.0;54.9;1;15.0;458.2;2;2;67.13;50.0;1;45.0;6.0;7;2;1;53.07;52.45;1;1;1;1;54.59;3;3;1;35.833333333333336;2.0;36.71052631578947
30.0;50.0;35.0;9;0;40.0;40.0;50.0;1;9;18.0;18.0;74.73;1;38.0;453.69;0;1;67.01;43.0;1;40.0;0.0;20;2;1;61.16;58.8;1;1;1;1;62.0;3;3;1;38.0;2.0;38.63157894736842
20.2;45.0;23.0;5;3;35.0;30.0;30.0;1;8;17.0;8.0;49.63;1;15.0;405.78;3;5;38.23;0.0;1;45.0;9.0;8;1;5;52.77;56.64;1;0;1;2;50.85;3;3;1;27.04705882352941;1.0;28.852941175882354
25.0;50.0;45.0;8;1;45.0;35.0;45.0;1;9;18.0;14.0;53.32;1;43.0;434.22;1;2;70.26;37.0;1;40.0;4.0;16;2;1;51.06;50.47;1;1;1;1;54.59;3;3;1;38.22222222222222;2.0;35.526315789473685
22.5;45.0;45.0;8;1;40.0;35.0;50.0;1;9;18.0;14.0;55.84;1;42.0;436.23;1;2;42.39;44.0;1;40.0;4.0;20;2;1;53.84;54.87;1;1;1;1;55.57;3;3;1;37.388888888888886;2.0;39.36842105263158
23.33333333;30.0;40.0;6;2;35.0;35.0;40.0;1;7;15.0;11.0;50.86;1;0.0;460.27;1;3;64.24;0.0;0;37.5;4.0;19;2;1;59.3;54.54;1;0;2;1;56.4;3;3;1;33.05555555466667;1.0;17.275
27.5;45.0;45.0;7;1;40.0;30.0;50.0;1;9;18.0;12.0;54.9;1;15.0;440.11;2;2;67.01;44.0;1;40.0;6.0;10;2;1;63.55;50.37;1;1;1;1;57.93;3;3;1;34.666666666666664;2.0;37.63157894736842
30.0;50.0;45.0;9;0;40.0;35.0;50.0;1;9;18.0;18.0;83.41;1;42.0;452.24;0;1;61.53;43.0;1;40.0;0.0;1;2;1;61.56;56.64;1;1;1;1;60.27;3;3;1;39.27777777777778;2.0;37.526315789473685
23.33333333;40.0;32.5;6;2;40.0;30.0;50.0;1;8;17.0;11.0;72.32;1;15.0;456.63;2;3;56.43;0.0;1;45.0;6.0;8;2;2;57.16;61.07;1;0;1;1;51.1;3;3;1;30.9313725482353;2.0;32.32142857142857
30.0;45.0;45.0;9;0;40.0;40.0;50.0;1;9;18.0;18.0;65.1;1;45.0;421.61;0;1;73.57;39.0;1;40.0;0.0;11;2;1;50.78;52.45;1;1;1;1;45.59;3;3;1;39.94444444444444;2.0;35.36842105263158
22.5;45.0;27.5;5;4;22.5;35.0;35.0;1;9;18.0;8.0;54.9;1;40.0;433.66;4;2;53.95;44.0;1;25.0;10.0;7;1;2;55.09;65.94;2;1;2;1;51.1;3;3;1;30.63888888888889;2.0;36.23684210526316
22.5;40.0;40.0;6;1;35.0;30.0;40.0;1;8;17.0;11.0;59.64;1;15.0;423.65;2;2;70.11;0.0;1;40.0;6.0;8;2;1;54.77;52.45;1;0;1;1;49.12;3;3;1;30.58823529411765;2.0;31.384615384615383
25.0;45.0;40.0;6;1;40.0;35.0;45.0;1;8;17.0;11.0;57.84;1;15.0;465.57;2;2;58.15;0.0;1;40.0;6.0;20;2;1;61.19;57.14;1;0;1;1;55.66;3;3;1;33.23529411764706;1.0;25.90909090909091
22.5;45.0;35.0;6;1;40.0;35.0;45.0;1;8;17.0;11.0;45.94;1;15.0;439.3;2;2;70.11;0.0;1;45.0;6.0;8;2;1;56.82;48.26;1;0;1;1;54.3;3;3;1;32.05882352941177;1.0;27.15625
