CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIFERENCIAL;NOTA_CATEDRA_DEM;NOTA_PROG_BASICA;NAA_UNO;CAR_UNO;NOTA_TEXTOS;NOTA_LOGICA;NOTA_SEMINARIO;VECES_LOGICA;NAC_UNO;NCC_UNO;NCA_UNO;VECES_CATEDRA_DEM;NOTA_EE_UNO;NAP_UNO;VECES_DIFERENCIAL;NOTA_CATEDRA_CON;VECES_EE_UNO;PROMEDIO_TRES;RENDIMIENTO_TRES
84.71;59.21;8;53.82;52.28;395.05;56.23;32.37777777866667;16.66666667;39.0;37.0;6;1;48.0;30.0;41.0;1;7;15.0;11.0;1;0.0;1;3;0.0;0;24.9;1.0
64.12;62.13;10;57.23;59.17;411.91;58.33;37.111111111111114;30.0;36.0;41.0;9;1;41.0;35.0;45.0;2;9;18.0;18.0;1;37.0;0;1;43.0;1;37.388888888888886;2.0
65.86;61.22;7;56.48;50.86;407.04;56.18;39.333333333333336;35.0;42.0;45.0;8;0;38.0;48.0;41.0;1;9;18.0;17.0;1;38.0;1;1;10.0;1;16.2;1.0
64.12;62.94;11;51.88;57.63;391.58;58.33;34.111111111111114;33.0;38.0;29.0;8;1;35.0;31.0;46.0;1;9;18.0;15.0;1;37.0;1;1;38.0;1;33.111111111111114;2.0
70.78;54.45;10;51.88;66.12;410.57;60.38;37.833333333333336;30.0;37.0;37.0;9;0;45.0;45.0;42.0;1;9;18.0;18.0;1;34.0;0;1;36.0;1;24.416666666111112;1.0
65.46;73.93;3;61.6;50.78;387.5;56.37;35.833333333333336;33.0;30.0;39.0;9;0;38.0;32.0;43.0;1;9;18.0;18.0;1;34.0;0;1;44.0;1;35.138888888888886;2.0
64.12;71.53;10;59.32;50.15;405.41;64.85;31.11111111111111;30.0;38.0;35.0;8;0;43.0;30.0;41.0;1;9;18.0;16.0;1;0.0;1;1;37.0;1;31.5;2.0
72.11;57.27;11;47.62;52.62;387.04;56.18;30.962962962222225;15.33333333;40.0;34.0;8;1;40.0;30.0;43.0;1;9;18.0;14.0;1;34.0;1;3;36.0;1;20.2;1.0
67.28;65.57;4;47.96;48.76;385.76;58.33;31.212962962777777;33.0;19.33333333;40.0;6;2;43.0;26.5;43.0;2;9;18.0;12.0;3;0.0;3;1;42.0;1;34.52777777777778;2.0
67.28;81.98;5;55.79;63.72;398.89;54.35;35.833333333333336;30.0;43.0;35.0;9;0;45.0;33.0;40.0;1;9;18.0;18.0;1;30.0;0;1;47.0;1;35.5;2.0
70.78;73.68;12;55.21;57.27;390.63;48.38;33.55555555555556;29.5;37.0;30.0;8;1;32.0;30.0;45.0;1;9;18.0;14.0;1;38.0;1;2;44.0;1;32.30555555555556;2.0
