NUMERO;PROMEDIO_CINCO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NOTA_GRAFOS;PROMEDIO_OCHO;NCC_OCHO;NOTA_LOG_UNO;NOTA_CALIDAD_DOS;NOTA_LENGUA_DOS;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;NOTA_GRADO_UNO;VECES_GRADO_UNO;CREDITOS_GRADO_UNO;NOTA_LOG_DOS;VECES_LOG_DOS;CREDITOS_LOG_DOS;NOTA_DECISION;VECES_DECISION;CREDITOS_DECISION;NOTA_PRODUCCION;VECES_PRODUCCION;CREDITOS_PRODUCCION;NOTA_FINANZAS;VECES_FINANZAS;CREDITOS_FINANZAS;NOTA_GIT;VECES_GIT;CREDITOS_GIT;NOTA_GTH;VECES_GTH;CREDITOS_GTH;NOTA_HISTORIA;VECES_HISTORIA;CREDITOS_HISTORIA;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
739;40.58823529411764;43.1764705882353;38.0;44.8;50.0;43.78571428571428;14;38.0;48.0;44.0;40.8125;1;16;16;0;8;8;0;2;50.0;1;1;43.0;1;2;35.5;2;2;40.0;1;3;31.0;1;2;47.0;1;2;41.0;1;2;44.0;1;2;3;42.27777777777778
740;40.1764705882353;38.47058823529412;34.0;38.06666666666667;50.0;37.92857142857143;14;35.0;44.0;46.0;39.1875;0;16;16;0;8;8;0;2;45.0;1;1;43.0;1;2;31.0;1;2;38.0;1;3;31.0;1;2;43.0;1;2;42.0;1;2;44.0;1;2;3;40.38888888888889
741;40.35294117647059;37.64705882352941;37.0;39.0;47.0;39.71428571428572;14;37.0;46.0;41.0;40.75;0;16;16;0;8;8;0;2;45.0;1;1;36.0;1;2;46.0;1;2;41.0;1;3;30.0;1;2;40.0;1;2;46.0;1;2;44.0;1;2;2;39.77777777777778
742;41.94117647058823;36.35294117647059;38.0;37.86666666666667;47.0;43.0;14;40.0;41.0;50.0;40.0;0;16;16;0;8;8;0;2;50.0;1;1;33.0;1;2;47.0;1;2;40.0;1;3;30.0;1;2;40.0;1;2;41.0;1;2;44.0;1;2;3;41.77777777777778
743;42.0;42.0;43.0;43.4;43.0;40.78571428571428;14;38.0;47.0;45.0;40.0625;0;16;16;0;8;8;0;2;50.0;1;1;42.0;1;2;32.0;1;2;37.0;1;3;32.0;1;2;42.0;1;2;46.0;1;2;46.0;1;2;3;42.5
744;38.88235294117647;37.29411764705883;32.0;38.93333333333333;33.0;39.85714285714285;14;30.5;41.0;42.0;39.25;0;16;16;0;8;8;0;2;50.0;1;1;38.0;1;2;47.0;1;2;32.0;1;3;30.0;1;2;50.0;1;2;30.0;1;2;46.0;1;2;2;37.33333333333334
747;39.1764705882353;36.58823529411764;29.0;39.8;42.0;39.57142857142857;14;36.0;40.0;38.0;37.3125;0;16;16;0;8;8;0;2;50.0;1;1;30.0;1;2;46.0;1;2;31.0;1;3;32.0;1;2;43.0;1;2;39.0;1;2;37.0;1;2;2;39.77777777777778
750;40.23529411764706;41.1764705882353;45.0;41.6;50.0;40.5;14;36.0;45.0;44.0;41.75;0;16;16;0;8;8;0;2;40.0;1;1;32.0;1;2;46.0;1;2;44.0;1;3;36.0;1;2;47.0;1;2;44.0;1;2;43.0;1;2;3;44.11111111111111
753;37.94117647058823;38.41176470588236;38.0;41.53333333333333;43.0;40.57142857142857;14;32.0;44.0;48.0;41.625;0;16;16;0;8;8;0;2;43.0;1;1;42.0;1;2;42.0;1;2;39.0;1;3;40.0;1;2;40.0;1;2;46.0;1;2;43.0;1;2;3;43.16666666666666
758;36.44117647058823;35.64705882352941;34.0;40.6;40.0;37.21428571428572;14;30.0;47.0;43.0;39.4375;0;16;16;0;8;8;0;2;45.0;1;1;41.0;1;2;32.0;1;2;34.0;1;3;34.0;1;2;50.0;1;2;47.0;1;2;38.0;1;2;2;39.44444444444444
759;38.64705882352941;39.47058823529412;42.0;42.73333333333333;50.0;43.57142857142857;14;35.0;48.0;48.0;42.125;0;16;16;0;8;8;0;2;47.0;1;1;31.0;1;2;44.0;1;2;39.0;1;3;41.0;1;2;50.0;1;2;44.0;1;2;45.0;1;2;2;38.94444444444444
