RENDIMIENTO_TRES;IDIOMA_ICFES;PG_ICFES;FISICA_ICFES;ANO_INGRESO;APT_VERB_ICFES;QUIMICA_ICFES;FILOSOFIA_ICFES;GENERO;BIOLOGIA_ICFES;PROMEDIO_UNO;NOTA_POO;NOTA_INT;NOTA_FIS_DOS;NOTA_EYB;NOTA_DEM;NOTA_CIR_UNO;NOTA_HCI;VECES_INT;VECES_FIS_DOS;PROMEDIO_TRES
2.0;54.57;453.61;52.53;2009;62.71;52.59;46.69;0;55.8;41.76470588235294;35;35;30;40;45;45;50;1;1;34.833333333333336
2.0;40.89;456.22;44.84;2009;62.71;54.29;51.65;0;64.97;33.529411764705884;30;30;30;30;45;35;45;2;2;34.333333333333336
2.0;55.84;414.93;51.73;2009;59.48;47.22;38.35;0;51.92;37.35294117647059;35;30;30;45;40;35;50;2;1;34.0
2.0;49.65;365.15;47.54;2009;50.87;33.56;30.1;0;48.23;32.64705882352941;30;26;30;40;37;21;45;4;3;35.5
2.0;65.86;434.12;58.23;2009;52.97;59.25;44.72;0;51.94;37.35294117647059;40;40;30;40;40;50;45;1;1;33.333333333333336
1.0;69.48;436.54;53.45;2009;52.97;50.5;48.98;0;60.01;32.35294117647059;30;0;25;45;45;0;50;0;2;25.0
1.0;46.06;432.62;53.57;2009;53.24;53.36;50.07;0;54.55;33.8235294117647;40;12;40;30;40;20;35;3;3;23.0
2.0;53.56;447.2;53.97;2009;61.16;47.6;53.94;0;55.53;34.411764705882355;40;30;35;45;40;30;50;2;1;38.0
1.0;48.92;430.54;58.7;2009;62.72;55.96;44.09;0;64.49;38.23529411764706;30;35;35;40;21;30;40;3;2;25.0
2.0;55.64;437.1;63.43;2009;47.41;52.46;56.09;0;53.71;40.0;45;35;30;35;35;40;45;1;1;34.666666666666664
1.0;48.43;442.55;47.54;2009;46.97;50.94;48.98;0;60.0;37.05882352941177;40;40;35;40;0;20;50;1;1;21.666666666666668
2.0;71.12;477.04;48.49;2009;68.67;51.64;57.33;0;67.41;36.470588235294116;40;30;30;45;40;35;45;2;1;35.333333333333336
2.0;49.6;423.35;61.03;2009;55.21;47.6;58.26;0;51.89;42.64705882352941;40;45;35;45;45;30;50;1;1;40.0
2.0;49.6;421.46;46.37;2009;55.21;45.87;53.94;0;53.71;37.64705882352941;40;30;30;40;35;30;40;1;1;34.0
2.0;58.45;433.91;53.45;2009;54.87;55.57;44.72;0;60.01;38.529411764705884;45;35;30;35;50;30;50;2;1;34.166666666666664
2.0;54.57;459.91;50.09;2009;60.56;54.29;48.98;0;64.97;38.8235294117647;40;30;40;45;40;30;40;1;2;35.833333333333336
2.0;58.59;414.27;47.62;2009;65.59;50.23;42.4;1;39.93;36.76470588235294;35;35;30;40;40;30;45;3;1;31.666666666666668
2.0;53.56;432.11;49.04;2009;61.16;47.6;49.58;0;59.24;37.64705882352941;40;30;35;45;30;35;50;2;1;32.0
2.0;49.6;452.99;53.97;2009;57.14;50.87;60.49;0;61.19;38.529411764705884;45;35;35;40;41;35;50;1;1;39.166666666666664
1.0;52.09;431.84;41.91;2009;60.24;50.23;54.45;0;57.49;36.76470588235294;40;29;30;40;45;23;35;4;2;30.0
2.0;45.71;448.11;63.43;2009;57.14;47.6;62.81;0;59.24;34.11764705882353;35;30;35;45;39;35;50;1;1;33.5
2.0;37.34;445.15;58.68;2009;59.11;54.05;51.78;0;53.71;42.05882352941177;40;40;30;45;40;30;50;1;1;34.166666666666664
2.0;39.07;369.67;48.49;2009;44.9;46.68;47.29;0;34.26;36.88235294117647;42;35;36;50;48;29;45;2;1;31.0
2.0;48.65;425.9;63.27;2009;62.59;51.64;45.07;0;56.75;35.88235294117647;45;35;30;35;35;30;40;2;1;31.5
2.0;36.79;435.96;55.5;2009;68.15;50.65;48.19;0;48.54;34.705882352941174;40;30;30;45;38;35;50;1;1;31.666666666666668
2.0;51.23;442.08;56.0;2009;53.24;57.04;47.61;0;56.75;39.11764705882353;45;40;30;40;50;35;50;2;2;32.5
2.0;54.64;406.68;56.0;2009;51.14;51.64;43.64;0;64.3;33.8235294117647;30;35;35;45;35;35;35;3;2;35.666666666666664
2.0;44.34;441.81;60.0;2009;51.41;64.14;49.72;0;57.49;45.588235294117645;45;40;30;35;50;30;50;1;1;35.0
2.0;57.13;446.56;64.43;2009;48.95;59.94;49.38;0;64.97;33.8235294117647;40;27;36;40;39;16;40;3;3;36.0
2.0;47.79;443.93;48.49;2009;60.02;53.36;39.25;0;56.75;41.76470588235294;35;30;30;40;45;35;50;1;1;32.5
2.0;58.59;467.57;57.57;2009;51.41;46.94;54.89;0;53.11;39.11764705882353;40;35;30;40;42;30;50;1;1;35.0
2.0;48.65;438.83;47.62;2009;51.41;46.94;54.89;0;53.11;36.1764705882353;40;30;30;45;39;35;50;1;1;32.166666666666664
1.0;45.71;451.75;58.68;2009;53.3;54.05;56.09;0;63.27;32.94117647058823;40;35;40;45;40;30;50;3;2;25.0
2.0;46.06;409.87;50.22;2009;51.41;48.59;36.39;0;53.11;36.470588235294116;40;6;35;40;35;25;45;1;1;35.0
2.0;53.56;416.56;51.55;2009;59.11;49.26;56.09;0;51.89;35.588235294117645;30;30;30;35;40;30;30;3;1;34.333333333333336
2.0;81.05;415.09;55.85;2009;52.97;59.25;33.32;0;48.2;40.294117647058826;40;40;30;35;35;35;45;2;1;35.833333333333336
2.0;51.56;427.62;51.55;2009;55.21;55.66;36.49;0;53.71;37.05882352941177;40;30;30;35;35;30;40;1;1;34.5
2.0;49.65;434.27;55.85;2009;42.93;53.84;44.72;0;46.32;37.35294117647059;40;30;30;36;40;30;40;1;1;30.833333333333332
1.0;39.58;384.33;58.68;2009;49.43;47.6;42.38;0;48.15;36.76470588235294;35;30;35;35;0;25;40;1;2;30.0
1.0;52.09;432.4;48.41;2009;56.79;59.25;49.38;0;57.84;27.352941176470587;0;0;15;0;0;0;0;0;1;15.0
2.0;43.48;415.5;51.73;2009;53.22;54.01;41.05;0;62.54;36.76470588235294;40;30;40;45;45;30;45;1;3;34.166666666666664
2.0;46.69;413.9;56.61;2009;50.2;46.96;49.86;0;55.22;34.411764705882355;30;30;30;30;45;30;50;1;2;32.5
2.0;76.45;423.58;53.45;2009;49.15;53.84;56.21;0;51.94;34.411764705882355;45;30;35;45;45;35;50;1;1;34.833333333333336
2.0;55.95;416.69;52.72;2009;51.41;50.23;42.4;0;55.27;38.8235294117647;30;30;30;50;30;30;30;2;2;34.0
2.0;48.43;432.6;55.85;2009;49.15;59.25;46.69;0;53.84;35.88235294117647;40;20;30;30;30;27;40;4;3;32.0
2.0;44.66;424.9;48.79;2009;52.33;48.89;46.23;0;55.73;37.05882352941177;37;30;35;30;50;30;40;2;2;34.5
2.0;39.11;407.52;52.53;2009;56.57;46.0;47.08;0;48.23;35.588235294117645;40;30;35;35;37;35;45;2;2;35.833333333333336
1.0;49.65;420.3;50.98;2009;56.79;55.57;48.98;0;55.79;34.11764705882353;0;15;15;25;0;0;40;3;3;15.0
1.0;38.31;414.02;44.84;2009;50.87;52.59;44.72;0;50.09;35.88235294117647;40;30;35;40;35;30;45;2;3;21.2
2.0;49.65;427.45;45.69;2009;49.15;57.36;41.86;0;55.79;37.94117647058823;40;30;40;35;30;30;40;2;2;36.666666666666664
1.0;54.9;453.79;50.58;2010;56.64;52.83;51.14;0;53.07;35.294117647058826;15;30;30;40;40;30;35;1;1;28.666666666666668
2.0;39.11;440.42;53.45;2010;56.79;53.84;48.98;0;57.84;36.470588235294116;39;30;37;30;37;24;45;3;3;33.0
2.0;67.51;429.97;48.33;2010;52.45;52.57;58.46;1;48.79;39.411764705882355;45;35;30;45;50;35;50;1;1;35.0
2.0;59.64;463.73;57.99;2010;50.37;64.8;48.86;0;49.05;38.23529411764706;45;30;35;30;50;30;45;1;1;35.5
1.0;53.32;421.91;57.99;2010;52.45;58.28;48.86;0;44.9;36.1764705882353;40;35;35;35;30;30;35;2;2;17.333333333333332
1.0;77.14;478.26;58.27;2010;63.4;57.93;55.96;0;54.77;33.8235294117647;35;25;25;35;30;25;45;1;1;25.0
2.0;67.6;431.96;59.61;2010;52.77;56.05;51.25;0;53.85;34.705882352941174;30;30;30;35;40;26;40;1;1;36.25
2.0;57.84;480.28;56.34;2010;63.33;57.31;53.94;0;68.0;41.1764705882353;45;35;30;45;35;35;45;2;1;37.0
2.0;56.01;445.29;54.01;2010;66.67;50.18;57.3;0;62.46;37.35294117647059;30;35;35;35;35;30;50;2;2;35.833333333333336
2.0;47.17;441.57;50.58;2010;50.37;56.4;46.59;0;49.05;35.294117647058826;35;30;40;40;40;30;30;1;1;35.333333333333336
1.0;48.4;447.88;50.58;2010;58.8;51.1;61.03;0;53.07;32.05882352941177;38;32;30;30;33;30;30;4;1;26.833333333333332
2.0;59.64;441.81;58.27;2010;56.64;59.89;46.77;0;50.78;34.705882352941174;40;30;40;35;44;30;43;1;1;34.5
2.0;41.7;475.81;56.34;2010;59.11;59.03;49.58;0;68.0;38.529411764705884;40;36;30;30;40;30;35;2;2;31.333333333333332
2.0;52.09;453.48;53.43;2010;54.54;56.08;53.59;0;61.16;36.76470588235294;45;30;35;30;40;36;50;1;2;35.0
2.0;43.48;431.93;48.33;2010;52.45;56.08;42.19;0;48.79;37.94117647058823;35;35;30;40;40;30;45;2;1;32.5
2.0;52.09;429.33;58.93;2010;53.22;47.22;46.04;0;51.92;36.1764705882353;45;25;30;40;35;25;45;4;1;37.5
1.0;42.76;458.1;55.56;2010;54.54;54.59;53.46;0;59.3;37.64705882352941;35;32;35;40;41;30;40;4;2;28.5
2.0;60.23;452.32;51.86;2010;57.87;53.85;62.45;0;50.63;36.1764705882353;45;35;35;45;45;40;50;2;1;37.0
1.0;45.71;450.23;56.34;2010;57.14;52.46;51.78;0;59.24;35.0;25;36;31;35;0;25;40;4;4;27.5
2.0;48.4;389.23;53.11;2010;43.99;49.37;46.59;0;47.0;36.1764705882353;35;30;35;45;45;37;40;1;1;35.333333333333336
2.0;67.51;437.45;50.94;2010;46.23;52.57;42.19;0;48.79;37.05882352941177;45;15;40;40;35;35;50;1;1;40.0
1.0;64.23;443.92;64.0;2010;53.22;57.44;38.35;0;53.95;39.705882352941174;35;40;35;30;35;35;40;2;2;25.833333333333332
3.0;49.63;441.27;58.27;2010;58.8;54.3;46.77;0;50.78;40.588235294117645;0;30;45;45;40;25;40;1;1;45.0
2.0;58.06;442.56;53.11;2010;50.37;58.28;44.29;1;51.06;40.88235294117647;45;40;40;50;35;35;45;1;1;40.0
2.0;59.64;411.86;57.99;2010;50.37;54.59;46.59;1;53.07;42.35294117647059;35;35;35;45;45;45;50;1;1;38.833333333333336
2.0;42.76;439.54;50.58;2010;52.54;56.4;51.14;1;53.07;35.588235294117645;40;30;30;40;45;35;45;2;1;34.333333333333336
2.0;65.1;445.87;53.43;2010;54.6;54.3;53.59;0;52.77;38.8235294117647;45;35;40;41;40;30;45;1;1;35.833333333333336
2.0;49.6;462.5;53.97;2010;55.21;59.03;51.78;0;63.27;35.588235294117645;40;30;30;45;39;30;50;2;1;31.666666666666668
2.0;79.55;478.75;48.33;2010;54.54;64.33;53.59;1;54.77;38.8235294117647;40;35;40;45;45;35;45;2;1;36.5
1.0;41.68;433.24;48.33;2010;61.03;54.3;42.19;0;46.76;33.23529411764706;40;30;31;40;0;23;45;1;3;22.5
2.0;35.81;394.33;45.15;2010;52.54;51.1;44.29;0;53.07;37.35294117647059;40;32;35;45;35;37;45;1;2;33.666666666666664
1.0;50.86;424.65;55.56;2010;58.8;58.28;39.52;0;59.3;36.470588235294116;30;30;30;40;45;30;40;2;1;25.833333333333332
2.0;56.48;428.73;55.86;2010;61.07;54.3;44.51;0;44.68;37.94117647058823;40;35;40;45;45;35;45;2;2;34.833333333333336
1.0;51.23;451.49;47.62;2010;55.65;53.59;52.48;0;59.82;36.1764705882353;40;40;35;45;0;26;45;1;1;26.5
2.0;61.22;453.55;60.41;2010;56.7;52.83;51.14;0;51.06;37.64705882352941;40;42;35;45;35;21;45;2;1;32.5
2.0;39.05;441.59;53.43;2010;54.54;64.33;44.51;0;52.77;35.0;35;40;30;40;40;30;45;2;2;33.166666666666664
2.0;54.9;441.79;53.11;2010;52.54;58.28;46.59;0;59.3;40.88235294117647;35;35;30;40;35;40;40;1;1;36.166666666666664
2.0;62.69;456.1;58.27;2010;50.37;50.85;49.02;0;50.78;39.705882352941174;40;35;30;40;40;35;45;1;1;33.666666666666664
2.0;54.9;470.32;60.67;2010;63.4;59.89;49.02;0;50.78;37.64705882352941;45;30;30;45;40;35;50;1;1;35.666666666666664
2.0;65.86;455.01;47.54;2010;60.56;56.05;44.72;0;60.0;37.94117647058823;50;35;30;50;50;40;50;1;1;35.0
2.0;62.69;438.56;53.43;2010;54.54;50.85;37.24;0;48.79;36.76470588235294;40;35;30;45;40;30;45;2;1;31.666666666666668
2.0;72.32;477.7;50.58;2010;56.7;56.4;51.14;0;51.06;39.411764705882355;40;35;30;50;50;30;40;1;1;35.5
2.0;48.4;426.08;58.27;2010;56.64;52.57;49.02;0;48.79;35.88235294117647;45;35;45;40;40;30;50;2;1;38.0
1.0;59.64;439.19;60.41;2010;46.1;52.83;51.14;0;51.06;39.411764705882355;30;30;30;40;40;30;45;1;2;20.5
2.0;65.1;453.6;57.99;2010;52.54;49.37;53.46;0;55.09;32.64705882352941;40;30;30;35;40;34;45;2;2;31.166666666666668
2.0;83.41;450.37;58.27;2010;58.8;56.08;58.46;0;56.82;36.1764705882353;40;35;30;35;40;30;40;1;1;35.5
2.0;56.48;440.49;53.11;2010;50.37;54.59;53.46;1;53.07;35.0;45;30;40;40;45;30;45;2;1;37.333333333333336
2.0;69.92;418.18;50.94;2010;56.64;52.57;37.24;1;50.78;42.05882352941177;40;37;35;40;45;30;50;2;1;38.833333333333336
2.0;42.76;424.24;58.27;2010;48.26;49.12;44.51;1;50.78;33.23529411764706;45;30;35;45;40;30;40;2;1;36.0
2.0;69.92;430.88;50.94;2010;52.45;57.93;46.77;1;50.78;34.94117647058823;38;36;39;43;47;30;30;1;1;37.5
2.0;47.17;431.56;53.43;2010;61.03;52.57;46.77;0;50.78;37.94117647058823;35;30;30;40;36;30;45;1;1;35.166666666666664
2.0;62.69;427.61;48.33;2010;56.64;47.38;51.28;0;56.82;35.88235294117647;35;25;35;35;30;15;35;3;2;35.0
1.0;55.64;444.1;43.5;2010;59.11;57.31;56.09;0;65.51;35.0;40;40;30;0;35;30;45;1;1;22.0
