NOTA_STG;PROMEDIO_SEIS;NOTA_C_UNO;NOTA_FDS;PROMEDIO_OCHO;NOTA_ELECPOT;NOTA_INSIND;NOTA_SISDIN;NAP_OCHO;NOTA_INGECO;NOTA_TFM;NOTA_VARCOM;NOTA_TELEC_UNO;NAC_OCHO;NOTA_TELEMA_UNO;VECES_STG;CON_MAT_ICFES;NCA_OCHO;NCC_OCHO;PROMEDIO_SIETE;PROMEDIO_TRES;CAR_OCHO;NOTA_COMDIG;NOTAS_BDATOS;NCP_OCHO;NAA_OCHO;NOTA_BIOING_UNO;NCC_SIETE;EPA_OCHO;VECES_INSIND;VECES_BDATOS;VECES_TELEC_UNO;VECES_INGECO;VECES_C_UNO;VECES_BIOING_UNO;VECES_TELEMA_UNO;CREDITOS_STG;CREDITOS_BIOING_UNO;CREDITOS_C_UNO;CREDITOS_INGECO;CREDITOS_TELEC_UNO;CREDITOS_BDATOS;CREDITOS_TELEMA_UNO;CREDITOS_INSIND;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
45.0;37.857142857142854;17.0;45.0;34.77777777777778;46.0;30.0;30.0;1;36.0;48.0;25.0;36.0;8;37.0;1;62.82;15.0;18.0;38.75;32.970588235294116;1;35.0;45.0;3.0;7;48.0;12.0;2;1;1;1;1;2;1;1;1;2;3;2;3;2;2;3;2.0;40.0
48.0;33.857142856428574;30.0;34.0;37.44444444444444;37.0;32.0;30.0;0;34.0;39.0;35.0;40.0;8;41.0;1;72.55;18.0;18.0;32.27777777833334;36.470588235294116;1;31.0;42.0;0.0;8;43.0;12.0;2;2;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;42.411764705882355
48.0;39.357142857142854;35.0;50.0;42.27777777777778;50.0;39.0;45.0;0;43.0;49.0;40.0;41.0;8;46.0;1;60.49;18.0;18.0;43.333333333333336;38.23529411764706;0;40.0;45.0;0.0;8;50.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;44.714285714285715
50.0;24.250000000714287;18.0;29.0;38.388888888888886;26.5;42.0;30.0;1;39.0;36.0;23.33333333;37.0;8;43.0;1;62.82;15.0;18.0;32.458333333333336;35.55555555555556;1;36.0;44.0;3.0;7;49.0;12.0;2;1;1;1;1;2;1;1;1;2;3;2;3;2;2;3;2.0;38.88235294117647
48.0;36.25;45.0;47.0;44.333333333333336;38.0;44.0;35.0;0;41.0;50.0;32.5;45.0;8;38.0;1;78.22;18.0;18.0;37.916666666666664;33.05555555555556;0;39.0;48.0;0.0;8;47.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;43.285714285714285
48.0;28.428571428571427;30.0;31.0;37.77777777777778;26.5;35.0;30.0;0;40.0;42.0;45.0;37.0;8;35.0;1;72.55;18.0;18.0;33.958333333333336;36.1764705882353;0;44.0;43.0;0.0;8;45.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;42.642857142857146
48.0;32.285714285714285;47.0;40.0;43.333333333333336;43.0;43.0;40.0;0;44.0;50.0;30.0;42.0;8;33.0;1;69.99;18.0;18.0;40.0;39.72222222222222;0;39.0;48.0;0.0;8;43.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;4.0;45.214285714285715
45.0;31.5;26.5;34.0;35.97222222222222;34.0;31.0;30.0;1;37.0;41.0;35.0;42.0;8;38.0;1;78.22;15.0;18.0;31.25;31.029411764705884;1;30.0;35.0;3.0;7;42.0;12.0;2;1;1;1;1;2;1;1;1;2;3;2;3;2;2;3;3.0;40.05882352941177
0.0;23.60606060454546;11.0;19.0;25.285714285714285;6.5;0.0;21.5;1;42.0;0.0;23.33333333;0.0;3;0.0;0;62.82;4.0;7.0;20.458333333333332;33.73529411764706;0;35.0;30.0;3.0;2;0.0;12.0;1;0;1;0;1;1;0;0;1;2;3;2;3;2;2;3;1.0;4.15
42.0;33.5;32.0;33.0;40.833333333333336;40.0;44.0;40.0;0;41.0;44.0;30.0;39.0;8;46.0;1;78.22;18.0;18.0;38.0;32.44444444444444;1;40.0;47.0;0.0;8;40.0;12.0;2;1;1;1;1;2;1;1;1;2;3;2;3;2;2;3;3.0;40.5
