NOTA_FGEP;NOTA_HIST;NOTA_CCON;NOTA_L_DOS;NOTA_AIELEC;NOTA_SUBEL;VECES_SUBEL;VECES_FGEP;VECES_L_DOS;VECES_HIST;NOTA_L_UNO;PROMEDIO_SIETE;VECES_CCON;NOTA_EI_DOS;NOTA_ELECPOT;NAC_CINCO;NCC_SIETE;NAA_SIETE;EPA_SIETE;NOTA_AUTO;NOTA_MAQEL;VECES_AIELEC;VECES_ECO;NOTA_ECO;NOTA_ASP;NAP_SIETE;NAC_SIETE;NCA_SIETE;VECES_ASP;CAR_SIETE;NCP_SIETE;VECES_EI_DOS;CREDITOS_EI_DOS;CREDITOS_AIELEC;CREDITOS_SUBEL;CREDITOS_L_DOS;CREDITOS_HIST;CREDITOS_FGEP;CREDITOS_CCON;RENDIMIENTO_OCHO;PROMEDIO_OCHO
32;42;37;44;30;31;2;1;1;1;41;34.166666666666664;1;34;33;7;18.0;7;2;30;34;3;1;34;36;0;7;18.0;4;2;0.0;1;3;2;3;2;2;2;1;2.0;35.2
49;45;46;36;30;30;2;1;1;1;47;42.388888888888886;1;39;38;7;18.0;7;2;39;48;1;1;48;40;0;7;18.0;1;1;0.0;1;3;2;3;2;2;2;1;2.0;38.2
34;47;40;45;32;37;1;1;1;1;50;38.333333333333336;1;36;32;7;18.0;7;2;37;36;1;1;36;38;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;2.0;38.333333333333336
38;42;47;44;36;30;2;1;1;1;48;36.0;1;34;30;7;18.0;7;2;36;39;1;2;39;31;0;7;18.0;1;2;0.0;1;3;2;3;2;2;2;1;2.0;37.266666666666666
33;42;45;45;39;32;1;1;1;1;40;35.27777777777778;1;33;30;6;18.0;7;2;31;38;1;1;38;34;0;7;18.0;3;1;0.0;1;3;2;3;2;2;2;1;2.0;37.2
48;45;49;48;39;31;2;1;1;1;48;36.27777777777778;1;37;30;7;18.0;7;2;37;30;1;1;30;41;0;7;18.0;2;2;0.0;1;3;2;3;2;2;2;1;3.0;40.86666666666667
38;44;38;42;32;34;1;1;1;1;43;36.888888888888886;1;43;30;7;18.0;7;2;33;34;1;1;34;39;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;2.0;38.733333333333334
40;47;39;48;38;30;2;1;1;1;44;39.833333333333336;1;37;30;7;18.0;7;2;42;40;2;1;40;45;0;7;18.0;2;3;0.0;1;3;2;3;2;2;2;1;2.0;39.06666666666667
45;43;47;36;34;36;4;1;1;1;41;35.333333333333336;1;38;30;7;18.0;7;2;34;30;3;1;30;43;0;7;18.0;2;2;0.0;1;3;2;3;2;2;2;1;2.0;39.0
44;41;36;42;40;17;4;1;1;1;50;35.44444444444444;1;30;34;7;18.0;7;2;30;32;2;1;32;30;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;2.0;34.06666666666667
