NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCP_UNO;NAA_UNO;NAP_UNO;ESTADO_FINAL;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_INTEGRAL;VECES_INTEGRAL;CREDITOS_INTEGRAL;NOTA_FISICA_UNO;VECES_FISICA_UNO;CREDITOS_FISICA_UNO;NOTA_MATERIALES;VECES_MATERIALES;CREDITOS_MATERIALES;NOTA_DEMOCRACIA;VECES_DEMOCRACIA;CREDITOS_DEMOCRACIA;NOTA_PBASICA;VECES_PBASICA;CREDITOS_PBASICA;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;RENDIMIENTO_TRES;PROMEDIO_TRES
954;10;449.0;76.0;59.0;76.0;55.0;10;34.56666666666667;1;15;3;6;1;5;31.0;40.0;21.5;38.0;43.0;42.0;42.0;33.58823529411764;1;17;17;0;7;7;0;2;31.0;2;3;32.0;1;3;30.0;1;3;35.0;1;2;34.0;1;1;38.0;1;3;37.0;1;2;2;37.88888888888889
955;10;428.0;85.0;60.0;63.0;60.0;8;37.66666666666666;1;15;3;6;1;5;36.0;39.0;28.0;38.0;40.0;43.0;49.0;38.8235294117647;0;17;17;0;7;7;0;2;38.0;1;3;35.0;1;3;39.0;1;3;31.0;1;2;38.0;1;1;44.0;1;3;46.0;1;2;3;40.16666666666666
956;15;447.0;85.0;52.0;59.0;60.0;18;35.83333333333334;2;15;3;6;1;2;30.0;44.0;25.5;39.0;38.0;42.0;48.0;33.1764705882353;2;17;10;7;7;4;3;1;32.0;1;3;27.66666666666667;3;3;31.0;1;3;27.0;2;2;39.0;1;1;49.0;1;3;26.0;1;2;2;37.44444444444444
958;13;442.0;76.0;63.0;68.0;55.0;1;36.96666666666667;1;15;3;6;1;2;35.0;43.0;28.5;36.0;41.0;39.0;43.0;35.47058823529412;2;17;17;0;7;7;0;2;31.0;1;3;34.0;1;3;36.0;1;3;30.5;2;2;40.0;1;1;43.0;2;3;35.0;1;2;2;30.90625
959;16;423.0;85.0;60.0;48.0;60.0;8;26.13333333333333;3;15;9;4;3;9;12.0;29.0;24.0;39.0;32.0;39.0;36.0;3.75;3;14;0;14;5;0;5;1;8.0;3;3;0.0;1;3;5.5;2;3;0.0;1;2;0.0;0;1;4.0;3;3;0.0;0;2;1;5.5
960;10;433.0;75.0;65.0;48.0;47.0;10;18.76923076923077;3;13;8;3;3;9;7.5;33.0;10.5;9.5;38.0;31.0;0.0;2.0;0;9;0;9;3;0;3;1;3.0;1;3;0.0;0;3;3.0;1;3;0.0;0;2;0.0;0;1;0.0;1;3;0.0;0;2;0;0.0
962;10;466.0;64.0;55.0;63.0;56.0;10;35.23333333333333;2;15;3;6;1;5;31.5;41.0;28.5;38.0;36.0;41.0;42.0;36.47058823529412;1;17;14;3;7;6;1;2;37.0;1;3;20.0;2;3;34.0;1;3;41.0;1;2;32.0;1;1;49.0;1;3;43.0;1;2;3;41.5
963;10;439.0;85.0;52.0;48.0;63.0;10;34.86666666666667;2;15;4;6;1;5;27.0;40.0;30.0;40.0;41.0;43.0;40.0;36.94117647058823;0;17;17;0;7;7;0;2;33.0;1;3;35.0;1;3;37.0;1;3;34.0;1;2;39.0;1;1;48.0;1;3;31.0;1;2;3;41.33333333333334
964;14;450.0;85.0;60.0;77.0;56.0;14;36.93333333333333;2;15;0;7;0;5;33.0;35.0;31.0;40.0;46.0;43.0;42.0;37.52941176470588;0;17;17;0;7;7;0;2;30.0;1;3;41.0;1;3;39.0;1;3;30.0;1;2;41.0;1;1;39.0;1;3;45.0;1;2;2;37.33333333333334
966;11;426.0;85.0;60.0;55.0;52.0;8;35.03333333333333;2;15;3;6;1;3;33.5;45.0;21.5;41.0;36.0;40.0;42.0;39.41176470588236;0;17;17;0;7;7;0;2;40.0;1;3;43.0;1;3;31.0;1;3;33.0;1;2;42.0;1;1;50.0;1;3;35.0;1;2;3;41.22222222222222
967;14;432.0;76.0;63.0;63.0;56.0;8;27.92307692307692;0;13;9;3;3;9;22.0;29.0;16.0;37.0;44.0;44.0;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;0;0.0
969;11;447.0;69.0;63.0;63.0;53.0;11;35.1;2;15;7;5;2;3;25.0;45.0;27.5;40.0;42.0;42.0;44.0;37.0;2;17;14;3;7;6;1;2;26.0;2;3;35.0;2;3;32.0;1;3;36.0;1;2;42.0;1;1;48.0;1;3;46.0;1;2;3;42.44444444444444
970;14;439.0;86.0;59.0;55.0;47.0;19;32.73076923076923;1;13;3;5;1;9;32.0;40.0;23.5;39.0;35.0;38.0;0.0;28.6;4;15;6;9;6;2;4;1;27.33333333333333;3;3;26.66666666666667;3;3;30.0;1;3;17.5;2;2;19.0;2;1;41.0;1;3;0.0;0;2;2;34.3125
971;8;449.0;59.0;70.0;51.0;60.0;8;34.30769230769231;0;13;7;4;2;9;26.0;43.0;28.0;37.0;46.0;43.0;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;0;0.0
973;6;427.0;68.0;70.0;59.0;47.0;6;34.93333333333333;2;15;7;5;2;5;28.5;42.0;26.0;39.0;42.0;41.0;42.0;38.88235294117647;0;17;17;0;7;7;0;2;35.0;1;3;34.0;1;3;34.0;1;3;35.0;1;2;42.0;1;1;50.0;1;3;45.0;1;2;3;43.44444444444444
974;14;451.0;69.0;63.0;59.0;60.0;18;12.30769230769231;0;13;13;0;6;9;10.0;18.0;6.0;7.0;20.0;19.0;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;0;0.0
976;18;444.0;86.0;55.0;68.0;52.0;18;35.73333333333333;2;15;7;5;2;5;27.0;39.0;29.0;39.0;44.0;42.0;47.0;33.38235294117647;2;17;14;3;7;6;1;2;26.5;2;3;30.0;1;3;31.0;1;3;32.5;2;2;40.0;1;1;40.0;1;3;40.0;1;2;2;39.44444444444444
978;11;461.0;86.0;47.0;76.0;50.0;10;32.51111111111111;3;15;7;5;2;5;25.66666666666667;31.5;23.0;38.0;41.0;43.0;45.0;33.61764705882353;1;17;14;3;7;6;1;2;30.0;1;3;31.0;1;3;28.5;2;3;31.0;1;2;38.0;1;1;41.0;1;3;40.0;1;2;2;38.38888888888889
979;21;455.0;75.0;60.0;63.0;63.0;10;25.68888888888889;3;15;11;3;4;9;24.5;29.66666666666667;21.0;34.0;35.0;31.0;15.0;18.58333333333333;2;12;3;9;5;1;4;1;10.0;1;3;0.0;0;3;24.66666666666667;3;3;5.0;1;2;10.0;1;1;33.0;2;3;0.0;0;2;1;26.52380952380953
981;9;452.0;63.0;65.0;63.0;80.0;10;13.76923076923077;0;13;11;1;5;9;11.0;23.0;1.0;10.0;33.0;10.0;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;0;0.0
984;11;422.0;59.0;76.0;58.0;60.0;10;36.0;2;15;3;6;1;5;30.0;35.0;28.0;45.0;44.0;47.0;43.0;37.47058823529412;0;17;17;0;7;7;0;2;30.0;1;3;33.0;1;3;36.0;1;3;35.0;1;2;39.0;1;1;45.0;1;3;48.0;1;2;2;39.94444444444444
988;11;433.0;75.0;60.0;63.0;55.0;11;35.0;2;15;4;6;1;2;28.5;32.5;30.0;41.0;44.0;39.0;44.0;38.58823529411764;0;17;17;0;7;7;0;2;35.0;1;3;37.0;1;3;36.0;1;3;34.0;1;2;36.0;1;1;48.0;1;3;42.0;1;2;3;42.72222222222222
989;15;438.0;64.0;69.0;55.0;55.0;5;35.23333333333333;2;15;3;6;1;5;30.0;30.5;24.5;48.0;42.0;44.0;49.0;35.21568627450981;3;17;14;3;7;6;1;2;26.66666666666667;3;3;33.0;1;3;32.0;2;3;31.33333333333333;3;2;40.0;1;1;45.0;1;3;43.0;1;2;3;43.61111111111111
991;7;395.0;76.0;75.0;58.0;60.0;20;31.28888888888889;2;15;7;5;2;9;27.33333333333333;30.0;17.0;38.0;43.0;39.0;43.0;24.83333333333333;2;9;3;6;3;1;2;1;8.5;2;3;0.0;0;3;22.0;2;3;0.0;0;2;0.0;0;1;44.0;1;3;0.0;0;2;0;0.0
992;4;429.0;69.0;68.0;63.0;49.0;4;13.58888888888889;4;15;13;1;6;9;4.333333333333333;24.0;6.0;4.0;37.0;22.5;10.0;6.375;0;8;0;8;3;0;3;1;0.0;0;3;0.0;0;3;0.0;1;3;0.0;0;2;0.0;0;1;15.0;1;3;3.0;1;2;0;0.0
994;11;426.0;86.0;55.0;63.0;43.0;11;35.26666666666667;2;15;3;6;1;9;39.0;30.0;25.0;39.0;37.0;41.0;42.0;25.67647058823529;1;17;10;7;7;4;3;1;30.0;1;3;12.5;2;3;30.0;1;3;18.0;1;2;35.0;1;1;40.0;1;3;14.0;1;2;2;37.5
996;7;446.0;69.0;63.0;76.0;56.0;7;32.36666666666667;3;15;7;5;2;5;23.5;31.0;26.5;45.0;40.0;43.0;41.0;32.97058823529412;2;17;14;3;7;6;1;2;29.5;2;3;31.0;1;3;34.0;1;3;30.0;1;2;43.0;1;1;30.0;2;3;42.0;1;2;2;37.52777777777778
998;7;423.0;86.0;55.0;55.0;50.0;7;33.93333333333333;0;15;0;7;0;5;30.0;31.0;33.0;40.0;40.0;32.0;38.0;39.05882352941177;0;17;17;0;7;7;0;2;32.0;1;3;37.0;1;3;39.0;1;3;40.0;1;2;40.0;1;1;44.0;1;3;44.0;1;2;3;41.5
999;8;458.0;63.0;60.0;51.0;50.0;8;28.62222222222222;2;15;7;5;2;11;21.33333333333333;30.0;24.0;37.0;36.0;35.0;34.0;32.05882352941177;2;17;11;6;7;5;2;2;26.0;3;3;32.0;1;3;29.33333333333333;3;3;30.0;1;2;33.0;1;1;36.0;1;3;41.0;1;2;2;34.86111111111111
1000;1;446.0;76.0;59.0;68.0;52.0;11;31.06666666666667;2;15;4;5;2;9;30.0;33.0;27.0;40.0;39.0;21.0;30.0;13.96428571428571;4;14;0;14;5;0;5;1;25.5;2;3;2.666666666666667;3;3;25.0;1;3;4.5;2;2;0.0;0;1;9.0;3;3;0.0;0;2;0;0.0
1002;11;461.0;68.0;60.0;68.0;61.0;10;35.3;1;15;0;7;0;2;33.0;32.0;30.0;41.0;43.0;30.5;43.0;36.02941176470588;1;17;14;3;7;6;1;2;36.0;1;3;32.0;1;3;27.5;2;3;31.0;1;2;42.0;1;1;44.0;1;3;45.0;1;2;2;36.05555555555556
1003;10;453.0;64.0;59.0;68.0;66.0;10;33.86666666666667;1;15;0;7;0;9;31.0;33.0;30.0;37.0;42.0;33.0;37.0;31.13333333333333;2;15;10;5;6;4;2;2;18.66666666666667;3;3;30.0;1;3;34.0;1;3;27.0;2;2;36.0;1;1;43.0;1;3;0.0;0;2;1;29.25
1006;15;441.0;63.0;60.0;55.0;80.0;19;33.53846153846154;0;13;0;6;0;9;30.0;30.0;30.0;38.0;44.0;40.0;0.0;0.5714285714285714;0;14;0;14;5;0;5;1;0.0;1;3;0.0;1;3;2.0;1;3;1.0;1;2;0.0;0;1;0.0;1;3;0.0;0;2;0;0.0
1007;11;387.0;86.0;63.0;45.0;66.0;11;30.6;3;15;7;4;3;5;30.0;28.0;28.0;39.0;42.0;32.0;22.0;37.41176470588236;0;17;17;0;7;7;0;2;31.0;1;3;37.0;1;3;33.0;1;3;30.0;1;2;37.0;1;1;50.0;1;3;43.0;1;2;2;39.38888888888889
1008;4;431.0;69.0;69.0;63.0;49.0;18;37.06666666666667;1;15;0;7;0;5;34.0;33.0;35.0;40.0;41.0;31.0;48.0;36.05882352941177;1;17;17;0;7;7;0;2;32.0;1;3;33.0;1;3;34.0;1;3;35.0;1;2;44.0;1;1;38.0;2;3;44.0;1;2;2;36.5
1009;7;417.0;75.0;65.0;55.0;43.0;7;15.92307692307692;0;13;10;2;4;9;4.0;31.0;8.0;38.0;28.0;11.0;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;0;0.0
1010;11;431.0;69.0;69.0;68.0;47.0;11;32.86666666666667;3;15;8;4;3;5;26.5;30.0;28.5;39.0;40.0;28.5;47.0;35.88235294117647;1;17;17;0;7;7;0;2;32.0;2;3;30.0;1;3;32.0;1;3;32.0;1;2;38.0;1;1;46.0;1;3;44.0;1;2;2;36.66666666666666
1011;11;430.0;64.0;63.0;51.0;58.0;11;30.06666666666667;4;15;9;4;3;2;23.5;28.5;27.5;38.0;39.0;33.5;34.0;32.23529411764706;2;17;11;6;7;5;2;2;25.0;3;3;35.0;1;3;29.0;2;3;31.0;1;2;36.0;1;1;33.0;1;3;42.0;1;2;2;35.77777777777778
1012;4;427.0;76.0;59.0;55.0;50.0;4;28.74444444444445;3;15;8;4;3;9;22.66666666666667;30.0;19.0;40.0;39.0;25.5;40.0;25.0;2;9;1;8;4;1;3;1;26.0;2;3;0.0;0;3;20.33333333333333;3;3;22.0;1;2;42.0;1;1;0.0;0;3;0.0;0;2;1;15.75
1013;16;432.0;76.0;59.0;68.0;43.0;8;33.6;2;15;1;6;1;9;30.0;31.0;31.0;37.0;41.0;24.0;43.0;33.26470588235294;2;17;11;6;7;5;2;2;29.5;2;3;27.0;3;3;30.0;1;3;35.0;1;2;43.0;1;1;39.0;1;3;38.0;1;2;2;39.6875
1015;11;401.0;64.0;68.0;51.0;83.0;13;34.46153846153846;0;13;3;4;2;9;35.0;28.0;39.0;40.0;41.0;13.0;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;0;0.0
1020;10;427.0;63.0;70.0;63.0;52.0;10;24.61538461538462;3;13;8;3;3;9;18.0;36.0;12.0;39.0;43.0;15.0;0.0;14.66666666666667;0;9;0;9;3;0;3;1;21.0;1;3;0.0;0;3;16.0;1;3;0.0;0;2;0.0;0;1;7.0;1;3;0.0;0;2;0;0.0
1021;7;415.0;76.0;63.0;55.0;49.0;8;35.2;0;15;0;7;0;2;32.0;36.0;32.0;38.0;41.0;30.0;41.0;35.58823529411764;0;17;17;0;7;7;0;2;32.0;1;3;31.0;1;3;35.0;1;3;32.0;1;2;43.0;1;1;38.0;1;3;45.0;1;2;2;37.69444444444444
1023;6;434.0;75.0;56.0;59.0;49.0;19;35.7;1;15;3;6;1;15;30.0;39.0;27.5;40.0;41.0;33.0;50.0;34.5;2;17;11;6;7;5;2;2;35.0;1;3;26.5;2;3;29.66666666666667;3;3;32.0;1;2;40.0;1;1;39.0;1;3;46.0;1;2;2;34.83333333333334
1024;10;431.0;69.0;59.0;55.0;63.0;10;18.76923076923077;0;13;12;1;5;9;13.0;22.0;16.0;36.0;25.0;14.0;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;0;0.0
1025;15;448.0;68.0;56.0;63.0;45.0;4;36.63333333333333;1;15;0;7;0;11;30.0;39.0;36.0;38.0;42.0;33.5;44.0;36.70588235294117;0;17;17;0;7;7;0;2;30.0;1;3;40.0;1;3;30.0;1;3;40.0;1;2;40.0;1;1;44.0;1;3;36.0;1;2;2;34.97222222222222
1026;16;419.0;60.0;75.0;68.0;60.0;16;38.06666666666667;0;15;0;7;0;5;35.0;39.0;33.0;44.0;43.0;34.0;45.0;34.52941176470588;2;17;11;6;7;5;2;2;28.0;2;3;29.0;2;3;30.0;1;3;42.0;1;2;40.0;1;1;42.0;1;3;38.0;1;2;2;37.94444444444444
1027;9;431.0;64.0;63.0;63.0;66.0;9;36.2;0;15;0;7;0;5;33.0;34.0;34.0;42.0;36.0;37.0;45.0;35.64705882352941;1;17;14;3;7;6;1;2;27.0;2;3;31.0;1;3;34.0;1;3;34.0;1;2;40.0;1;1;44.0;1;3;45.0;1;2;2;34.44444444444444
1029;5;437.0;63.0;60.0;63.0;45.0;7;27.73076923076923;2;13;8;3;3;9;19.5;36.0;26.0;37.0;38.0;19.5;0.0;9.857142857142858;0;7;0;7;3;0;3;1;9.0;1;3;0.0;0;3;8.0;1;3;0.0;0;2;18.0;1;1;0.0;0;3;0.0;0;2;1;29.0
1030;5;417.0;75.0;60.0;51.0;52.0;5;33.6;3;15;8;4;3;5;27.0;43.0;27.0;38.0;44.0;23.0;40.0;30.23529411764706;2;17;11;6;7;5;2;2;22.5;2;3;30.0;1;3;25.5;2;3;32.0;1;2;38.0;1;1;34.0;1;3;38.0;1;2;2;33.38888888888889
1031;18;433.0;68.0;60.0;63.0;58.0;18;38.93333333333333;0;15;0;7;0;5;34.0;42.0;39.0;42.0;44.0;33.0;42.0;43.29411764705883;0;17;17;0;7;7;0;2;44.0;1;3;37.0;1;3;40.0;1;3;44.0;1;2;39.0;1;1;50.0;1;3;48.0;1;2;2;39.88888888888889
1032;9;428.0;86.0;51.0;68.0;50.0;9;14.30769230769231;0;13;12;1;5;9;9.0;15.0;14.0;30.0;21.0;6.0;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;0;0.0
1033;15;396.0;64.0;59.0;58.0;68.0;8;33.0;0;15;0;7;0;9;30.0;37.0;30.0;39.0;41.0;30.0;30.0;29.3125;4;16;5;11;6;2;4;1;32.0;1;3;28.0;2;3;20.0;3;3;29.0;3;2;0.0;0;1;27.0;2;3;45.0;1;2;1;29.5
1035;14;429.0;51.11;48.9;64.49;45.31;8;27.17948717948718;4;13;8;3;3;9;22.33333333333333;30.0;20.33333333333333;39.0;39.0;26.0;0.0;25.66666666666667;1;12;3;9;5;2;3;1;18.0;2;3;23.0;1;3;21.0;1;3;42.0;1;2;38.0;1;1;0.0;0;3;0.0;0;2;2;38.0
1036;18;350.63;47.84;49.63;51.88;66.03;18;30.66666666666667;3;13;8;3;3;9;23.66666666666667;35.0;29.0;40.0;39.0;29.0;0.0;30.5;3;14;6;8;5;2;3;1;23.66666666666667;3;3;30.0;1;3;25.66666666666667;3;3;28.5;2;2;0.0;0;1;44.0;1;3;0.0;0;2;1;28.14285714285714
1038;9;427.0;63.0;45.0;68.0;66.0;17;31.28888888888889;3;15;8;4;3;2;24.33333333333333;30.0;22.33333333333333;38.0;47.0;25.0;44.0;31.70588235294118;4;17;9;8;7;4;3;1;24.0;3;3;24.66666666666667;3;3;30.0;1;3;27.5;2;2;35.0;1;1;45.0;2;3;39.0;1;2;2;36.22222222222222
1039;18;447.0;75.0;60.0;63.0;61.0;5;30.46153846153846;2;13;5;4;2;9;26.33333333333333;30.0;32.0;38.0;38.0;20.66666666666667;0.0;25.63333333333333;3;15;6;9;6;3;3;1;12.66666666666667;3;3;21.0;1;3;25.0;2;3;40.0;1;2;37.0;1;1;30.5;2;3;0.0;0;2;2;37.0
1040;10;431.0;75.0;56.0;68.0;58.0;10;34.6;2;15;3;6;1;2;30.0;32.5;27.0;45.0;40.0;40.0;44.0;33.8235294117647;3;17;8;9;7;4;3;1;28.0;2;3;22.5;2;3;28.5;2;3;37.0;1;2;39.0;1;1;45.0;1;3;45.0;1;2;3;40.27777777777778
1043;10;430.0;59.0;56.0;76.0;58.0;1;39.0;5;15;0;7;0;2;38.0;36.0;33.0;43.0;36.0;47.0;50.0;34.1764705882353;3;17;14;3;7;6;1;2;28.0;2;3;30.0;1;3;40.0;2;3;30.0;1;2;38.0;1;1;35.0;2;3;42.0;1;2;2;37.11111111111111
1052;11;461.0;76.0;63.0;63.0;55.0;11;30.0;2;13;7;4;2;9;21.0;47.0;24.33333333333333;36.0;32.0;39.0;0.0;21.61538461538462;1;13;6;7;5;2;3;1;30.0;2;3;3.0;1;3;22.0;1;3;0.0;0;2;23.0;1;1;31.0;1;3;0.0;0;2;0;0.0
1053;1;464.0;63.0;65.0;69.0;52.0;1;46.15384615384615;0;13;0;6;0;9;50.0;47.0;39.0;42.0;50.0;47.0;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;0;0.0
1054;7;442.0;69.0;68.0;63.0;56.0;19;32.56410256410256;2;13;7;4;2;9;27.33333333333333;47.0;24.0;38.0;34.0;42.0;0.0;29.07692307692308;0;13;10;3;5;4;1;1;30.0;1;3;22.0;1;3;30.0;1;3;0.0;0;2;39.0;1;1;31.0;1;3;0.0;0;2;1;25.42857142857143
1057;12;436.0;69.0;69.0;55.0;60.0;10;32.93333333333333;3;15;7;5;2;2;24.0;47.0;24.0;38.0;31.0;38.0;47.0;32.05882352941177;4;17;8;9;7;4;3;1;26.5;2;3;27.5;2;3;29.0;2;3;30.0;1;2;36.0;1;1;36.0;2;3;46.0;1;2;2;34.11111111111111
1062;4;441.0;75.0;60.0;63.0;50.0;4;30.46153846153846;2;13;7;4;2;9;17.0;47.0;24.0;37.0;43.0;39.0;0.0;0.0;1;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;2;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;3;42.0
1063;8;427.0;69.0;69.0;55.0;60.0;8;28.35897435897436;2;13;7;4;2;9;15.66666666666667;47.0;13.0;39.0;47.0;40.0;0.0;22.0;1;6;3;3;2;1;1;1;0.0;0;3;0.0;0;3;6.0;2;3;0.0;0;2;0.0;0;1;38.0;1;3;0.0;0;2;0;0.0
1064;11;445.0;75.0;56.0;63.0;74.0;4;40.66666666666666;0;15;0;7;0;9;40.0;47.0;32.0;40.0;40.0;44.0;48.0;37.13333333333333;0;15;15;0;6;6;0;2;40.0;1;3;35.0;1;3;32.0;1;3;30.0;1;2;41.0;1;1;45.0;1;3;0.0;0;2;3;41.0
1066;10;432.0;76.0;59.0;59.0;53.0;10;31.65384615384615;1;13;3;5;1;9;36.0;47.0;10.5;37.0;37.0;31.0;0.0;2.5;0;6;0;6;2;0;2;1;0.0;0;3;0.0;1;3;5.0;1;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;0;0.0
1072;8;443.0;64.0;63.0;63.0;63.0;7;14.92307692307692;4;13;10;2;4;9;3.0;16.5;11.0;16.0;32.0;36.0;0.0;0.0;0;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;1;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;0;0.0
1073;13;440.0;68.0;65.0;76.0;53.0;10;37.66666666666666;1;15;0;7;0;2;37.0;31.0;30.33333333333333;41.0;47.0;43.0;43.0;36.05882352941177;0;17;17;0;7;7;0;2;41.0;1;3;32.0;1;3;36.0;1;3;30.0;1;2;32.0;1;1;44.0;1;3;31.0;1;2;2;36.0
1074;15;429.0;69.0;69.0;73.0;43.0;4;32.61538461538461;2;13;3;5;1;9;31.5;41.0;27.0;35.0;30.0;40.0;0.0;29.43333333333333;2;15;7;8;6;3;3;1;27.5;2;3;30.0;1;3;27.0;2;3;23.0;1;2;31.0;1;1;37.0;1;3;0.0;0;2;2;33.36363636363637
1077;6;450.0;68.0;60.0;58.0;55.0;6;23.96153846153846;2;13;7;4;2;9;12.0;35.0;18.5;35.0;33.0;37.0;0.0;24.0;0;3;0;3;1;0;1;1;24.0;1;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;2;31.0
1079;9;443.0;60.0;59.0;68.0;50.0;10;25.76923076923077;3;13;8;3;3;9;25.66666666666667;32.0;17.66666666666667;19.33333333333333;30.0;36.0;0.0;16.25;2;4;0;4;2;0;2;1;13.5;2;3;0.0;0;3;0.0;0;3;0.0;0;2;24.5;2;1;0.0;0;3;0.0;0;2;0;0.0
1082;4;410.0;64.0;69.0;58.0;58.0;4;31.55555555555555;2;15;7;5;2;2;28.33333333333333;37.0;26.0;39.0;32.0;39.0;33.0;36.8235294117647;1;17;14;3;7;6;1;2;37.0;1;3;29.0;3;3;33.0;1;3;41.0;1;2;36.0;1;1;43.0;1;3;41.0;1;2;2;37.77777777777778
1083;19;424.0;69.0;63.0;58.0;39.0;19;31.28888888888889;3;15;7;5;2;9;26.33333333333333;32.5;22.66666666666667;40.0;35.0;35.0;43.0;29.23333333333333;1;15;10;5;6;4;2;1;29.5;2;3;36.0;1;3;37.0;1;3;5.0;1;2;31.0;1;1;30.0;1;3;0.0;0;2;1;16.38461538461538
1084;5;421.0;63.0;60.0;51.0;45.0;5;13.94871794871795;4;13;11;2;4;9;10.0;13.5;8.333333333333334;36.0;7.666666666666667;38.0;0.0;0.0;0;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;1;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;3;43.0
1088;19;398.0;86.0;55.0;45.0;41.0;19;29.26666666666667;2;15;7;5;2;9;19.5;32.0;20.0;38.0;38.0;37.0;43.0;31.0;0;7;4;3;3;2;1;2;0.0;0;3;0.0;0;3;22.0;1;3;0.0;0;2;43.0;1;1;36.0;1;3;0.0;0;2;0;0.0
1090;1;403.0;86.0;59.0;55.0;43.0;10;16.69230769230769;0;13;13;0;6;9;9.0;23.0;17.0;24.0;23.0;14.0;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;0;0.0
1092;5;442.0;64.0;59.0;63.0;71.0;5;27.70512820512821;3;13;8;3;3;9;24.0;30.0;26.5;36.0;31.0;26.66666666666667;0.0;35.06666666666667;1;15;15;0;6;6;0;2;30.0;1;3;38.0;1;3;30.33333333333333;3;3;41.0;1;2;35.0;1;1;38.0;1;3;0.0;0;2;1;27.25
1093;13;425.0;75.0;60.0;68.0;71.0;13;32.2;2;15;1;6;1;4;30.0;34.0;34.0;36.0;32.0;21.0;36.0;33.37777777777778;4;15;10;5;6;4;2;2;29.5;2;3;36.5;2;3;30.0;1;3;27.33333333333333;3;2;38.0;1;1;40.0;2;3;0.0;0;2;2;32.875
1094;12;408.0;68.0;65.0;55.0;53.0;12;33.43333333333333;2;15;4;6;1;12;28.0;35.0;30.5;39.0;37.0;35.0;40.0;33.88235294117647;3;17;8;9;7;4;3;1;28.5;2;3;27.5;2;3;28.0;2;3;40.0;1;2;40.0;1;1;36.0;1;3;48.0;1;2;2;32.46875
1095;7;431.0;69.0;55.0;51.0;60.0;7;37.66666666666666;1;15;0;7;0;9;33.5;42.0;34.0;40.0;40.0;33.0;46.0;32.52941176470588;1;17;15;2;7;6;1;2;33.0;1;3;36.0;1;3;30.0;1;3;29.0;2;2;36.0;1;1;34.0;1;3;30.0;1;2;2;34.375
1096;11;416.0;76.0;59.0;55.0;68.0;11;30.61538461538462;1;13;4;5;1;9;27.5;31.0;30.0;33.0;36.0;31.0;0.0;22.86666666666667;3;15;6;9;6;2;4;1;35.0;1;3;7.0;1;3;23.5;2;3;17.5;2;2;18.5;2;1;31.0;1;3;0.0;0;2;1;9.5
