PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;IDIOMA_ICFES;RENDIMIENTO_UNO;PROMEDIO_UNO;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;LOCALIDAD;CAR_UNO;NCC_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS;PROMEDIO_TRES;RENDIMIENTO_TRES
461.13;73.29;58.68;52.46;60.2;1.0;15.0;15;57.36;15;0;9.0;0;15.0;0.0;15.0;15.0;0.0;15.0;0.0;1.0;15.0;0.0;0.0
415.29;47.67;41.52;50.66;76.45;1.0;27.0;8;53.95;8;2;15.0;4;22.5;25.0;30.0;40.0;30.0;45.0;15.0;1.0;30.0;28.75;1.0
411.24;50.54;44.26;41.37;43.48;1.0;28.653846153846157;20;58.09;20;2;13.0;4;20.0;30.0;27.5;40.0;35.0;40.0;0.0;1.0;28.611111111111;37.5;2.0
471.49;69.99;58.93;52.34;55.84;2.0;30.422222222222132;6;58.09;7;1;15.0;6;23.333333333333;30.0;30.0;35.0;30.0;40.0;39.0;1.0;29.531249999999936;36.0;2.0
465.46;69.99;64.0;59.25;53.32;1.0;29.066666666666663;0;53.95;2;2;15.0;5;22.5;30.0;30.0;35.0;35.0;35.0;28.0;2.0;36.3125;34.4;2.0
492.59;72.55;61.41;59.25;88.67;1.0;24.444444444444443;20;65.0;20;0;9.0;3;15.0;0.0;30.0;35.0;0.0;35.0;0.0;2.0;35.0;0.0;0.0
426.14;55.71;56.51;55.7;54.57;1.0;16.11111111111111;0;58.09;18;0;9.0;0;15.0;0.0;15.0;15.0;0.0;25.0;0.0;1.0;20.0;0.0;0.0
493.34;78.22;46.84;50.66;79.55;2.0;35.666666666666664;11;65.0;11;1;15.0;6;27.5;40.0;35.0;40.0;40.0;40.0;40.0;2.0;35.78125;39.8;2.0
457.59;69.99;58.93;52.34;52.09;2.0;33.24444444444453;18;62.54;18;2;15.0;6;26.666666666667;30.0;35.0;40.0;32.5;40.0;41.0;2.0;36.09375;39.4;2.0
501.39;85.28;54.12;61.18;59.81;2.0;33.333333333333336;14;60.25;11;0;9.0;4;30.0;0.0;35.0;40.0;0.0;35.0;0.0;3.0;45.0;0.0;0.0
485.7;60.48;63.43;55.66;57.84;2.0;30.266666666666666;10;63.27;10;1;15.0;6;22.5;30.0;30.0;40.0;30.0;40.0;37.0;2.0;34.375;33.1;2.0
499.26;69.99;66.74;63.27;83.41;2.0;39.93333333333333;17;60.25;8;0;15.0;7;35.0;45.0;45.0;40.0;40.0;40.0;37.0;3.0;40.3125;42.0;3.0
503.9;55.71;66.74;63.27;73.83;1.0;15.0;15;62.54;18;0;9.0;0;15.0;0.0;15.0;15.0;0.0;15.0;0.0;1.0;15.0;0.0;0.0
