PROMEDIO_SEIS;PROMEDIO_SIETE;PROMEDIO_OCHO;NOTA_CALIDAD_DOS;PROMEDIO_NUEVE;NAA_NUEVE;NOTA_GRADO_UNO;NOTA_LOG_DOS;NOTA_FINANZAS;NOTA_HISTORIA;RENDIMIENTO_DIEZ
35;35;36;42;36;7;47;35;25;45;3
38;38;36;36;35;8;36;35;30;38;3
36;42;40;46;36;7;45;31;25;33;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
38;41;42;39;42;8;37;46;33;47;3
0;0;0;0;0;0;0;0;0;0;2
41;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
39;40;39;47;38;8;43;39;30;43;3
38;41;39;33;38;8;45;44;35;36;3
34;37;33;35;33;7;45;32;30;37;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
34;36;35;32;33;8;36;40;30;37;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
36;40;38;41;37;8;45;30;32;41;3
35;40;35;38;39;8;35;37;30;43;3
35;35;31;38;25;4;0;30;30;19;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
33;34;34;33;32;7;47;39;30;30;3
0;0;0;0;0;0;0;0;0;0;2
35;36;35;38;34;6;50;32;28;33;3
36;37;37;40;32;7;35;30;28;38;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
37;34;34;35;36;7;45;35;28;37;3
37;37;41;48;39;7;45;46;26;39;3
37;39;39;45;37;8;42;33;31;34;3
15;0;0;0;0;0;0;0;0;0;2
34;40;40;43;34;6;45;34;31;39;3
0;0;0;0;0;0;0;0;0;0;2
24;30;0;0;0;0;0;0;0;0;2
36;39;41;46;39;8;38;38;30;45;3
38;38;37;38;36;8;45;40;32;48;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
40;36;39;45;38;8;40;31;30;43;3
37;39;41;40;31;5;45;33;23;38;3
34;37;37;38;35;8;44;33;30;43;3
34;34;38;46;31;5;44;27;35;29;3
34;39;38;38;32;4;0;37;28;41;3
0;0;0;0;0;0;0;0;0;0;2
39;40;38;35;36;8;38;33;31;43;3
37;40;39;44;32;8;38;30;30;37;3
34;37;33;37;37;8;38;33;30;38;3
0;30;0;0;0;0;0;0;0;0;2
36;34;38;35;35;7;32;30;24;39;3
34;39;33;32;35;8;38;33;30;43;3
0;0;0;0;0;0;0;0;0;0;2
40;39;40;47;38;8;40;42;30;44;3
34;37;37;38;42;8;38;43;33;45;3
0;0;0;0;0;0;0;0;0;0;2
31;34;36;38;33;6;0;38;30;0;3
35;0;0;0;0;0;0;0;0;0;2
36;37;36;34;34;7;34;40;31;34;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
27;30;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
38;40;37;39;38;8;34;37;31;44;3
40;39;37;44;37;8;50;39;40;36;3
38;38;37;47;38;8;50;37;35;40;3
39;39;37;36;35;7;33;30;29;40;3
36;38;34;32;35;7;33;35;29;37;3
0;0;0;0;0;0;0;0;0;0;2
44;46;42;45;42;8;50;39;45;47;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
37;36;39;47;37;8;45;38;31;34;3
37;39;37;45;34;7;38;35;30;33;3
37;40;36;36;33;7;34;30;28;38;3
39;43;39;39;39;8;43;36;33;44;3
29;34;39;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
35;38;39;45;35;8;47;38;36;33;3
41;42;39;46;38;8;50;34;32;44;3
37;40;40;48;39;8;40;38;30;43;3
0;0;0;0;0;0;0;0;0;0;2
39;39;40;38;36;8;39;35;30;39;3
0;0;0;0;0;0;0;0;0;0;2
35;36;37;28;33;7;34;36;30;17;3
36;35;32;38;37;7;0;35;33;31;3
0;0;0;0;0;0;0;0;0;0;2
0;4;0;0;0;0;0;0;0;0;2
37;36;36;35;32;7;37;34;31;33;3
40;41;42;46;40;8;43;40;30;42;3
41;0;0;0;43;1;0;0;0;0;2
37;39;37;40;32;6;42;33;28;29;3
39;41;42;46;39;8;43;40;30;43;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
36;35;30;34;47;1;0;0;0;47;3
0;0;0;0;0;0;0;0;0;0;2
42;41;42;48;41;8;40;35;39;45;3
0;0;0;0;0;0;0;0;0;0;2
42;42;44;45;40;8;50;42;30;45;3
41;42;41;45;43;8;42;38;37;42;3
0;0;0;0;0;0;0;0;0;0;2
38;41;43;35;38;8;43;37;32;41;3
0;0;0;0;0;0;0;0;0;0;2
19;33;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
37;39;38;48;36;7;45;30;32;43;3
0;0;0;0;0;0;0;0;0;0;2
6;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
34;39;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
44;44;44;46;41;8;50;43;30;46;3
