PG_ICFES,DEPARTAMENTO
406.0,BOGOTA
403.0,BOGOTA
351.0,NO REGISTRA
407.0,BOGOTA
355.0,NO REGISTRA
400.0,BOGOTA
418.0,NO REGISTRA
370.0,NO REGISTRA
356.0,NO REGISTRA
373.0,NO REGISTRA
412.0,BOGOTA
347.0,NO REGISTRA
403.0,BOGOTA
398.0,NO REGISTRA
364.0,NO REGISTRA
342.0,NO REGISTRA
376.0,NO REGISTRA
355.0,NO REGISTRA
336.0,NO REGISTRA
415.0,BOGOTA
353.0,NO REGISTRA
350.0,NO REGISTRA
390.0,NO REGISTRA
385.0,NO REGISTRA
341.0,NO REGISTRA
343.0,NO REGISTRA
356.0,NO REGISTRA
350.0,NO REGISTRA
355.0,NO REGISTRA
393.0,NO REGISTRA
327.0,NO REGISTRA
337.0,NO REGISTRA
359.0,NO REGISTRA
362.0,NO REGISTRA
338.0,NO REGISTRA
406.0,BOGOTA
336.0,NO REGISTRA
363.0,NO REGISTRA
336.0,NO REGISTRA
408.0,BOGOTA
347.0,NO REGISTRA
407.0,BOGOTA
329.0,NO REGISTRA
349.0,NO REGISTRA
386.0,NO REGISTRA
335.0,NO REGISTRA
425.0,BOGOTA
377.0,NO REGISTRA
344.0,NO REGISTRA
352.0,NO REGISTRA
357.0,NO REGISTRA
346.0,NO REGISTRA
335.0,NO REGISTRA
343.0,NO REGISTRA
441.0,BOGOTA
431.0,BOGOTA
414.0,NO REGISTRA
363.0,NO REGISTRA
365.0,NO REGISTRA
300.0,NO REGISTRA
357.0,NO REGISTRA
293.0,NO REGISTRA
287.0,NO REGISTRA
342.0,NO REGISTRA
322.0,NO REGISTRA
325.0,NO REGISTRA
329.0,NO REGISTRA
334.0,NO REGISTRA
336.0,NO REGISTRA
340.0,NO REGISTRA
340.0,NO REGISTRA
335.0,NO REGISTRA
408.0,BOGOTA
416.0,BOGOTA
343.0,NO REGISTRA
337.0,NO REGISTRA
313.0,NO REGISTRA
327.0,NO REGISTRA
397.0,NO REGISTRA
388.0,NO REGISTRA
369.0,NO REGISTRA
350.0,NO REGISTRA
352.0,NO REGISTRA
359.0,NO REGISTRA
342.0,NO REGISTRA
340.0,NO REGISTRA
343.0,NO REGISTRA
341.0,NO REGISTRA
338.0,NO REGISTRA
341.0,NO REGISTRA
323.0,NO REGISTRA
332.0,NO REGISTRA
326.0,NO REGISTRA
331.0,NO REGISTRA
333.0,NO REGISTRA
333.0,NO REGISTRA
325.0,NO REGISTRA
341.0,NO REGISTRA
325.0,NO REGISTRA
352.0,NO REGISTRA
335.0,NO REGISTRA
346.0,NO REGISTRA
312.0,NO REGISTRA
394.0,ARAUCA
413.0,CUNDINAMARCA
394.0,NO REGISTRA
384.0,BOGOTA
