PG_ICFES,TIPO_COLEGIO
426.0,OFICIAL
421.0,NO OFICIAL
404.0,NO OFICIAL
415.0,NO OFICIAL
440.0,NO OFICIAL
424.0,OFICIAL
437.0,NO OFICIAL
424.0,OFICIAL
416.0,NO OFICIAL
435.0,NO OFICIAL
437.0,NO OFICIAL
439.0,OFICIAL
416.0,NO OFICIAL
424.0,NO OFICIAL
425.0,NO REGISTRA
425.0,NO OFICIAL
429.0,OFICIAL
399.0,NO OFICIAL
419.0,NO OFICIAL
409.0,NO OFICIAL
424.0,OFICIAL
426.0,OFICIAL
413.0,NO REGISTRA
423.0,OFICIAL
414.0,NO OFICIAL
443.0,NO OFICIAL
415.0,NO OFICIAL
418.0,NO REGISTRA
422.0,OFICIAL
412.0,OFICIAL
419.0,NO OFICIAL
430.0,NO OFICIAL
415.0,OFICIAL
420.0,OFICIAL
420.0,OFICIAL
416.0,NO OFICIAL
407.0,NO OFICIAL
415.0,OFICIAL
420.47,OFICIAL
408.0,OFICIAL
420.0,OFICIAL
402.0,OFICIAL
396.0,OFICIAL
424.0,OFICIAL
413.0,OFICIAL
402.0,NO OFICIAL
404.0,NO OFICIAL
412.0,OFICIAL
408.0,NO OFICIAL
431.0,NO OFICIAL
426.0,NO OFICIAL
431.0,OFICIAL
400.0,NO OFICIAL
419.0,OFICIAL
415.0,OFICIAL
407.0,NO OFICIAL
412.0,OFICIAL
421.0,OFICIAL
384.0,NO OFICIAL
376.0,NO OFICIAL
368.0,NO OFICIAL
412.0,OFICIAL
366.0,OFICIAL
361.0,OFICIAL
393.0,OFICIAL
427.0,NO OFICIAL
358.0,OFICIAL
480.0,OFICIAL
483.0,NO OFICIAL
455.0,NO REGISTRA
456.0,OFICIAL
457.0,NO OFICIAL
444.0,NO OFICIAL
419.0,OFICIAL
436.0,NO OFICIAL
427.0,NO REGISTRA
459.0,NO OFICIAL
433.0,OFICIAL
428.0,NO REGISTRA
407.0,NO REGISTRA
427.0,OFICIAL
414.0,OFICIAL
430.0,OFICIAL
428.0,NO OFICIAL
410.0,OFICIAL
436.0,NO REGISTRA
428.0,NO OFICIAL
424.0,NO REGISTRA
429.0,OFICIAL
429.0,NO OFICIAL
398.0,NO OFICIAL
417.0,OFICIAL
407.0,NO REGISTRA
423.0,NO OFICIAL
399.0,NO REGISTRA
423.0,OFICIAL
426.0,NO OFICIAL
405.0,OFICIAL
415.0,NO OFICIAL
402.0,NO OFICIAL
407.0,NO OFICIAL
423.0,OFICIAL
410.0,NO OFICIAL
398.0,NO OFICIAL
414.0,OFICIAL
409.0,NO REGISTRA
404.0,OFICIAL
414.63,NO OFICIAL
407.0,NO OFICIAL
422.0,OFICIAL
412.0,NO OFICIAL
402.0,OFICIAL
408.0,NO OFICIAL
418.0,NO OFICIAL
397.0,OFICIAL
428.0,OFICIAL
397.0,OFICIAL
424.0,NO OFICIAL
415.0,OFICIAL
385.0,NO OFICIAL
422.0,NO OFICIAL
384.0,NO REGISTRA
400.76,OFICIAL
389.0,NO REGISTRA
395.0,OFICIAL
416.0,OFICIAL
405.0,OFICIAL
409.0,OFICIAL
420.0,NO REGISTRA
404.0,OFICIAL
388.0,OFICIAL
409.0,NO OFICIAL
408.0,NO REGISTRA
392.0,OFICIAL
404.0,NO OFICIAL
428.0,NO REGISTRA
383.0,OFICIAL
402.0,NO REGISTRA
399.0,NO REGISTRA
