MUNICIPIO,PG_ICFES
BOJACA,398.0
BOJACA,374.0
BOJACA,375.37
NO REGISTRA,398.0
BOJACA,368.0
NO REGISTRA,383.0
FUSAGASUGA,381.0
BOJACA,397.0
BOJACA,397.0
BOJACA,391.0
BOJACA,391.0
BOJACA,384.0
GUAYATA,386.0
NO REGISTRA,372.0
NO REGISTRA,374.0
BOJACA,383.83
NO REGISTRA,382.0
NO REGISTRA,388.0
NO REGISTRA,380.0
BOJACA,381.87
BOJACA,390.0
BOJACA,370.0
NO REGISTRA,391.0
NO REGISTRA,383.0
BOJACA,384.0
NO REGISTRA,379.0
BOJACA,372.0
BOJACA,382.0
BOJACA,372.0
EL CHARCO,374.0
BOJACA,374.0
BOJACA,371.0
BOJACA,359.0
NO REGISTRA,368.8
BOJACA,379.73
BOJACA,377.0
BOJACA,392.0
BOJACA,374.88
NO REGISTRA,371.0
BOJACA,361.0
BOJACA,379.0
FLORENCIA,388.0
NO REGISTRA,375.0
BOJACA,370.0
GAMA,371.0
BOJACA,377.0
NO REGISTRA,369.0
BOJACA,374.0
NO REGISTRA,391.0
BOJACA,389.0
BOJACA,392.0
NO REGISTRA,365.38
NO REGISTRA,374.0
NO REGISTRA,384.0
BOJACA,378.91
BOJACA,366.24
BOJACA,383.0
TURBACO,484.0
BOJACA,462.0
BOJACA,473.0
NO REGISTRA,452.0
SUBACHOQUE,469.0
ZIPACON,450.0
BOJACA,460.0
FLORENCIA,448.0
MANAURE BALCON DEL 12,446.0
BOJACA,457.0
SOATA,462.0
BOJACA,446.0
BOJACA,426.0
BOJACA,442.0
BOJACA,438.0
BOJACA,434.0
BOJACA,435.0
BOJACA,423.0
BOJACA,439.0
BOJACA,444.0
BOJACA,414.0
BOJACA,421.0
NO REGISTRA,419.0
BOJACA,436.0
BOJACA,424.0
BOJACA,415.0
BOJACA,435.0
NO REGISTRA,435.0
BOJACA,420.0
FLORENCIA,421.0
VILLETA,440.0
BOJACA,428.0
BOJACA,439.0
NO REGISTRA,427.71
BOJACA,416.0
BOJACA,428.0
BOJACA,433.0
BOJACA,421.0
BOJACA,435.0
NO REGISTRA,422.0
NO REGISTRA,411.0
GUACHUCAL,423.0
BOJACA,424.0
MOSQUERA,428.0
BOJACA,422.0
BOJACA,432.0
BOJACA,416.0
EL BANCO,410.0
BOJACA,428.0
BOJACA,415.0
UBATE,422.0
BOJACA,414.0
BOJACA,429.0
NO REGISTRA,412.0
BOJACA,412.0
BOJACA,422.0
BOJACA,409.0
BOJACA,422.0
BOJACA,414.0
BOJACA,405.0
BOJACA,421.0
BOJACA,421.0
BOJACA,409.0
BOJACA,410.0
BOJACA,420.0
BOJACA,410.0
BOJACA,419.0
BOJACA,425.0
BOJACA,424.0
BOJACA,402.0
BOJACA,405.0
BOJACA,415.0
BOJACA,406.0
BOJACA,401.0
BOJACA,410.0
SAMANA,404.0
BOJACA,420.0
BOJACA,406.0
BOJACA,395.0
BOJACA,402.0
SOATA,414.0
BOJACA,403.81
BOJACA,402.0
BOJACA,401.0
NO REGISTRA,409.0
BOJACA,396.0
BOJACA,390.0
BOJACA,398.0
BOJACA,420.0
BOJACA,388.0
BOJACA,394.0
BOJACA,399.0
NATAGAIMA,413.0
BOJACA,391.0
FLORENCIA,409.0
FLORENCIA,387.0
BOJACA,409.0
BOJACA,404.0
VILLETA,421.0
BOJACA,390.0
NATAGAIMA,412.0
BOJACA,408.0
BOJACA,404.0
BOJACA,401.0
BOJACA,404.0
FLORENCIA,418.0
BOJACA,398.0
BOJACA,403.0
BOJACA,419.0
BOJACA,397.0
BOJACA,414.0
BOJACA,411.0
BOJACA,403.0
BOJACA,391.0
BOJACA,418.0
VILLETA,409.0
BOJACA,414.0
BOJACA,422.0
BOJACA,394.0
BOJACA,390.0
BOJACA,401.0
NO REGISTRA,405.0
BOJACA,386.0
BOJACA,375.69
NO REGISTRA,402.0
SOATA,352.0
NO REGISTRA,365.0
BOJACA,483.0
NO REGISTRA,444.0
NO REGISTRA,457.0
BOJACA,435.0
NO REGISTRA,429.2
BOJACA,422.0
BOJACA,434.0
BOJACA,428.0
BUENAVENTURA,447.0
BOJACA,432.0
FONSECA,431.0
BOJACA,419.0
NO REGISTRA,421.0
