NOTA_DIF;NOTA_SUELOS;NOTA_POO;NOTA_FIS_DOS;NOTA_TOP;NOTA_EYB;IDIOMA_ICFES;NOTA_HIST;NOTA_ECUA;NOTA_PROGB;LITERATURA_ICFES;NCA_TRES;NOTA_FOTO;NOTA_FIS_UNO;NOTA_CFJC;VECES_SUELOS;EPA_TRES;NOTA_MULTI;NAP_TRES;VECES_POO;NOTA_INT;NAC_TRES;NAP_UNO;CAR_TRES;VECES_FOTO;NCC_TRES;NCA_UNO;NAA_TRES;VECES_MULTI;NCP_TRES;VECES_HIST;VECES_CFJC;VECES_ECUA;VECES_FIS_DOS;VECES_TOP;EPA_DOS;CREDITOS_ECUA;CREDITOS_FIS_DOS;CREDITOS_CFJC;CREDITOS_FOTO;CREDITOS_MULTI;CREDITOS_POO;CREDITOS_SUELOS;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
15;0;0;0;0;40;48.43;40;0;0;54.87;0.0;0;0;0;0;1;0;0;0;0;0;4;0;0;0.0;4.0;0;0;0.0;1;0;0;0;0;2;3;3;1;2;3;3;3;40.0;24.333333333333332;0.0;0.0;0.0
30;0;0;0;30;35;49.6;40;0;45;47.41;0.0;0;30;0;0;1;0;0;0;0;0;0;0;0;0.0;15.0;0;0;0.0;1;0;0;0;1;2;3;3;1;2;3;3;3;33.92857142857143;32.333333333333336;0.0;0.0;0.0
30;33;33;30;35;40;58.45;40;36;50;56.79;18.0;35;38;35;2;2;30;0;1;30;7;0;3;1;18.0;15.0;7;3;0.0;1;1;2;1;2;2;3;3;1;2;3;3;3;37.0;33.666666666666664;32.833333333333336;2.0;34.64705882352941
30;40;32;30;35;40;55.64;45;35;41;53.3;18.0;40;30;45;1;2;30;0;1;40;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;35.76470588235294;36.333333333333336;34.77777777777778;2.0;36.76470588235294
30;37;30;33;30;40;47.21;35;33;35;44.91;18.0;34;38;40;1;2;30;0;3;30;7;0;5;2;18.0;15.0;7;3;0.0;1;1;2;3;2;2;3;3;1;2;3;3;3;33.8235294117647;30.666666666666668;33.166666666666664;2.0;36.86666666666667
15;0;0;0;0;24;37.51;50;0;15;52.97;0.0;0;15;0;0;1;0;0;0;0;0;1;0;0;0.0;11.0;0;0;0.0;1;0;0;0;0;1;3;3;1;2;3;3;3;16.636363636363637;34.0;0.0;0.0;0.0
30;36;32;30;30;40;41.03;40;0;30;61.76;12.0;39;30;35;3;2;0;0;1;25;5;0;2;4;12.0;15.0;5;0;0.0;1;1;0;1;2;2;3;3;1;2;3;3;3;30.294117647058822;34.0;33.916666666666664;2.0;32.833333333333336
30;35;40;35;35;40;55.64;35;34;50;53.3;18.0;35;30;45;1;2;35;0;1;35;7;0;1;1;18.0;15.0;7;1;0.0;1;1;2;1;1;2;3;3;1;2;3;3;3;36.470588235294116;33.0;36.22222222222222;2.0;36.11764705882353
35;35;30;30;35;30;39.11;40;45;50;58.76;18.0;35;35;45;1;2;40;0;1;40;7;0;1;1;18.0;15.0;7;2;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;37.94117647058823;36.0;36.388888888888886;3.0;40.529411764705884
35;35;30;30;35;35;52.09;35;35;35;58.52;15.0;40;35;45;1;2;25;1;1;30;7;0;2;1;18.0;15.0;6;3;3.0;1;1;1;2;1;2;3;3;1;2;3;3;3;33.23529411764706;34.333333333333336;32.77777777777778;2.0;36.25
30;32;24;0;30;35;48.43;30;0;50;47.18;6.0;40;34;33;2;2;0;1;3;8;4;0;3;3;9.0;15.0;3;0;3.0;4;1;0;0;1;2;3;3;1;2;3;3;3;31.142857142857142;33.0;31.22222222222222;0.0;0.0
30;0;0;0;0;40;40.88;40;0;0;47.14;0.0;0;0;0;0;1;0;0;0;0;0;1;0;0;0.0;13.0;0;0;0.0;1;0;0;0;0;2;3;3;1;2;3;3;3;40.0;33.333333333333336;0.0;0.0;0.0
15;0;0;0;15;15;39.11;40;0;20;54.66;0.0;0;15;0;0;1;0;0;0;0;0;4;0;0;0.0;5.0;0;0;0.0;1;0;0;0;1;1;3;3;1;2;3;3;3;16.363636363636363;23.0;0.0;0.0;0.0
20;0;0;0;30;35;53.32;40;0;40;52.77;0.0;0;20;0;0;1;0;0;0;0;0;2;0;0;0.0;8.0;0;0;0.0;1;0;0;0;1;2;3;3;1;2;3;3;3;30.90909090909091;28.666666666666668;0.0;0.0;0.0
35;30;37;37;30;35;42.2;40;35;40;53.5;18.0;36;30;41;1;2;30;0;1;30;7;0;1;1;18.0;15.0;7;2;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;33.23529411764706;36.333333333333336;34.44444444444444;2.0;36.588235294117645
30;0;0;0;30;35;40.89;40;0;0;47.18;0.0;27;30;22;0;1;0;2;0;17;2;0;1;1;3.0;15.0;0;0;3.0;1;3;0;0;1;1;3;3;1;2;3;3;3;26.857142857142858;35.333333333333336;25.333333333333332;0.0;0.0
30;30;45;38;30;35;49.65;45;30;35;47.18;18.0;36;30;44;1;2;30;0;1;30;7;0;2;1;18.0;15.0;7;3;0.0;1;1;1;2;2;2;3;3;1;2;3;3;3;32.1764705882353;36.0;35.27777777777778;2.0;34.8235294117647
30;30;35;30;30;35;49.51;40;38;30;55.65;18.0;40;30;40;2;2;33;0;1;30;7;0;2;1;18.0;15.0;7;3;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;30.58823529411765;35.666666666666664;34.333333333333336;2.0;37.8235294117647
35;35;45;30;30;40;52.09;45;40;50;54.66;18.0;40;35;40;1;2;30;0;1;30;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;35.588235294117645;37.333333333333336;36.666666666666664;2.0;37.94117647058823
25;30;0;0;30;0;39.11;40;0;50;49.15;3.0;0;0;0;1;2;0;0;0;0;1;2;0;0;3.0;8.0;1;0;0.0;1;0;0;0;3;2;3;3;1;2;3;3;3;40.0;29.333333333333332;30.0;0.0;0.0
25;0;0;0;30;35;47.21;45;0;40;52.97;0.0;0;15;0;0;1;0;0;0;0;0;2;0;0;0.0;8.0;0;0;0.0;1;0;0;0;1;1;3;3;1;2;3;3;3;29.545454545454547;32.0;0.0;0.0;0.0
30;11;0;0;40;0;45.31;40;25;35;51.43;2.0;34;30;0;1;1;11;5;1;30;6;0;2;1;15.0;15.0;1;2;13.0;1;1;2;0;3;2;3;3;1;2;3;3;3;30.176470588235293;34.0;13.933333333333334;2.0;30.4
30;30;33;30;30;40;50.67;45;13;40;49.09;15.0;45;30;35;1;2;35;1;3;30;7;0;4;2;18.0;15.0;6;3;3.0;1;4;1;1;2;2;3;3;1;2;3;3;3;32.94117647058823;36.0;30.444444444444443;2.0;39.416666666666664
30;30;30;35;30;35;49.65;40;38;50;47.18;18.0;30;35;40;1;2;30;0;1;30;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;35.88235294117647;37.0;32.72222222222222;2.0;36.470588235294116
30;31;35;30;30;45;47.21;45;31;40;49.15;18.0;36;30;42;2;2;36;0;1;31;7;0;3;1;18.0;15.0;7;2;0.0;1;1;2;1;2;2;3;3;1;2;3;3;3;33.705882352941174;35.333333333333336;33.5;2.0;39.529411764705884
30;30;43;30;30;40;47.21;40;30;40;54.66;18.0;33;35;35;1;2;30;0;2;30;7;0;3;3;18.0;15.0;7;2;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;33.8235294117647;33.666666666666664;32.77777777777778;2.0;32.705882352941174
30;33;36;37;30;37;52.42;45;33;30;62.72;18.0;35;30;34;3;2;36;0;1;30;7;0;4;3;18.0;15.0;7;2;0.0;1;2;1;1;1;2;3;3;1;2;3;3;3;32.05882352941177;36.0;34.94444444444444;2.0;38.529411764705884
30;30;39;41;30;45;33.35;40;30;33;46.7;18.0;32;35;40;1;2;33;0;1;31;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;2;2;3;3;1;2;3;3;3;33.35294117647059;34.333333333333336;34.611111111111114;2.0;38.1764705882353
30;32;30;33;30;35;45.2;40;30;45;62.78;18.0;36;30;45;2;2;40;0;1;30;7;0;2;1;18.0;15.0;7;3;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;33.23529411764706;35.0;34.0;2.0;36.1764705882353
30;30;10;0;30;45;38.31;35;0;40;42.72;6.0;33;48;32;1;1;0;1;2;17;4;0;2;2;9.0;15.0;3;0;3.0;1;1;0;0;3;2;3;3;1;2;3;3;3;34.588235294117645;33.53333333333333;24.22222222222222;2.0;39.0
25;24;0;0;36;35;41.6;40;0;8;47.0;0.0;0;0;10;2;1;0;2;0;0;2;1;2;0;4.0;11.0;0;0;4.0;1;2;0;0;1;1;3;3;1;2;3;3;3;25.25;32.333333333333336;20.5;0.0;0.0
24;30;0;0;38;35;44.74;45;0;30;54.87;6.0;36;0;36;1;2;0;0;0;0;3;2;0;1;6.0;8.0;3;0;0.0;1;1;0;0;4;2;3;3;1;2;3;3;3;32.0;31.0;33.0;0.0;0.0
15;0;0;0;0;40;60.2;45;0;0;49.43;0.0;0;30;0;0;1;0;0;0;0;0;2;0;0;0.0;8.0;0;0;0.0;1;0;0;0;0;2;3;3;1;2;3;3;3;34.0;26.733333333333334;0.0;0.0;0.0
