NUMERO;PROMEDIO_UNO;NOTA_EE_UNO;PROMEDIO_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_ESTADISTICA_UNO;NOTA_TERMODINAMICA;NOTA_TGS;NOTA_EE_TRES;PROMEDIO_CUATRO;CAR_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;NOTA_ECONOMIA_UNO;VECES_ECONOMIA_UNO;CREDITOS_ECONOMIA_UNO;NOTA_ECUACIONES;VECES_ECUACIONES;CREDITOS_ECUACIONES;NOTA_ESTADISTICA_DOS;VECES_ESTADISTICA_DOS;CREDITOS_ESTADISTICA_DOS;NOTA_FISICA_DOS;VECES_FISICA_DOS;CREDITOS_FISICA_DOS;NOTA_MECANICA;VECES_MECANICA;CREDITOS_MECANICA;NOTA_PROCESOSQ;VECES_PROCESOSQ;CREDITOS_PROCESOSQ;NOTA_EE_CUATRO;VECES_EE_CUATRO;CREDITOS_EE_CUATRO;RENDIMIENTO_CINCO;PROMEDIO_CINCO
1146;29.84444444444444;38.0;30.2;35.0;10.0;30.0;0.0;30.14285714285714;2;0.0;0.0;0.0;12.0;0.0;21.8;1;5;3;2;2;1;1;1;8.0;2;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;31.0;1;3;0;0;2;1;20.75
1147;31.74444444444445;44.0;32.64705882352941;21.5;27.5;30.0;45.0;40.44444444444444;7;44.0;38.0;31.0;33.0;50.0;36.94444444444444;1;18;18;0;7;7;0;2;34.0;1;2;40.0;1;3;35.0;1;3;36.0;1;3;33.0;2;2;36.0;1;3;45;1;2;2;37.05882352941177
1152;31.86666666666667;42.0;35.61764705882353;31.5;31.0;36.0;36.0;39.19444444444444;7;47.0;42.0;33.5;32.0;43.0;33.6875;0;16;16;0;6;6;0;2;30.0;1;2;30.0;1;3;30.0;1;3;43.0;1;3;34.0;1;2;34.0;1;3;0;0;2;2;32.11764705882353
1156;35.93333333333333;45.0;36.35294117647059;40.0;33.0;32.0;33.0;34.13888888888889;6;34.0;26.5;33.0;31.0;46.0;34.61111111111111;2;18;13;5;7;5;2;2;34.0;1;2;27.0;2;3;45.0;1;3;30.0;1;3;26.0;3;2;39.0;1;3;40;1;2;2;34.41176470588236
1159;35.03333333333333;47.0;32.05882352941177;28.0;20.0;34.0;42.0;37.88888888888889;7;31.0;40.0;41.0;37.0;37.0;35.0;1;18;18;0;7;7;0;2;31.0;1;2;34.0;1;3;33.0;1;3;38.0;1;3;30.0;2;2;37.0;1;3;41;1;2;2;36.05882352941177
1165;35.06666666666667;50.0;41.35294117647059;32.0;50.0;41.0;43.0;46.83333333333334;7;49.0;48.0;45.0;42.0;50.0;42.83333333333334;0;18;18;0;7;7;0;2;50.0;1;2;50.0;1;3;33.0;1;3;40.0;1;3;35.0;1;2;44.0;1;3;50;1;2;2;39.64705882352941
1166;31.16666666666667;42.0;27.9;25.5;18.0;34.0;0.0;43.0;1;0.0;0.0;0.0;0.0;0.0;34.6;0;5;5;0;2;2;0;2;34.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;35.0;1;3;0;0;2;3;42.66666666666666
1167;34.96666666666667;43.0;38.58823529411764;40.0;38.0;41.0;43.0;43.5;7;49.0;48.0;41.0;38.0;50.0;41.27777777777778;0;18;18;0;7;7;0;2;38.0;1;2;48.0;1;3;35.0;1;3;38.0;1;3;33.0;1;2;46.0;1;3;50;1;2;2;38.76470588235294
1171;33.3;48.0;37.47058823529412;33.0;25.66666666666667;34.0;45.0;42.11111111111111;7;47.0;36.0;37.0;35.0;44.0;33.86111111111111;2;18;15;3;7;6;1;2;38.0;1;2;32.0;2;3;33.0;1;3;21.5;2;3;40.0;1;2;44.0;1;3;31;1;2;2;34.52941176470588
1173;39.0;47.0;42.14705882352941;35.5;50.0;43.0;45.0;41.66666666666666;7;34.0;36.0;43.0;48.0;47.0;40.61111111111111;0;18;18;0;7;7;0;2;48.0;1;2;30.0;1;3;32.0;1;3;48.0;1;3;30.0;1;2;49.0;1;3;49;1;2;2;37.88235294117647
