NOTA_FOGEP;NOTA_EI_OP_DI;NOTA_EI_OP_CII;NOTA_EI_OP_CI;NOTA_EI_OP_AIII;NOTA_ING_ECONOMICA;VECES_FOGEP;NOTA_GRADO_UNO;NOTA_GRADO_DOS;VECES_EI_OP_DI;NOTA_EI_OP_BIII;NCP_NUEVE;NOTA_GES_CAL_VAL_SOFT;NOTA_SIS_OP;VECES_EI_OP_BIII;VECES_GRADO_UNO;VECES_EI_OP_CII;NCA_NUEVE;NAC_OCHO;NAC_NUEVE;VECES_EI_OP_CI;VECES_GRADO_DOS;VECES_GES_CAL_VAL_SOFT;VECES_EI_OP_AIII;CAR_NUEVE;NCC_NUEVE;NAA_NUEVE;EPA_NUEVE;VECES_EI_OP_AII;NAP_NUEVE;VECES_SIS_OP;NOTA_EI_OP_AII;CREDITOS_GRADO_DOS;CREDITOS_EI_OP_AIII;CREDITOS_GRADO_UNO;CREDITOS_FOGEP;CREDITOS_EI_OP_DI;CREDITOS_EI_OP_CII;PROMEDIO_SIETE;PROMEDIO_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;CREDITOS_EI_OP_BIII;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
0.0;0.0;0.0;0.0;0;41.0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;3.0;2;1;0;0;0;0;0;3.0;1;2;1;0;0;41.0;3;3;1;2;3;3;43.25;32.27777777833333;35.15384615384615;30.7;3;0.0;0.0
40.0;41.0;42.0;41.0;37;30.0;1;50;50;1;0.0;0.0;39.0;32.0;0;1;1;12.0;5;4;1;1;1;1;1;12.0;4;2;1;0;2;46.0;3;3;1;2;3;3;39.73684210526316;33.611111110555555;37.10526315789474;37.166666666666664;3;3.0;42.666666666666664
38.0;49.0;45.0;45.0;43;39.0;1;50;48;1;45.0;0.0;48.0;45.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;43.68421052631579;38.52777777777778;38.94736842105263;41.833333333333336;3;4.0;45.333333333333336
39.0;41.0;45.0;44.0;42;41.0;1;46;46;1;48.0;0.0;41.0;46.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;43.89473684210526;45.27777777777778;41.10526315789474;43.333333333333336;3;3.0;43.888888888888886
39.0;42.0;45.0;44.0;0;32.0;1;50;50;1;46.5;0.0;42.0;36.0;2;1;1;12.0;6;4;1;1;1;0;1;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;42.26315789473684;39.166666666666664;39.63157894736842;44.72222222222222;3;4.0;45.233333333333334
35.0;40.0;41.0;42.0;0;35.0;1;45;45;1;45.5;0.0;38.0;41.0;2;1;1;15.0;6;5;1;1;1;0;1;15.0;5;2;1;0;1;46.0;3;3;1;2;3;3;39.421052631578945;35.77777777777778;36.13157894736842;38.833333333333336;3;3.0;41.96666666666667
28.5;46.0;41.0;35.0;37;37.0;2;0;0;1;49.0;0.0;44.0;39.0;1;0;1;12.0;6;4;1;0;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;37.23684210526316;31.187500000625;32.05263157894737;40.388888888888886;3;3.0;41.142857142857146
37.0;31.0;40.0;42.0;40;37.0;1;50;50;1;35.0;3.0;39.0;46.0;1;1;1;9.0;6;4;1;1;1;1;1;12.0;3;2;0;1;1;0.0;3;3;1;2;3;3;41.63157894736842;34.75;36.05263157894737;37.666666666666664;3;2.0;39.55555555555556
34.0;42.0;43.0;43.0;0;20.5;1;50;50;1;39.0;0.0;37.0;38.0;2;1;1;15.0;6;5;1;1;1;0;1;15.0;5;2;1;0;1;40.0;3;3;1;2;3;3;37.94736842105263;31.52777777777778;35.05263157842105;37.55555555555556;3;3.0;42.666666666666664
37.0;41.0;37.0;42.0;39;33.0;1;50;50;1;35.0;0.0;43.0;41.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;40.31578947368421;35.166666666666664;35.526315789473685;37.888888888888886;3;3.0;40.55555555555556
