NOTA_INGECO;NOTA_DDP;NOTA_CTRL;NOTA_CONEM;NOTA_TDE;VECES_INGECO;PROMEDIO_CUATRO;VECES_IO_DOS;VECES_DDP;NAC_CINCO;NOTAS_RDC;VECES_CTRL;VECES_RDC;NOTA_IO_DOS;VECES_CONEM;NOTA_EL_DOS;VECES_CEM;VECES_TDE;NCP_CINCO;NCC_CINCO;NOTA_GENH;EPA_CINCO;VECES_INSE;NOTA_ASD;NCA_CINCO;NAA_CINCO;NOTA_INSE;NOTA_IO_UNO;NOTA_IYM;PROMEDIO_CINCO;VECES_IYM;CAR_CINCO;NOTA_CEM;NAP_CINCO;CREDITOS_TDE;CREDITOS_IO_DOS;CREDITOS_INGECO;NOTA_EE_UNO;CREDITOS_CONEM;CREDITOS_RDC;CREDITOS_DDP;CREDITOS_CTRL;RENDIMIENTO_SEIS;PROMEDIO_SEIS
43;40;31;37;43;1;36.05882352941177;1;1;6;32;1;1;35;2;41;2;1;0.0;14.0;35;2;1;39;14.0;6;42;42;46;39.285714285714285;1;1;32;0;3;2;2;0;3;2;3;2;2.0;37.76470588235294
40;41;41;33;35;1;41.529411764705884;1;1;6;38;1;1;48;1;44;1;1;0.0;14.0;33;2;1;43;14.0;6;40;47;38;39.142857142857146;1;0;36;0;3;2;2;0;3;2;3;2;2.0;38.88235294117647
40;38;38;37;34;1;41.23529411764706;1;1;6;41;1;1;48;1;44;1;1;0.0;14.0;38;2;1;44;14.0;6;36;43;44;40.357142857142854;1;0;37;0;3;2;2;0;3;2;3;2;2.0;38.88235294117647
44;48;36;30;37;1;39.05882352941177;1;1;6;43;1;1;32;1;40;1;1;0.0;14.0;38;2;1;46;14.0;6;37;42;49;42.142857142857146;1;0;39;0;3;2;2;0;3;2;3;2;2.0;38.529411764705884
32;35;32;0;0;2;38.94117647058823;0;1;6;40;1;1;0;0;39;1;0;3.0;14.0;38;2;1;41;11.0;5;36;32;43;35.57142857142857;1;0;25;1;3;2;2;0;3;2;3;2;2.0;34.77777777777778
47;50;30;36;44;1;38.470588235294116;1;1;6;42;1;1;33;1;39;1;1;0.0;14.0;35;2;1;39;14.0;6;40;42;39;39.0;1;0;39;0;3;2;2;0;3;2;3;2;3.0;40.8235294117647
34;40;35;35;44;1;37.529411764705884;1;1;6;30;2;1;37;1;48;2;1;0.0;14.0;31;2;1;44;14.0;6;39;34;32;34.42857142857143;1;1;30;0;3;2;2;0;3;2;3;2;2.0;37.0
40;42;30;31;32;2;35.1764705882353;1;1;6;43;1;1;33;1;37;1;1;0.0;14.0;37;2;1;34;14.0;6;32;33;45;36.785714285714285;1;0;36;0;3;2;2;0;3;2;3;2;2.0;35.705882352941174
43;48;41;41;34;1;42.588235294117645;1;1;6;43;1;1;43;1;40;1;1;0.0;14.0;40;2;1;48;14.0;6;46;48;45;44.0;1;0;39;0;3;2;2;0;3;2;3;2;3.0;41.705882352941174
32;47;36;36;41;1;37.64705882352941;1;1;6;43;1;2;35;2;34;1;1;0.0;14.0;38;2;1;39;14.0;6;41;43;31;36.07142857142857;2;1;30;0;3;2;2;0;3;2;3;2;2.0;39.05882352941177
39;49;34;34;38;1;37.05882352941177;1;1;6;40;1;1;31;1;39;2;1;0.0;14.0;33;2;1;38;14.0;6;38;32;45;36.214285714285715;1;2;30;0;3;2;2;0;3;2;3;2;2.0;38.294117647058826
35;41;30;44;38;1;35.76470588235294;1;1;6;30;1;1;35;1;40;2;1;0.0;14.0;37;2;1;38;14.0;6;33;34;47;38.92857142857143;1;1;40;0;3;2;2;0;3;2;3;2;2.0;37.0
31;44;2;0;0;1;36.35294117647059;1;1;6;14;1;1;36;0;37;1;0;3.0;14.0;37;1;1;31;11.0;5;38;31;32;26.857142857142858;1;0;2;1;3;2;2;0;3;2;3;2;1.0;27.09090909090909
45;41;0;0;0;2;34.588235294117645;2;1;5;0;0;0;34;0;30;3;0;4.0;12.0;0;2;1;19;8.0;3;26;31;30;30.916666666666668;1;1;43;2;3;2;2;0;3;2;3;2;3.0;40.142857142857146
30;34;26;20;38;2;37.07142857142857;0;1;5;30;1;1;0;1;36;1;1;0.0;12.0;34;2;1;35;12.0;5;38;0;35;35.583333333333336;1;0;36;0;3;2;2;0;3;2;3;2;1.0;29.866666666666667
32;40;37;37;41;1;37.411764705882355;1;1;6;43;1;1;37;2;42;1;1;0.0;14.0;35;2;1;33;14.0;6;34;35;34;33.285714285714285;2;1;30;0;3;2;2;0;3;2;3;2;2.0;38.35294117647059
32;40;30;40;38;1;35.588235294117645;1;1;6;42;1;1;37;1;36;3;1;0.0;14.0;30;2;1;30;14.0;6;30;30;43;32.785714285714285;1;2;30;0;3;2;2;0;3;2;3;2;2.0;37.411764705882355
30;43;40;36;41;2;37.0;1;1;6;40;1;1;40;1;42;1;1;0.0;14.0;33;2;1;43;14.0;6;32;48;42;39.214285714285715;1;0;37;0;3;2;2;0;3;2;3;2;2.0;38.8235294117647
33;45;0;0;0;2;32.0;0;1;3;0;0;0;0;0;37;0;0;2.0;7.0;0;2;0;26;5.0;2;0;34;42;35.142857142857146;2;1;0;1;3;2;2;0;3;2;3;2;3.0;40.2
37;36;0;0;0;1;37.23529411764706;0;1;6;0;0;0;0;0;34;2;0;7.0;14.0;21;1;1;13;7.0;3;30;39;11;25.0;1;1;37;3;3;2;2;0;3;2;3;2;2.0;36.4
39;47;44;38;39;1;39.1764705882353;1;1;6;37;1;1;40;1;39;2;1;0.0;14.0;41;2;1;30;14.0;6;33;40;39;39.214285714285715;2;2;48;0;3;2;2;0;3;2;3;2;3.0;40.705882352941174
39;50;35;44;41;1;36.529411764705884;1;1;6;39;1;1;32;2;32;1;1;0.0;14.0;39;2;1;30;14.0;6;36;36;30;33.42857142857143;1;0;32;0;3;2;2;0;3;2;3;2;3.0;40.88235294117647
