PROMEDIO_TRES;PG_ICFES;NOTA_FIS_DOS;NOTA_EL_DOS;NOTA_CAMPOS;NOTA_FCD;FISICA_ICFES;VECES_FCD;BIOLOGIA_ICFES;CON_MAT_ICFES;NOTA_PROGAPL;PROMEDIO_CUATRO;NOTA_VARCOM;NCA_TRES;NOTA_INT;NCP_CUATRO;NCA_CUATRO;NAP_CUATRO;NOTA_PYE_UNO;NCC_CUATRO;NOTA_FIS_TRES;NAC_CUATRO;NCA_DOS;VECES_PYE_UNO;VECES_PROGAPL;NAA_CUATRO;VECES_FIS_TRES;VECES_EL_DOS;VECES_VARCOM;NOTA_L_UNO;CAR_CUATRO;PROMEDIO_DOS;VECES_L_UNO;EPA_CUATRO;PROMEDIO_UNO;VECES_CAMPOS;CREDITOS_FCD;CREDITOS_VARCOM;CREDITOS_CAMPOS;CREDITOS_L_UNO;CREDITOS_PROGAPL;CREDITOS_PYE_UNO;RENDIMIENTO_CINCO;PROMEDIO_CINCO
28.529411764705884;496.04;30.0;28.0;30.0;40.0;64.0;1;62.54;55.71;40.0;35.266666666666666;45.0;5.0;30.0;5.0;10.0;2;27.5;15.0;25.0;6;15.0;2;1;4;2;2;1;0.0;3;31.058823529411764;0;2;35.833333333333336;2;3;2;2;2;3;2;2.0;36.2
36.666666666666664;484.72;35.0;0.0;0.0;0.0;56.51;0;60.25;78.22;30.0;32.0;0.0;3.0;30.0;0.0;5.0;0;35.0;5.0;0.0;2;14.0;1;1;2;0;0;0;0.0;0;30.0;0;2;36.81818181818182;0;3;2;2;2;3;2;0.0;0.0
32.35294117647059;458.0;30.0;30.0;30.0;35.0;64.0;1;58.09;60.49;35.0;31.333333333333332;25.0;17.0;22.5;2.0;13.0;1;30.0;15.0;30.0;6;11.0;1;1;5;1;2;2;0.0;2;32.64705882352941;0;2;33.333333333333336;1;3;2;2;2;3;2;2.0;37.53333333333333
31.61764705882353;457.32;35.0;29.33333333;27.5;40.0;66.74;1;53.95;58.13;45.0;36.05882352882353;32.5;11.0;30.0;5.0;12.0;2;30.0;17.0;27.5;7;17.0;1;1;5;2;3;2;45.0;3;36.3235294117647;1;2;32.083333333333336;2;3;2;2;2;3;2;2.0;37.53333333333333
30.0;469.54;27.5;21.0;25.0;35.0;58.93;1;60.25;69.99;45.0;31.08888888933333;21.66666667;9.0;30.0;7.0;8.0;3;35.0;15.0;27.5;6;14.0;1;1;3;2;2;3;0.0;3;33.38235294117647;0;1;38.75;4;3;2;2;2;3;2;1.0;15.285714285714286
34.44444444444444;451.32;30.0;35.0;30.0;45.0;66.74;1;55.99;65.16;35.0;35.666666666666664;30.0;18.0;25.0;0.0;15.0;0;35.0;15.0;30.0;6;14.0;1;1;6;1;1;1;0.0;0;31.764705882352942;0;2;37.916666666666664;1;3;2;2;2;3;2;2.0;32.43333333333333
31.764705882352942;472.69;30.0;27.5;22.5;45.0;66.74;1;60.25;72.55;40.0;33.944444444000005;23.33333333;17.0;30.0;7.0;8.0;3;40.0;15.0;30.0;6;17.0;1;1;3;1;2;3;0.0;3;35.88235294117647;0;1;37.5;2;3;2;2;2;3;2;2.0;33.5
35.833333333333336;476.82;30.0;45.0;35.0;45.0;58.93;1;62.54;72.55;45.0;40.333333333333336;30.0;18.0;30.0;0.0;15.0;0;35.0;15.0;30.0;6;17.0;1;1;6;1;1;1;0.0;0;34.705882352941174;0;2;38.75;1;3;2;2;2;3;2;3.0;40.93333333333333
26.555555555555557;475.78;35.0;4.0;25.0;40.0;66.74;1;62.54;69.99;30.0;26.133333333333333;40.0;3.0;22.5;7.0;8.0;3;20.0;15.0;27.5;6;11.0;1;1;3;2;2;1;0.0;2;28.088235294705882;0;1;35.416666666666664;3;3;2;2;2;3;2;2.0;33.07142857142857
31.470588235294116;457.21;35.0;35.0;30.0;40.0;56.51;1;58.09;78.22;35.0;35.666666666666664;45.0;14.0;30.0;2.0;13.0;1;27.5;15.0;25.0;6;17.0;2;1;5;3;1;1;0.0;1;32.94117647058823;0;2;29.583333333333332;1;3;2;2;2;3;2;2.0;39.733333333333334
