VECES_ECO;NOTA_L_UNO;NOTA_ASP;NOTA_ELECPOT;NOTA_ECO;NOTA_MAQEL;VECES_ASP;NAC_CINCO;NOTA_AUTO;NOTA_DDP;NOTAS_RDC;VECES_ELECPOT;VECES_AUTO;VECES_MAQEL;NCC_SEIS;NCA_SEIS;VECES_IO_DOS;NAC_SEIS;NOTA_CONEM;NOTA_CTRL;NAA_SEIS;NOTA_EI_UNO;NOTA_INGECO;NCP_SEIS;PROMEDIO_SEIS;PROMEDIO_CUATRO;NOTA_TDE;EPA_SEIS;VECES_DDP;VECES_EI_UNO;NAP_SEIS;VECES_L_UNO;CAR_SEIS;CREDITOS_MAQEL;CREDITOS_EI_UNO;CREDITOS_AUTO;VECES_INGECO;CREDITOS_L_UNO;CREDITOS_ASP;CREDITOS_ELECPOT;CREDITOS_ECO;RENDIMIENTO_SIETE;PROMEDIO_SIETE
1;46;42;30;34;34;1;7;39;50;41;1;1;2;17.0;17.0;1;7;30;37;7;41;38;0.0;39.0;36.11764705882353;39;2;1;1;0;1;1;3;3;2;1;2;3;3;2;2.0;37.72222222222222
1;43;42;31;35;35;1;7;30;50;44;2;1;1;17.0;17.0;1;7;43;44;7;33;35;0.0;43.64705882352941;40.76470588235294;41;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;35.5
1;42;30;44;31;31;1;7;31;45;41;1;1;1;17.0;17.0;1;7;39;40;7;47;30;0.0;40.1764705882353;41.588235294117645;39;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;36.888888888888886
1;43;41;31;37;37;1;7;34;50;42;1;1;1;17.0;17.0;1;7;37;43;7;30;35;0.0;41.11764705882353;39.411764705882355;38;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;35.833333333333336
1;37;37;30;33;33;2;7;30;40;41;1;2;1;17.0;17.0;1;7;47;33;7;38;30;0.0;39.0;36.294117647058826;44;2;1;1;0;1;1;3;3;2;1;2;3;3;2;2.0;34.111111111111114
1;42;41;34;30;30;2;7;34;49;42;1;1;1;17.0;17.0;1;7;39;31;7;36;36;0.0;40.294117647058826;36.294117647058826;41;2;1;1;0;1;1;3;3;2;1;2;3;3;2;2.0;35.27777777777778
1;47;43;32;43;43;1;7;30;40;42;1;1;2;17.0;17.0;1;7;43;43;7;37;36;0.0;38.76470588235294;37.529411764705884;34;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;39.166666666666664
1;43;34;39;33;33;1;7;31;50;39;2;1;1;17.0;17.0;1;7;35;35;7;33;37;0.0;39.05882352941177;35.88235294117647;35;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;35.05555555555556
1;42;30;34;33;33;1;7;36;44;41;1;1;1;17.0;17.0;1;7;40;43;7;45;37;0.0;40.64705882352941;39.294117647058826;43;2;1;1;0;1;1;3;3;2;1;2;3;3;2;2.0;36.0
1;40;33;31;40;40;2;7;33;45;42;2;1;1;17.0;17.0;2;7;37;38;7;34;35;0.0;38.470588235294116;34.1764705882353;32;2;1;1;0;1;2;3;3;2;1;2;3;3;2;2.0;35.55555555555556
1;46;39;31;38;38;2;7;35;47;39;2;2;2;17.0;17.0;1;7;34;37;7;35;35;0.0;39.588235294117645;37.76470588235294;42;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;37.05555555555556
2;43;47;40;42;42;1;6;36;50;42;1;1;1;17.0;17.0;1;7;35;38;7;44;33;0.0;38.94117647058823;37.35294117647059;35;2;1;1;0;2;0;3;3;2;1;2;3;3;2;3.0;42.27777777777778
0;41;0;0;0;0;0;4;0;0;0;0;0;0;2.0;2.0;0;1;0;0;1;0;31;0.0;31.0;35.333333333333336;0;2;0;0;0;1;0;3;3;2;1;2;3;3;2;3.0;41.0
1;43;30;30;31;31;3;7;38;40;40;1;2;1;17.0;17.0;1;7;34;37;7;41;36;0.0;36.94117647058823;34.588235294117645;36;2;1;1;0;1;2;3;3;2;2;2;3;3;2;2.0;34.44444444444444
1;47;36;30;41;41;1;7;33;49;40;2;1;1;17.0;17.0;1;7;36;41;7;33;38;0.0;40.94117647058823;36.05882352941177;39;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;36.77777777777778
