NUMERO;PROMEDIO_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_LENGUA_UNO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NAA_SIETE;NOTA_GRAFOS;NOTA_CALIDAD_UNO;NOTA_ERGONOMIA;NOTA_EI_CINCO;PROMEDIO_OCHO;CAR_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;NOTA_LOG_UNO;VECES_LOG_UNO;CREDITOS_LOG_UNO;NOTA_GOPERACIONES;VECES_GOPERACIONES;CREDITOS_GOPERACIONES;NOTA_CALIDAD_DOS;VECES_CALIDAD_DOS;CREDITOS_CALIDAD_DOS;NOTA_GAMBIENTAL;VECES_GAMBIENTAL;CREDITOS_GAMBIENTAL;NOTA_LENGUA_DOS;VECES_LENGUA_DOS;CREDITOS_LENGUA_DOS;NOTA_CONTEXTO;VECES_CONTEXTO;CREDITOS_CONTEXTO;NOTA_EI_SEIS;VECES_EI_SEIS;CREDITOS_EI_SEIS;NOTA_EI_SIETE;VECES_EI_SIETE;CREDITOS_EI_SIETE;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
1239;37.70588235294117;42;35.8235294117647;45.0;39.0;43.0;38.4;8;30.0;40.0;41.0;40.0;38.57142857142857;0;14;14;0;7;7;0;2;32.0;1;2;33.0;1;3;47.0;1;2;0;0;2;41.0;1;2;41.0;1;1;43.0;1;2;37.0;1;2;2;33.9
1240;41.8235294117647;50;41.70588235294117;46.0;43.47058823529412;38.0;43.2;8;50.0;45.0;44.0;35.0;44.71428571428572;0;14;14;0;7;7;0;2;42.0;1;2;48.0;1;3;46.0;1;2;0;0;2;42.0;1;2;48.0;1;1;43.0;1;2;44.0;1;2;3;42.0
1241;41.11764705882353;38;39.58823529411764;42.0;39.52941176470588;31.0;43.2;8;49.0;42.0;42.0;42.0;40.28571428571428;1;14;11;3;7;6;1;2;41.0;1;2;29.0;2;3;44.0;1;2;0;0;2;46.0;1;2;43.0;1;1;42.0;1;2;44.0;1;2;2;39.625
1244;38.1764705882353;0;40.29411764705883;47.0;40.41176470588236;49.0;42.93333333333333;8;48.0;43.0;46.0;42.0;40.14285714285715;0;14;14;0;7;7;0;2;41.0;1;2;31.0;1;3;44.0;1;2;0;0;2;44.0;1;2;49.0;1;1;40.0;1;2;41.0;1;2;3;41.13333333333333
1252;41.8235294117647;0;41.05882352941177;47.5;40.64705882352941;40.0;41.33333333333334;8;47.0;42.0;43.0;39.0;40.28571428571428;1;14;14;0;7;7;0;2;45.0;1;2;30.0;1;3;47.0;1;2;0;0;2;40.0;2;2;48.0;1;1;44.0;1;2;37.0;1;2;2;39.5
1253;34.41176470588236;50;35.76470588235294;46.0;34.38235294117647;24.5;39.26666666666667;8;43.0;43.0;31.0;33.0;39.14285714285715;0;14;14;0;7;7;0;2;38.0;1;2;34.0;1;3;39.0;1;2;0;0;2;41.0;1;2;42.0;1;1;39.0;1;2;45.0;1;2;2;36.0
1258;42.23529411764706;43;39.41176470588236;50.0;41.11764705882353;48.0;44.4;8;38.0;45.0;43.0;50.0;41.07142857142857;0;14;14;0;7;7;0;2;38.0;1;2;41.0;1;3;46.0;1;2;0;0;2;43.0;1;2;42.0;1;1;46.0;1;2;32.0;1;2;2;38.13333333333333
1261;37.35294117647059;43;39.5;45.0;40.35294117647059;50.0;42.46666666666667;8;43.0;44.0;43.0;45.0;43.64285714285715;0;14;14;0;7;7;0;2;43.0;1;2;45.0;1;3;43.0;1;2;0;0;2;45.0;1;2;40.0;1;1;42.0;1;2;45.0;1;2;2;38.57777777777778
1266;37.35294117647059;46;39.05882352941177;48.0;39.70588235294117;37.0;42.93333333333333;8;30.0;48.0;45.0;45.0;40.07142857142857;0;14;14;0;7;7;0;2;41.0;1;2;32.0;1;3;44.0;1;2;0;0;2;44.0;1;2;47.0;1;1;43.0;1;2;37.0;1;2;2;37.6875
1268;41.35294117647059;49;43.52941176470588;50.0;43.0;43.0;43.73333333333333;8;47.0;50.0;41.0;43.0;40.64285714285715;0;14;14;0;7;7;0;2;40.0;1;2;30.0;1;3;47.0;1;2;0;0;2;47.0;1;2;31.0;1;1;44.0;1;2;46.0;1;2;3;42.75
