NOTA_GEO_FIS;NOTA_L_DOS;NOTA_ECUA;CAR_CINCO;NOTA_CARTO;NOTA_LEGIC;NOTA_GEOGEO;NOTA_POO;NOTA_CFJC;NOTA_INGECO;VECES_L_DOS;NOTA_SUELOS;NOTA_FOTO;NAA_SEIS;NCA_SEIS;NOTA_HSE;NOTA_SIG;NOTA_ME;NOTA_EE_UNO;NOTA_PROGB;CAR_SEIS;VECES_CARTO;NOTA_TOP;LITERATURA_ICFES;VECES_EE_UNO;NOTAS_SISC;NCP_SEIS;VECES_BD;NCC_SEIS;NAP_SEIS;VECES_GEO_FIS;VECES_SIG;NAC_SEIS;EPA_SEIS;VECES_INGECO;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_CINCO;PROMEDIO_CUATRO;PROMEDIO_SEIS;VECES_LEGIC;CREDITOS_GEO_FIS;CREDITOS_L_DOS;CREDITOS_EE_UNO;CREDITOS_INGECO;CREDITOS_LEGIC;VECES_HSE;CREDITOS_SIG;RENDIMIENTO_SIETE;PROMEDIO_SIETE
33;43;31;1;37;42;33;35;30;37;1;30;35;7;15.0;43;37;31;47;30;0;1;35;44.91;1.0;38;0.0;1;15.0;0;1;1;7;2;1;32.94117647058823;36.333333333333336;37.5;36.8235294117647;39.4;1;3;2;2;2;2;1;3;2.0;39.6875
0;0;0;0;0;0;0;0;0;0;0;0;30;0;0.0;0;0;0;0;35;0;0;30;45.01;0.0;0;0.0;0;0.0;0;0;0;0;1;0;33.18181818181818;30.333333333333332;0.0;0.0;0.0;0;3;2;2;2;2;0;3;0.0;0.0
30;39;34;3;40;39;32;34;30;50;1;38;40;7;15.0;42;33;30;36;44;1;1;40;46.97;1.0;35;0.0;1;15.0;0;3;1;7;2;1;37.1764705882353;33.06666666666667;36.72222222222222;38.88235294117647;37.266666666666666;1;3;2;2;2;2;1;3;2.0;38.0625
33;47;40;1;42;40;32;35;45;44;1;30;40;7;15.0;46;40;30;40;30;0;1;35;64.21;1.0;43;0.0;2;15.0;0;1;1;7;2;1;32.94117647058823;36.0;38.111111111111114;37.1764705882353;40.46666666666667;1;3;2;2;2;2;1;3;2.0;36.125
35;34;33;1;36;34;33;32;34;32;1;33;39;7;15.0;47;30;33;50;30;0;1;30;68.15;1.0;38;0.0;1;15.0;0;1;1;7;2;1;32.35294117647059;33.0;35.05555555555556;35.705882352941174;36.13333333333333;1;3;2;2;2;2;1;3;2.0;37.6875
39;33;33;1;37;37;30;40;37;34;1;30;36;7;15.0;33;38;32;37;35;1;1;30;56.79;1.0;31;0.0;1;15.0;0;2;1;7;2;1;33.411764705882355;31.333333333333332;32.333333333333336;35.35294117647059;36.4;1;3;2;2;2;2;1;3;2.0;37.4375
40;45;34;0;39;43;37;30;40;47;1;40;33;7;15.0;46;42;30;44;30;1;1;30;56.57;1.0;37;0.0;1;15.0;0;2;1;7;2;1;31.176470588235293;34.333333333333336;35.111111111111114;39.529411764705884;43.333333333333336;1;3;2;2;2;2;1;3;2.0;39.125
33;47;35;1;45;44;33;40;40;36;1;35;40;7;15.0;43;41;31;46;30;1;1;30;65.59;1.0;34;0.0;1;15.0;0;2;1;7;2;1;31.176470588235293;36.666666666666664;37.666666666666664;37.529411764705884;40.733333333333334;1;3;2;2;2;2;1;3;3.0;40.375
30;47;34;1;41;39;36;32;35;49;1;32;35;7;15.0;47;41;39;42;30;0;1;35;46.97;1.0;43;0.0;1;15.0;0;1;1;7;2;1;34.294117647058826;32.666666666666664;40.611111111111114;38.470588235294116;40.93333333333333;1;3;2;2;2;2;1;3;3.0;41.5
30;36;30;3;34;31;39;34;40;30;2;30;36;7;15.0;42;31;33;44;50;3;1;30;45.12;1.0;30;0.0;1;15.0;0;1;2;7;2;3;37.8235294117647;35.0;33.166666666666664;35.470588235294116;33.8;1;3;2;2;2;2;1;3;2.0;35.1875
