NOTA_EE_DOS;NCC_CINCO;NOTA_ADMICRO;PROMEDIO_TRES;NOTA_FCD;NAP_CINCO;NOTA_VARCOM;NOTA_TFM;PROMEDIO_CINCO;VECES_ADMICRO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;NAC_CINCO;NCA_CINCO;NOTA_EL_DOS;PROMEDIO_CUATRO;NOTA_ONDAS;EPA_CINCO;NOTA_CAMPOS;BIOLOGIA_ICFES;VECES_FOU;VECES_ONDAS;NOTA_EL_TRES;CAR_CINCO;NCP_CINCO;NAA_CINCO;NOTA_FOU;VECES_EL_TRES;VECES_TFM;NOTA_PROGAPL;NOTA_FIS_DOS;VECES_EE_DOS;VECES_FCD;CREDITOS_FOU;CREDITOS_EL_TRES;CREDITOS_EE_DOS;CREDITOS_ADMICRO;RENDIMIENTO_SEIS;PROMEDIO_SEIS
50.0;15.0;30.0;31.61764705882353;40.0;0;32.5;45.0;37.53333333333333;1;457.32;58.13;66.74;6;15.0;29.33333333;36.05882352882353;36.5;2;27.5;53.95;1;2;35.0;1;0.0;6;30.0;1;1;45.0;35.0;1;1;2;3;2;3;2.0;31.464285714285715
0.0;7.0;30.0;30.0;35.0;2;21.66666667;0.0;15.285714285714286;1;469.54;69.99;58.93;3;3.0;21.0;31.08888888933333;0.0;1;25.0;60.25;2;0;0.0;1;4.0;1;8.5;0;0;45.0;27.5;1;1;2;3;2;3;1.0;15.0
0.0;15.0;27.5;34.44444444444444;45.0;2;30.0;46.0;32.43333333333333;2;451.32;65.16;66.74;6;10.0;35.0;35.666666666666664;33.0;2;30.0;55.99;1;1;40.0;1;5.0;4;40.0;1;1;35.0;30.0;1;1;2;3;2;3;1.0;26.75
48.0;15.0;24.5;31.764705882352942;45.0;2;23.33333333;47.0;33.5;2;472.69;72.55;66.74;6;10.0;27.5;33.944444444000005;30.0;2;22.5;60.25;3;1;30.0;2;5.0;4;21.0;1;1;40.0;30.0;1;1;2;3;2;3;2.0;30.142857142857142
45.0;15.0;40.0;35.833333333333336;45.0;0;30.0;48.0;40.93333333333333;1;476.82;72.55;58.93;6;15.0;45.0;40.333333333333336;45.0;2;35.0;62.54;1;1;30.0;0;0.0;6;40.0;1;1;45.0;30.0;1;1;2;3;2;3;2.0;37.5
48.0;7.0;28.5;26.555555555555557;40.0;2;40.0;0.0;33.07142857142857;2;475.78;69.99;66.74;3;2.0;4.0;26.133333333333333;0.0;2;25.0;62.54;2;0;0.0;2;5.0;1;25.0;0;0;30.0;35.0;1;1;2;3;2;3;1.0;19.0625
50.0;15.0;40.0;31.470588235294116;40.0;0;45.0;42.0;39.733333333333334;1;457.21;78.22;56.51;6;15.0;35.0;35.666666666666664;30.0;2;30.0;58.09;1;1;40.0;0;0.0;6;35.0;1;1;35.0;35.0;1;1;2;3;2;3;2.0;30.892857142857142
35.0;15.0;30.0;34.26470588235294;50.0;0;30.0;46.0;37.6;2;468.28;75.87;58.17;6;15.0;45.0;39.666666666666664;38.0;2;30.0;48.51;1;1;40.0;1;0.0;6;35.0;1;1;40.0;35.0;1;1;2;3;2;3;2.0;38.785714285714285
0.0;12.0;30.0;36.388888888888886;45.0;1;35.0;0.0;29.583333333333332;2;482.79;81.5;56.51;5;10.0;32.5;35.833333333333336;35.0;1;25.0;60.25;1;1;45.0;1;2.0;4;30.0;1;0;35.0;35.0;1;1;2;3;2;3;1.0;12.5
30.0;15.0;30.0;30.58823529411765;30.0;0;25.0;46.0;36.2;1;389.1;62.82;46.84;6;15.0;30.0;28.666666666666668;40.0;2;25.0;43.37;1;1;35.0;0;0.0;6;35.0;1;1;30.0;35.0;1;1;2;3;2;3;2.0;34.607142857142854
50.0;15.0;35.0;33.611111111111114;45.0;0;30.0;45.0;38.5;1;455.29;69.99;61.41;6;15.0;30.0;34.666666666666664;40.0;2;30.0;58.09;1;1;32.5;1;0.0;6;30.0;2;1;35.0;35.0;1;1;2;3;2;3;2.0;32.5
40.0;15.0;30.0;39.411764705882355;40.0;1;45.0;47.0;33.733333333333334;1;473.44;67.54;61.41;6;12.0;30.0;38.0;30.0;2;35.0;60.25;1;1;25.0;1;3.0;5;30.0;2;1;40.0;40.0;1;1;2;3;2;3;2.0;36.785714285714285
