GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;RENDIMIENTO_UNO;PROMEDIO_UNO
1;2;7;1;19;5;407.23;66.56;66.56;54.74;53.65;60.29;60.29;59.32;0.0;48.75;55.62;7;5;9;2;2011;1;28.34615384615385
1;2;8;1;19;5;403.54;79.59;79.59;52.29;55.44;46.27;46.27;57.23;0.0;59.25;79.81;8;3;9;3;2011;2;38.73333333333333
0;2;8;1;19;5;399.16;73.57;73.57;50.94;59.89;54.6;54.6;54.77;0.0;39.79;56.48;8;3;9;2;2011;0;0.0
0;2;1;1;19;5;399.06;63.47;63.47;57.16;51.9;64.72;64.72;51.3;0.0;48.75;77.13;12;3;9;4;2011;2;33.76666666666667
1;1;11;1;19;5;394.65;64.12;64.12;61.79;57.63;50.41;50.41;51.88;0.0;47.31;65.57;11;5;9;3;2011;2;35.4
0;1;16;1;19;5;401.89;60.6;60.6;59.37;57.63;62.45;62.45;64.45;0.0;41.63;59.21;8;3;9;3;2011;1;29.17948717948718
0;2;7;1;19;5;405.25;62.82;62.82;54.12;55.7;66.94;66.94;60.25;0.0;43.59;58.45;7;5;9;2;2011;2;32.6
0;2;11;1;19;5;383.54;70.26;70.26;60.41;54.59;50.47;50.47;53.07;0.0;39.52;83.41;11;5;9;2;2011;2;32.73333333333333
0;2;11;1;19;5;398.62;73.85;73.85;49.63;54.03;60.29;60.29;62.09;0.0;39.03;85.05;11;5;9;3;2011;2;34.33333333333334
0;2;20;1;19;5;422.22;60.6;60.6;54.74;55.44;58.25;58.25;63.88;0.0;63.11;75.52;4;4;9;2;2011;2;33.2
0;2;10;1;19;5;404.66;63.47;63.47;57.16;57.27;60.29;60.29;63.88;0.0;48.75;49.66;10;3;9;3;2011;2;31.33333333333333
0;2;11;1;19;5;403.99;64.24;64.24;57.99;54.59;54.6;54.6;55.09;0.0;58.36;72.32;11;5;9;3;2011;1;16.53846153846154
0;2;1;1;19;5;403.77;60.6;60.6;56.97;61.55;56.23;56.23;55.79;0.0;46.43;60.9;1;5;9;3;2011;2;32.84615384615385
0;2;10;1;19;5;401.22;66.56;66.56;56.97;52.28;54.28;54.28;57.8;0.0;55.62;60.44;10;3;9;2;2011;2;32.8
0;1;7;1;19;5;416.65;58.38;58.38;56.97;63.72;56.32;56.32;67.08;0.0;56.79;54.45;7;5;9;2;2011;1;29.34615384615385
