NOTA_EI_OP_AII;NOTA_GES_CAL_VAL_SOFT;NOTA_EI_OP_CI;NOTA_SIS_OP;VECES_EI_OP_AII;VECES_SIS_OP;NOTA_ING_ECONOMICA;VECES_EI_OP_CI;NAC_OCHO;VECES_GES_CAL_VAL_SOFT;VECES_EI_OP_AI;NOTA_REDES_COM_TRES;NCC_OCHO;NOTA_EI_OP_BII;VECES_EI_OP_BII;NOTA_EI_OP_AI;VECES_EI_OP_BI;CAR_OCHO;VECES_DIS_ARQ_SOFT;NOTA_CIBERNETICA_TRES;NAP_OCHO;NOTA_DIS_ARQ_SOFT;VECES_ING_ECONOMICA;EPA_OCHO;NCP_OCHO;NCA_OCHO;NAA_OCHO;CREDITOS_EI_OP_AII;CREDITOS_EI_OP_CI;CREDITOS_EI_OP_BII;CREDITOS_SIS_OP;CREDITOS_GES_CAL_VAL_SOFT;PROMEDIO_SIETE;PROMEDIO_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
0.0;0.0;39.0;0.0;0;0;30.0;1;5;0;1;0.0;14.0;47.0;1;43.0;1;1;1;34.0;1;41.0;2;2;3.0;11.0;4;3;3;3;3;3;37.3;34.111111111111114;35.81578947368421;37.2;3.0;43.0
0.0;39.0;49.0;38.0;0;1;33.0;1;6;1;1;44.0;16.0;39.0;1;42.0;1;0;1;44.0;0;49.0;1;2;0.0;16.0;6;3;3;3;3;3;43.1578947368421;39.611111111111114;38.31578947368421;40.888888888888886;3.0;41.25
0.0;43.0;44.0;40.0;0;1;44.0;1;6;1;1;48.0;16.0;39.0;1;46.0;1;0;1;45.0;0;49.0;1;2;0.0;16.0;6;3;3;3;3;3;41.578947368421055;39.22222222222222;39.78947368421053;45.44444444444444;3.0;41.5
0.0;32.0;41.0;31.0;0;1;35.0;2;6;1;1;35.0;16.0;35.0;1;40.0;1;0;1;47.0;0;49.0;1;2;0.0;16.0;6;3;3;3;3;3;34.0;36.69444444444444;36.78947368421053;33.72222222222222;2.0;34.75
0.0;41.0;49.0;44.0;0;1;41.0;1;6;1;1;47.0;16.0;47.0;1;46.0;1;0;1;50.0;0;49.0;1;2;0.0;16.0;6;3;3;3;3;3;45.94736842105263;43.333333333333336;44.78947368421053;45.0;4.0;45.25
0.0;41.0;45.0;45.0;0;1;35.0;1;6;1;1;46.0;16.0;44.0;2;43.0;1;0;1;45.0;0;48.0;1;2;0.0;16.0;6;3;3;3;3;3;41.36842105263158;36.166666666666664;37.6578947368421;36.611111111111114;3.0;43.75
35.0;42.0;49.0;49.0;1;1;39.0;1;6;1;1;47.0;16.0;48.0;1;46.0;1;0;1;50.0;0;49.0;1;2;0.0;16.0;6;3;3;3;3;3;46.05263157894737;39.833333333333336;41.421052631578945;44.44444444444444;3.0;44.6
0.0;45.0;41.0;40.0;0;1;33.0;1;6;1;2;43.0;16.0;40.0;1;29.0;3;2;1;44.0;2;42.0;1;2;6.0;10.0;4;3;3;3;3;3;37.166666666666664;33.666666666666664;34.55263157894737;37.44444444444444;3.0;41.5
0.0;40.0;39.0;31.0;0;1;30.5;2;6;1;1;36.0;16.0;40.0;1;36.0;1;1;1;42.0;0;47.0;2;2;0.0;16.0;6;3;3;3;3;3;38.45614035052632;31.52777777888889;36.421052631578945;40.19444444444444;2.0;37.5
40.0;40.0;45.0;46.0;1;1;41.0;1;6;1;1;42.0;16.0;45.0;1;39.0;1;0;1;47.0;0;47.0;1;2;0.0;16.0;6;3;3;3;3;3;43.36842105263158;33.305555555;39.0;40.77777777777778;3.0;43.2
0.0;33.5;23.5;43.0;0;1;19.0;2;5;2;1;35.0;13.0;0.0;0;42.0;0;1;1;42.0;1;33.0;2;2;2.0;11.0;4;3;3;3;3;3;34.23684210526316;34.916666666666664;36.578947368421055;33.10185185222222;2.0;33.333333333333336
0.0;33.0;45.0;35.0;0;1;33.0;1;6;1;1;41.0;16.0;37.0;1;30.0;1;0;1;44.0;0;30.0;1;2;0.0;16.0;6;3;3;3;3;3;40.21052631578947;35.05555555555556;35.89473684263158;34.52777777777778;2.0;37.5
0.0;48.0;45.0;38.0;0;1;46.0;1;5;1;1;38.0;13.0;0.0;0;44.0;0;0;1;41.0;0;48.0;1;2;0.0;13.0;5;3;3;3;3;3;40.78947368421053;38.94444444444444;35.31578947368421;40.5;3.0;43.666666666666664
0.0;38.0;45.0;41.0;0;1;42.0;1;5;1;1;38.0;13.0;50.0;1;46.0;0;0;1;41.0;0;44.0;1;2;0.0;13.0;5;3;3;3;3;3;40.63157894736842;38.22222222222222;37.3421052631579;41.833333333333336;3.0;43.5
0.0;36.0;33.0;41.0;0;1;28.0;1;6;2;1;31.0;16.0;42.0;2;46.0;1;1;1;33.0;1;42.0;2;2;2.0;14.0;5;3;3;3;3;3;36.526315789473685;38.22222222222222;30.42105263157895;39.111111111111114;2.0;38.0
0.0;50.0;40.0;43.0;0;1;42.0;1;6;1;1;48.0;16.0;44.0;1;42.0;1;0;1;42.0;0;50.0;1;2;0.0;16.0;6;3;3;3;3;3;43.578947368421055;40.166666666666664;37.28947368421053;43.388888888888886;3.0;44.25
0.0;39.0;45.0;45.0;0;1;38.0;1;5;1;1;48.0;13.0;0.0;0;46.0;0;0;1;50.0;0;45.0;1;2;0.0;13.0;5;3;3;3;3;3;42.421052631578945;39.44444444444444;37.26315789473684;42.666666666666664;3.0;43.0
48.0;38.0;45.0;40.0;1;1;41.0;1;6;1;2;43.0;16.0;36.0;1;28.0;1;1;1;46.0;1;46.0;1;2;3.0;13.0;5;3;3;3;3;3;40.73684210526316;31.833333334444447;35.94736842105263;36.388888888888886;3.0;41.4
0.0;45.0;45.0;45.0;0;1;46.0;1;5;1;1;36.0;13.0;0.0;0;45.0;0;0;1;42.0;0;46.0;1;2;0.0;13.0;5;3;3;3;3;3;43.63157894736842;38.05555555555556;40.31578947368421;41.888888888888886;3.0;45.0
0.0;50.0;43.0;41.0;0;1;41.0;1;6;1;1;48.0;16.0;44.0;1;43.0;1;0;1;43.0;0;50.0;1;2;0.0;16.0;6;3;3;3;3;3;41.578947368421055;40.77777777777778;37.18421052631579;40.666666666666664;3.0;44.5
0.0;49.0;30.0;33.0;0;1;25.5;1;5;1;1;35.0;13.0;0.0;0;46.0;0;2;1;18.0;2;43.0;2;2;4.0;9.0;3;3;3;3;3;3;41.26315789473684;35.27777777777778;39.421052631578945;40.111111111111114;2.0;37.333333333333336
0.0;43.0;35.0;32.0;0;1;37.0;1;6;1;1;39.0;16.0;9.0;3;43.0;3;2;1;23.5;2;44.0;1;2;5.0;11.0;4;3;3;3;3;3;35.06666666666667;34.52777777777778;29.57894736842105;33.155555555999996;1.0;29.75
