NOTA_FOTO;NOTA_POO;NOTA_L_DOS;NOTA_FOTOD;NOTA_AVAM;NOTA_AVAP;NOTA_EI_CUATRO;NOTA_L_TRES;NOTA_EI_UNO;NOTA_ECONOMET;NOTA_FGEP;NOTA_ECUA;NOTA_GEOGEO;NOTA_EI_TRES;NCC_OCHO;VECES_FGEP;NAC_OCHO;VECES_FOTOD;NAA_OCHO;CAR_CINCO;CAR_OCHO;VECES_EI_CUATRO;VECES_L_TRES;NCP_OCHO;NCA_OCHO;EPA_OCHO;VECES_AVAM;VECES_EI_TRES;NAP_OCHO;CREDITOS_L_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;PROMEDIO_SIETE;PROMEDIO_OCHO;CREDITOS_FOTOD;CREDITOS_FGEP;CREDITOS_EI_CUATRO;CREDITOS_AVAM;CREDITOS_EI_TRES;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
33;30;45;36;43;34;36;46;45;34;44;34;37;40;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;35.111111111111114;43.333333333333336;39.125;40.42857142857143;2;2;3;2;3;3.0;43.3
40;40;47;35;41;40;43;48;36;30;40;35;33;41;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;37.666666666666664;40.733333333333334;40.375;41.42857142857143;2;2;3;2;3;3.0;43.84615384615385
35;32;47;41;42;37;39;47;38;40;37;34;36;40;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;40.611111111111114;40.93333333333333;41.5;40.785714285714285;2;2;3;2;3;3.0;44.3
36;34;36;31;42;33;38;40;39;31;36;30;39;37;14.0;1;6;2;6;3;1;1;1;0.0;14.0;2;1;1;0;2;33.166666666666664;33.8;35.1875;37.357142857142854;2;2;3;2;3;3.0;40.53846153846154
42;43;34;40;32;36;33;34;39;41;34;30;30;43;14.0;2;6;1;6;2;1;1;1;0.0;14.0;2;1;1;0;2;34.666666666666664;35.666666666666664;38.0;36.285714285714285;2;2;3;2;3;2.0;38.3
35;50;43;32;35;40;43;44;35;38;38;30;34;45;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;38.0;40.733333333333334;39.0625;40.142857142857146;2;2;3;2;3;2.0;38.90909090909091
35;33;40;33;35;36;30;34;30;38;48;36;34;39;14.0;1;6;2;6;3;1;1;1;0.0;14.0;2;1;1;0;2;37.44444444444444;37.733333333333334;37.4375;36.214285714285715;2;2;3;2;3;3.0;42.7
40;32;36;35;46;42;37;39;48;36;45;35;32;36;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;36.55555555555556;38.06666666666667;42.9375;39.214285714285715;2;2;3;2;3;2.0;39.8
34;30;0;34;25;30;0;0;30;30;35;33;38;0;6.0;1;3;1;2;3;0;0;0;2.0;4.0;2;1;0;1;2;32.22222222222222;30.0;33.84615384615385;31.333333333333332;2;2;3;2;3;2.0;39.0
39;32;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;1;0;0;0;0.0;0.0;1;0;0;0;2;28.4;39.0;0.0;0.0;2;2;3;2;3;0.0;0.0
35;40;30;32;39;31;36;42;43;34;41;34;31;41;14.0;1;6;1;6;1;1;1;2;0.0;14.0;2;1;1;0;2;38.111111111111114;37.266666666666666;38.625;38.5;2;2;3;2;3;2.0;38.15384615384615
35;30;41;31;41;35;39;44;46;37;43;45;42;34;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;39.44444444444444;39.266666666666666;38.8125;38.357142857142854;2;2;3;2;3;2.0;37.69230769230769
40;30;0;0;0;0;0;0;0;0;0;35;38;0;0.0;0;0;0;0;1;0;0;0;0.0;0.0;1;0;0;0;2;32.75;39.125;0.0;0.0;2;2;3;2;3;0.0;0.0
36;37;36;30;38;34;37;32;37;30;41;35;30;36;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;37.166666666666664;36.666666666666664;35.75;35.785714285714285;2;2;3;2;3;2.0;37.38461538461539
36;45;42;37;46;42;32;42;47;34;35;30;33;37;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;35.388888888888886;39.666666666666664;41.4375;37.642857142857146;2;2;3;2;3;2.0;38.6
40;35;37;31;35;36;37;43;47;38;41;38;32;42;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;35.05555555555556;37.53333333333333;39.75;38.357142857142854;2;2;3;2;3;3.0;40.8
40;45;40;44;41;38;41;37;44;38;39;40;37;39;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;39.0;37.733333333333334;37.6875;40.142857142857146;2;2;3;2;3;2.0;39.92307692307692
34;0;0;0;0;0;0;0;0;0;0;25;30;0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;1;0;0;0;2;0.0;36.0;0.0;0.0;2;2;3;2;3;2.0;32.0
45;33;0;0;0;22;0;0;0;0;23;13;38;0;2.0;1;1;0;0;3;0;0;0;2.0;0.0;1;0;0;1;2;28.5;28.8;22.0;23.0;2;2;3;2;3;1.0;15.0
30;30;37;40;38;43;36;43;43;38;37;38;30;48;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;35.72222222222222;37.2;37.9375;40.57142857142857;2;2;3;2;3;3.0;40.7
36;35;43;30;36;41;36;48;43;37;38;31;38;35;14.0;1;6;1;6;3;0;1;1;0.0;14.0;2;1;1;0;2;36.55555555555556;37.4;39.4375;36.92857142857143;2;2;3;2;3;3.0;42.0
33;43;32;31;31;34;36;32;40;33;34;30;37;30;14.0;1;6;1;6;4;0;1;1;0.0;14.0;2;1;1;0;2;34.611111111111114;34.4;36.875;32.42857142857143;2;2;3;2;3;2.0;37.0
35;36;31;35;35;30;30;42;46;37;33;33;34;37;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;35.333333333333336;34.266666666666666;37.75;35.07142857142857;2;2;3;2;3;3.0;40.3
32;39;35;31;43;35;30;40;44;37;30;30;35;37;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;36.388888888888886;34.0;39.625;34.92857142857143;2;2;3;2;3;2.0;38.9
36;30;33;34;40;35;30;37;40;34;32;30;39;36;14.0;1;6;4;6;2;3;1;2;0.0;14.0;2;2;1;0;2;35.94444444444444;35.266666666666666;35.5;34.57142857142857;2;2;3;2;3;2.0;30.6
40;40;38;37;39;35;41;33;41;31;41;40;32;35;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;38.166666666666664;39.53333333333333;39.0;37.714285714285715;2;2;3;2;3;2.0;35.0
