PROMEDIO_TRES;NOTA_TFM;NOTA_VARCOM;NOTA_COMANA;CON_MAT_ICFES;PROMEDIO_CINCO;NOTA_CCON;VECES_ADMICRO;VECES_COMANA;VECES_DDM;PROMEDIO_SEIS;PG_ICFES;NAC_SEIS;NAA_SEIS;NOTA_MOYGE;NOTAS_SYS;NOTA_ADMICRO;NOTA_FCD;NOTA_L_DOS;NCP_SEIS;VECES_L_DOS;CAR_SEIS;VECES_SYS;NOTA_DDM;NCC_CINCO;NCA_SEIS;NAP_SEIS;NAP_CINCO;NOTA_EE_TRES;NCC_SEIS;EPA_SEIS;VECES_COYGE;NOTA_EE_DOS;VECES_CCON;CREDITOS_SYS;CREDITOS_EE_TRES;VECES_EE_TRES;CREDITOS_COYGE;RENDIMIENTO_SIETE;PROMEDIO_SIETE
36.1764705882353;42.0;45.0;30.0;72.55;39.333333333333336;40.0;1;1;1;28.428571428571427;492.98;6;5;30.0;35.0;30.0;40.0;0.0;2.0;0;0;1;36.0;15.0;12.0;1;0;0.0;14.0;1;1;50.0;1;2;2;1;3;2.0;33.958333333333336
27.63888888888889;0.0;20.0;0.0;67.77;18.0;35.0;1;0;0;11.666666666666666;483.31;2;1;0.0;0.0;30.0;45.0;0.0;2.0;0;0;0;0.0;5.0;1.0;1;1;0.0;3.0;1;0;0.0;1;2;2;1;3;0.0;0.0
32.22222222222222;0.0;15.0;0.0;69.99;9.0;40.0;1;0;0;13.333333333333334;480.69;2;1;0.0;0.0;15.0;45.0;0.0;2.0;0;0;0;0.0;5.0;1.0;1;2;0.0;3.0;1;0;0.0;1;2;2;1;3;1.0;25.0
39.72222222222222;50.0;30.0;39.0;69.99;42.13333333333333;40.0;1;1;1;32.285714285714285;461.56;6;5;30.0;50.0;35.0;40.0;0.0;2.0;0;0;1;35.0;15.0;12.0;1;0;0.0;14.0;2;1;50.0;1;2;2;1;3;2.0;40.0
31.029411764705884;41.0;35.0;25.5;78.22;32.666666666666664;40.0;2;2;1;31.5;488.45;6;4;27.5;30.0;27.5;50.0;0.0;6.0;0;2;1;30.0;15.0;8.0;2;2;46.0;14.0;2;2;40.0;1;2;2;1;3;2.0;31.25
33.73529411764706;0.0;23.33333333;20.33333333;62.82;24.138888887500002;35.0;1;3;1;23.60606060454546;464.66;5;2;0.0;20.33333333;35.0;40.0;0.0;7.0;0;2;3;41.0;12.0;4.0;3;4;0.0;11.0;1;0;0.0;1;2;2;1;3;1.0;20.458333333333332
32.44444444444444;44.0;30.0;38.0;78.22;39.8;45.0;1;1;1;33.5;467.75;6;5;30.0;35.0;45.0;50.0;0.0;2.0;0;0;1;50.0;15.0;12.0;1;0;0.0;14.0;2;1;45.0;1;2;2;1;3;2.0;38.0
32.8235294117647;0.0;30.0;27.66666667;75.27;32.819444444999995;35.0;1;3;2;31.321428572142857;493.74;6;3;29.0;35.0;40.0;45.0;0.0;9.0;0;3;1;22.5;12.0;5.0;3;3;48.0;14.0;1;2;41.0;1;2;2;1;3;2.0;32.444444444999995
31.833333333333332;0.0;15.0;0.0;72.55;0.0;35.0;0;0;0;11.666666666666666;482.48;2;1;0.0;0.0;0.0;25.0;0.0;2.0;0;0;0;0.0;2.0;1.0;1;1;0.0;3.0;1;0;0.0;1;2;2;1;3;1.0;15.0
32.638888888888886;48.0;30.0;30.0;85.28;38.266666666666666;40.0;1;1;1;26.428571428571427;475.58;6;5;30.0;30.0;30.0;45.0;0.0;2.0;0;0;1;30.0;15.0;12.0;1;0;0.0;14.0;1;1;50.0;1;2;2;1;3;2.0;36.333333333333336
37.0;46.0;40.0;35.0;85.28;38.2;45.0;1;1;1;31.785714285714285;448.7;6;5;30.0;35.0;35.0;40.0;0.0;2.0;0;0;1;45.0;15.0;12.0;1;0;0.0;14.0;2;1;45.0;1;2;2;1;3;3.0;41.666666666666664
29.117647058235292;0.0;24.4;24.0;78.22;22.383333334;40.0;2;1;1;24.714285714285715;443.18;6;3;37.0;9.0;27.5;35.0;0.0;7.0;0;0;1;35.0;10.0;7.0;3;3;0.0;14.0;1;1;0.0;1;2;2;1;3;1.0;30.0
35.833333333333336;46.0;30.0;35.0;67.54;36.53333333333333;45.0;1;1;1;31.785714285714285;486.36;6;5;35.0;35.0;50.0;40.0;0.0;2.0;0;0;1;40.0;15.0;12.0;1;1;0.0;14.0;2;1;0.0;1;2;2;1;3;3.0;40.166666666666664
38.888888888888886;47.0;30.0;23.5;69.99;40.03333333333333;40.0;2;2;1;33.25;441.32;6;5;30.0;30.0;22.5;40.0;0.0;3.0;0;1;1;35.0;15.0;11.0;1;1;50.0;14.0;2;1;50.0;1;2;2;1;3;2.0;32.166666666666664
38.611111111111114;47.0;45.0;35.0;72.55;38.93333333333333;35.0;1;1;1;31.428571428571427;460.18;6;5;35.0;30.0;40.0;40.0;0.0;2.0;0;0;1;45.0;15.0;12.0;1;0;0.0;14.0;2;1;39.0;1;2;2;1;3;2.0;36.25
33.529411764705884;47.0;45.0;29.0;65.16;35.333333333333336;40.0;1;2;2;34.0;462.42;6;4;35.0;45.0;30.0;45.0;0.0;6.0;0;2;1;26.0;15.0;8.0;2;0;38.0;14.0;2;1;30.0;1;2;2;1;3;2.0;35.75
31.527777778333334;49.0;35.0;37.0;72.55;39.2;40.0;1;1;1;35.357142857142854;476.68;6;5;42.0;40.0;35.0;35.0;0.0;2.0;0;0;1;46.0;15.0;12.0;1;0;0.0;14.0;2;1;44.0;1;2;2;1;3;2.0;38.25
15.0;0.0;0.0;0.0;75.27;0.0;40.0;0;0;0;13.333333333333334;451.99;2;1;0.0;0.0;0.0;32.5;0.0;2.0;0;0;0;0.0;2.0;1.0;1;1;0.0;3.0;1;0;0.0;1;2;2;1;3;0.0;0.0
27.352941177058824;30.0;30.0;35.0;69.99;31.366666666666667;40.0;2;1;1;28.785714285714285;426.6;6;5;32.0;31.5;27.5;30.0;0.0;2.0;0;1;2;33.0;15.0;12.0;1;3;0.0;14.0;1;1;47.0;1;2;2;1;3;2.0;31.666666666666668
32.76470588235294;0.0;30.0;5.0;72.55;27.5;35.0;2;1;1;16.821428571428573;458.17;6;3;8.5;32.0;30.0;45.0;0.0;8.0;0;1;1;32.0;12.0;6.0;3;1;0.0;14.0;1;2;40.0;1;2;2;1;3;1.0;24.333333333333332
27.441176470588236;0.0;35.0;0.0;58.13;7.142857142857143;45.0;1;0;0;15.0;450.4;2;1;0.0;0.0;10.0;30.0;0.0;2.0;0;0;0;0.0;7.0;1.0;1;3;0.0;3.0;1;0;0.0;1;2;2;1;3;0.0;0.0
28.970588235294116;41.0;30.0;31.0;70.42;36.56666666666667;40.0;2;1;1;38.285714285714285;487.75;6;6;37.0;46.0;27.5;30.0;0.0;0.0;0;0;1;38.0;15.0;14.0;0;1;43.0;14.0;2;1;48.0;1;2;2;1;3;2.0;30.493055555
28.08823529411765;43.0;22.5;19.5;75.27;40.06666666666667;40.0;1;2;1;34.107142857142854;510.79;6;5;41.0;30.0;40.0;30.0;0.0;3.0;0;1;1;32.0;15.0;11.0;1;0;50.0;14.0;2;1;49.0;1;2;2;1;3;1.0;29.499999999166665
31.176470588235293;41.0;30.0;32.0;58.15;37.766666666666666;30.0;1;1;1;33.857142857142854;468.8;6;5;43.0;45.0;40.0;35.0;0.0;2.0;0;0;1;43.0;15.0;12.0;1;0;0.0;14.0;2;1;43.0;1;2;2;1;3;2.0;33.666666666666664
