CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;ANO_INGRESO;FILOSOFIA_ICFES;APT_VERB_ICFES;FISICA_ICFES;MUNICIPIO;GENERO;APT_MAT_ICFES;LOCALIDAD;DEPARTAMENTO;SOCIALES_ICFES;ESTRATO;CALENDARIO;TIPO_COLEGIO;DISTANCIA;INSCRIPCION;CORTE_INGRESO;RENDIMIENTO_UNO;PROMEDIO_UNO
74.62;68.41;11;72.69;72.45;449.71;53.5;2011;53.93;53.5;66.68;19;0;74.62;11;5;0;3;1;2;5;10;1;2.0;33.361111111111114
79.26;56.82;8;61.28;64.44;457.79;56.55;2011;69.52;56.55;57.4;19;0;79.26;8;5;0;3;1;2;3;10;1;2.0;35.44444444444444
58.05;50.87;22;66.77;64.44;464.19;67.8;2011;65.24;67.8;69.72;237;0;58.05;22;15;0;2;1;1;6;10;1;1.0;28.26851851777778
75.41;54.92;20;58.6;59.52;444.74;59.4;2011;63.68;59.4;63.65;225;0;75.41;20;15;0;4;1;1;6;10;1;1.0;18.0
75.41;53.73;7;55.09;69.14;453.92;70.87;2011;63.68;70.87;57.57;19;0;75.41;7;5;0;2;1;1;5;10;1;2.0;31.583333333333332
63.02;71.53;20;65.98;71.97;460.09;70.74;2011;59.66;70.74;63.86;244;0;63.02;20;34;0;2;1;1;6;10;1;2.0;30.2
68.39;64.7;9;71.9;63.93;458.29;62.11;2011;62.46;62.11;66.93;19;0;68.39;9;5;0;4;1;2;4;10;1;2.0;32.588235294117645
55.62;52.54;18;47.48;66.99;406.24;62.11;2011;56.82;62.11;63.65;19;0;55.62;18;5;0;2;1;1;3;6;1;2.0;34.333333333333336
55.62;68.41;12;61.28;54.61;455.53;73.83;2011;65.24;73.83;72.78;19;0;55.62;8;5;0;2;1;2;3;10;1;1.0;18.0
60.51;68.41;14;79.57;66.99;461.66;64.91;2011;59.66;64.91;69.72;19;1;60.51;9;5;0;3;1;2;4;10;1;2.0;35.333333333333336
71.35;59.21;5;68.87;66.48;462.02;62.11;2011;65.24;62.11;60.76;0;1;71.35;5;0;0;2;0;0;6;10;1;2.0;35.24074074000001
121.49;47.21;16;67.71;63.27;453.94;53.22;2011;32.22;53.22;72.97;19;0;121.49;16;5;0;3;1;2;2;10;3;2.0;32.46666666666667
110.39;77.13;14;63.88;61.2;480.41;64.72;2011;60.48;64.72;62.03;0;0;110.39;8;0;0;3;0;0;3;10;3;3.0;41.22222222222222
64.12;79.81;2;62.09;83.48;465.36;70.13;2011;61.84;70.13;64.28;19;1;64.12;11;5;0;3;1;1;5;10;3;2.0;32.50000000055556
76.37;50.86;9;58.75;56.77;419.71;56.18;2011;46.1;56.18;73.47;0;0;76.37;9;0;0;3;0;0;4;10;3;2.0;39.05555555555556
89.86;55.84;13;51.92;48.97;414.59;59.48;2011;48.41;59.48;54.12;19;0;89.86;12;5;0;3;1;2;3;10;3;1.0;1.0
81.47;70.18;15;61.54;61.4;427.11;60.16;2011;48.76;60.16;55.29;0;0;81.47;4;0;0;3;0;0;4;10;3;2.0;37.6875
69.96;77.13;10;53.24;50.15;415.3;62.45;2011;48.75;62.45;64.55;0;0;69.96;10;0;0;3;0;0;3;10;3;2.0;31.624999999375
72.11;70.18;20;71.7;54.54;427.46;60.16;2011;49.23;60.16;61.23;0;0;72.11;20;0;0;2;0;0;6;10;3;1.0;28.97222222222222
87.61;59.9;6;51.93;56.66;418.55;58.25;2011;56.94;58.25;50.84;0;0;87.61;6;0;0;2;0;0;5;10;3;2.0;37.166666666666664
79.59;71.53;11;62.09;66.12;427.9;50.41;2011;59.25;50.41;56.97;19;0;79.59;11;5;0;2;1;2;5;10;3;2.0;38.111111111111114
76.65;59.9;20;54.13;53.09;412.59;54.32;2011;48.76;54.32;60.45;0;0;76.65;20;0;0;2;0;0;6;10;3;2.0;37.27777777777778
74.79;66.03;5;51.3;55.44;416.15;60.38;2011;59.25;60.38;59.57;19;0;74.79;5;5;0;2;1;1;6;10;3;2.0;34.22222222222222
73.85;85.05;20;53.82;63.72;412.76;56.23;2011;53.3;56.23;61.79;245;0;73.85;10;15;0;3;1;2;3;10;3;3.0;41.72222222222222
74.79;47.58;5;49.94;52.28;395.97;54.35;2011;44.91;54.35;64.28;19;0;74.79;4;5;0;1;1;1;4;10;3;2.0;32.5
57.88;79.4;20;64.45;59.53;423.49;64.72;2011;46.43;64.72;64.28;223;0;57.88;20;15;0;2;1;1;6;10;3;1.0;23.133333333333333
72.63;50.86;18;64.43;59.1;424.04;68.38;2011;46.38;68.38;50.41;19;1;72.63;18;5;0;3;3;1;3;10;3;2.0;36.6
74.79;66.95;20;59.32;59.17;407.54;52.4;2011;47.31;52.4;57.16;106;0;74.79;20;15;0;3;1;1;6;10;3;2.0;32.56666666666667
73.76;65.1;8;53.07;70.81;415.93;54.54;2011;53.46;54.54;53.11;19;0;73.76;8;5;0;3;1;2;3;10;3;1.0;22.433333333333334
69.18;55.84;4;60.0;46.0;409.27;60.56;2011;55.82;60.56;59.61;0;0;69.18;7;0;0;2;0;0;5;10;3;1.0;16.454545454545453
69.96;69.93;10;73.69;55.8;423.0;58.25;2011;51.03;58.25;54.57;19;0;69.96;19;5;0;1;1;1;5;10;3;2.0;38.611111111111114
69.96;54.45;22;59.89;66.12;407.57;60.29;2011;39.03;60.29;54.57;237;0;69.96;22;15;0;3;1;1;6;10;3;1.0;10.2
76.65;53.32;15;51.9;53.09;401.92;52.42;2011;56.47;52.42;55.29;0;0;76.65;15;0;0;3;0;0;3;10;3;3.0;42.166666666666664
84.71;59.21;8;53.82;52.28;395.05;56.23;2011;46.43;56.23;49.63;19;0;84.71;8;5;0;3;1;2;3;10;3;2.0;32.37777777866667
69.96;75.52;20;57.8;57.63;411.63;60.29;2011;55.62;60.29;54.57;238;0;69.96;20;15;0;3;1;2;6;10;3;1.0;6.333333333333333
66.56;71.53;1;55.21;57.27;385.66;52.31;2011;39.03;52.31;67.16;19;0;66.56;11;5;0;4;3;2;5;10;3;1.0;7.6
63.47;77.13;8;57.23;59.17;409.43;50.31;2011;53.3;50.31;62.03;0;0;63.47;8;0;0;2;0;0;3;10;3;1.0;11.266666666666667
63.47;77.55;22;64.45;57.63;417.51;64.72;2011;48.75;64.72;54.57;237;0;63.47;16;15;0;3;1;2;2;10;3;1.0;13.533333333333333
62.82;83.41;21;65.0;59.25;418.04;57.32;2011;50.76;57.32;56.51;19;0;62.82;5;5;0;2;1;2;6;10;3;0.0;0.0
64.12;62.13;10;57.23;59.17;411.91;58.33;2011;54.39;58.33;57.16;19;0;64.12;10;5;0;2;1;1;3;10;3;2.0;37.111111111111114
65.86;61.22;7;56.48;50.86;407.04;56.18;2011;54.22;56.18;58.25;0;0;65.86;7;0;0;2;0;0;5;10;3;2.0;39.333333333333336
78.55;56.82;20;62.09;59.53;404.08;52.31;2011;53.3;52.31;52.14;203;0;78.55;20;15;0;2;1;1;6;10;3;1.0;15.1222222228
72.36;48.86;5;56.34;52.9;405.51;55.41;2011;51.08;55.41;53.05;0;0;72.36;5;0;0;2;0;0;6;10;3;2.0;38.18181818181818
64.12;62.94;11;51.88;57.63;391.58;58.33;2011;42.41;58.33;61.79;19;0;64.12;1;5;0;3;1;2;5;10;3;2.0;34.111111111111114
70.78;54.45;10;51.88;66.12;410.57;60.38;2011;54.39;60.38;49.63;19;0;70.78;10;5;0;2;1;1;3;10;3;2.0;37.833333333333336
65.46;73.93;3;61.6;50.78;387.5;56.37;2011;37.12;56.37;63.99;0;0;65.46;5;0;0;1;0;0;6;10;3;2.0;35.833333333333336
64.12;71.53;10;59.32;50.15;405.41;64.85;2011;54.39;64.85;57.16;19;0;64.12;10;5;0;3;1;1;3;10;3;2.0;31.11111111111111
72.11;57.27;11;47.62;52.62;387.04;56.18;2011;41.99;56.18;56.13;0;0;72.11;11;0;0;3;0;0;5;10;3;2.0;30.962962962222225
67.28;65.57;4;47.96;48.76;385.76;58.33;2011;52.03;58.33;61.79;19;1;67.28;4;5;0;2;1;1;4;10;3;2.0;31.212962962777777
67.28;81.98;5;55.79;63.72;398.89;54.35;2011;47.31;54.35;56.97;19;0;67.28;8;5;0;2;1;1;3;10;3;2.0;35.833333333333336
60.2;54.64;7;54.13;47.66;385.23;51.71;2011;48.76;51.71;69.57;0;0;60.2;19;0;0;3;0;0;5;10;3;1.0;28.233333333333334
60.6;71.53;15;62.09;61.55;410.47;58.25;2011;53.3;58.25;56.97;19;0;60.6;15;5;0;3;1;1;3;10;3;1.0;26.733333333333334
70.78;73.68;12;55.21;57.27;390.63;48.38;2011;42.41;48.38;57.16;19;0;70.78;12;5;0;3;1;2;3;10;3;2.0;33.55555555555556
60.6;54.45;20;59.89;66.12;402.45;54.28;2011;46.43;54.28;59.37;246;0;60.6;1;12;0;2;1;1;5;10;3;1.0;8.333333333333334
65.93;70.18;8;58.91;61.4;403.6;52.56;2011;48.76;52.56;55.29;0;0;65.93;19;0;0;2;0;0;5;10;3;2.0;33.1764705882353
60.6;68.41;2;62.09;52.28;409.44;56.23;2011;63.11;56.23;59.37;19;0;60.6;13;5;0;3;1;1;1;10;3;1.0;25.2
60.6;75.1;8;53.24;61.2;407.45;60.29;2011;55.62;60.29;54.74;19;0;60.6;8;5;0;2;1;1;3;10;3;1.0;26.0
72.63;54.64;9;61.54;53.09;398.77;60.16;2011;48.76;60.16;50.41;0;0;72.63;9;0;0;2;0;0;4;10;3;2.0;35.8
70.78;64.24;20;55.21;63.39;401.38;62.55;2011;44.91;62.55;47.15;221;0;70.78;20;21;0;2;1;1;6;10;3;2.0;38.166666666666664
67.77;57.84;10;59.24;49.26;409.21;53.3;2011;56.09;53.3;51.55;19;0;67.77;2;5;0;3;1;1;1;10;3;2.0;31.636363636363637
74.79;53.27;20;55.21;59.17;385.38;46.27;2011;39.78;46.27;54.74;221;0;74.79;18;21;0;2;1;1;3;10;3;1.0;26.533333333333335
62.82;83.41;7;58.09;54.01;394.0;61.76;2011;41.05;61.76;56.51;19;0;62.82;7;5;0;2;1;2;5;10;3;1.0;16.636363636363637
64.12;85.05;6;59.32;57.27;389.06;52.4;2011;36.96;52.4;59.57;0;0;64.12;7;0;0;1;0;0;5;10;3;2.0;38.611111111111114
62.92;59.9;10;54.16;54.64;386.21;50.6;2011;37.34;50.6;60.87;0;0;62.92;10;0;0;3;0;0;3;10;3;2.0;32.22222222222222
64.12;68.86;20;59.32;53.65;409.16;58.33;2011;49.69;58.33;49.76;50;1;64.12;20;23;0;2;1;1;6;10;3;2.0;34.77777777777778
72.11;50.86;10;61.6;52.62;402.88;60.16;2011;49.23;60.16;46.41;0;0;72.11;10;0;0;2;0;0;3;10;3;1.0;17.933333333333334
69.96;56.82;20;59.89;55.8;394.66;54.28;2011;48.75;54.28;52.14;247;0;69.96;9;15;0;2;1;1;4;10;3;2.0;30.1354166675
60.6;85.05;10;53.24;55.44;402.52;67.19;2011;58.0;67.19;52.29;0;0;60.6;11;0;0;3;0;0;5;10;3;1.0;27.352941176470587
