NUMERO;PROMEDIO_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_TEXTOS;NOTA_EE_UNO;PROMEDIO_DOS;NCC_DOS;NCA_DOS;NAA_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_PBASICA;NOTA_EE_DOS;CAR_TRES;NCC_TRES;NCA_TRES;NCP_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;NOTA_MULTIVARIADO;VECES_MULTIVARIADO;CREDITOS_MULTIVARIADO;NOTA_ESTADISTICA_UNO;VECES_ESTADISTICA_UNO;CREDITOS_ESTADISTICA_UNO;NOTA_TERMODINAMICA;VECES_TERMODINAMICA;CREDITOS_TERMODINAMICA;NOTA_TGS;VECES_TGS;CREDITOS_TGS;NOTA_ETICA;VECES_ETICA;CREDITOS_ETICA;NOTA_PORIENTADA;VECES_PORIENTADA;CREDITOS_PORIENTADA;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
494;34.06666666666667;6;26.25;35.0;33.0;50.0;36.58823529411764;17;17;7;36.0;32.0;35.0;41.0;43.0;1;18;15;3;7;6;1;2;28.33333333333333;3;3;31.0;1;3;34.0;1;3;40.0;1;2;40.0;1;2;41.0;1;3;42.0;1;2;2;34.88888888888889
495;28.86363636363636;4;30.0;35.0;0.0;0.0;23.84615384615385;13;4;2;25.0;20.0;0.0;30.0;0.0;0;2;2;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;40.0;1;2;0.0;0;3;0.0;0;2;0;0.0
498;31.33333333333333;6;22.5;35.0;35.0;40.0;30.80882352941176;17;8;4;27.5;19.75;30.0;40.0;43.0;1;4;4;0;2;2;0;2;0.0;0;3;0.0;0;3;0.0;0;3;32.0;2;2;40.0;1;2;0.0;0;3;0.0;0;2;1;24.0
500;18.11538461538462;2;25.0;10.25;3.5;0.0;9.15;10;1;1;1.0;9.5;0.0;0.0;0.0;0;2;2;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;40.0;1;2;0.0;0;3;0.0;0;2;0;0.0
501;40.0;5;45.0;40.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;2;2;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;45.0;1;2;0.0;0;3;0.0;0;2;0;0.0
503;35.0;5;35.0;40.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;2;2;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;40.0;1;2;0.0;0;3;0.0;0;2;0;0.0
504;23.63636363636364;3;15.0;30.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;2;2;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;40.0;1;2;0.0;0;3;0.0;0;2;0;0.0
505;39.2;7;35.0;40.0;50.0;44.0;38.64705882352941;17;17;7;35.0;35.0;35.0;50.0;41.0;0;18;18;0;7;7;0;2;35.0;1;3;45.0;1;3;35.0;1;3;35.0;1;2;45.0;1;2;50.0;1;3;42.0;1;2;2;38.0
507;40.06666666666667;7;35.0;35.0;50.0;43.0;35.76470588235294;17;17;7;30.0;30.0;35.0;40.0;39.0;0;18;18;0;7;7;0;2;30.0;1;3;39.0;1;3;30.0;1;3;35.0;1;2;45.0;1;2;30.0;1;3;42.0;1;2;2;39.11111111111111
508;23.18181818181818;3;15.0;30.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;2;2;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;40.0;1;2;0.0;0;3;0.0;0;2;0;0.0
509;25.13333333333333;4;22.5;30.0;5.0;41.0;17.05;15;0;0;10.5;17.75;0.0;27.0;27.0;0;4;4;0;2;2;0;2;0.0;0;3;0.0;0;3;0.0;0;3;31.0;1;2;40.0;1;2;0.0;0;3;0.0;0;2;1;30.0
510;41.8;7;40.0;40.0;45.0;46.0;42.05882352941177;17;17;7;40.0;40.0;40.0;50.0;40.0;0;18;18;0;7;7;0;2;40.0;1;3;45.0;1;3;40.0;1;3;35.0;1;2;45.0;1;2;50.0;1;3;45.0;1;2;3;40.11111111111111
511;32.85555555555555;5;23.33333333333333;35.0;40.0;41.0;35.5;17;17;7;32.5;30.0;35.0;40.0;48.0;1;18;18;0;7;7;0;2;32.0;1;3;34.0;1;3;30.5;2;3;41.0;1;2;40.0;1;2;40.0;1;3;42.0;1;2;2;35.44444444444444
