METRICA|VALOR|MODELO|TIPO_DE_DATOS
Indice Kappa de Cohen|46.61|StackingLineal|Entrenamiento
Mejores Hiperparametros|Estimador: Adaboost, Hiperparametros: {'algorithm': 'SAMME.R', 'estimator': None, 'learning_rate': 0.0015, 'n_estimators': 36, 'random_state': None}, Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.85, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 1, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 4, 'splitter': 'best'}|StackingLineal|Hiperparametros del modelo
Precision|56.18|Stackingnolineal|Prueba
Exhaustividad|63.18|Stackingnolineal|Prueba
Puntuacion F1|55.52|Stackingnolineal|Prueba
Exactitud|63.18|Stackingnolineal|Prueba
Informacion Mutua Normalizada (NMI)|0.48|Stackingnolineal|Prueba
Indice Kappa de Cohen|4.83|Stackingnolineal|Prueba
Precision|80.33|Stackingnolineal|Entrenamiento
Exhaustividad|83.7|Stackingnolineal|Entrenamiento
Puntuacion F1|81.41|Stackingnolineal|Entrenamiento
Exactitud|83.7|Stackingnolineal|Entrenamiento
Informacion Mutua Normalizada (NMI)|40.15|Stackingnolineal|Entrenamiento
Indice Kappa de Cohen|64.86|Stackingnolineal|Entrenamiento
Mejores Hiperparametros|Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.85, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 1, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 4, 'splitter': 'best'}|Stackingnolineal|Hiperparametros del modelo
Precision|56.97|VotingWeighted|Prueba
Exhaustividad|64.18|VotingWeighted|Prueba
Puntuacion F1|53.53|VotingWeighted|Prueba
Exactitud|64.18|VotingWeighted|Prueba
Informacion Mutua Normalizada (NMI)|0.42|VotingWeighted|Prueba
Indice Kappa de Cohen|3.22|VotingWeighted|Prueba
Precision|73.12|VotingWeighted|Entrenamiento
Exhaustividad|66.48|VotingWeighted|Entrenamiento
Puntuacion F1|57.21|VotingWeighted|Entrenamiento
Exactitud|66.48|VotingWeighted|Entrenamiento
Informacion Mutua Normalizada (NMI)|11.0|VotingWeighted|Entrenamiento
Indice Kappa de Cohen|16.56|VotingWeighted|Entrenamiento
Precision|54.08|SuperAprendiz|Prueba
Exhaustividad|62.69|SuperAprendiz|Prueba
Puntuacion F1|54.16|SuperAprendiz|Prueba
Exactitud|62.69|SuperAprendiz|Prueba
Informacion Mutua Normalizada (NMI)|0.36|SuperAprendiz|Prueba
Indice Kappa de Cohen|2.63|SuperAprendiz|Prueba
Precision|80.19|SuperAprendiz|Entrenamiento
Exhaustividad|81.21|SuperAprendiz|Entrenamiento
Puntuacion F1|78.33|SuperAprendiz|Entrenamiento
Exactitud|81.21|SuperAprendiz|Entrenamiento
Informacion Mutua Normalizada (NMI)|38.43|SuperAprendiz|Entrenamiento
Indice Kappa de Cohen|57.72|SuperAprendiz|Entrenamiento
Mejores Hiperparametros|Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.85, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 1, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 4, 'splitter': 'best'}, Estimador: Gradient, Hiperparametros: {'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}|SuperAprendiz|Hiperparametros del modelo
Precision|56.68|SuperAprendizdoscapas|Prueba
Exhaustividad|63.85|SuperAprendizdoscapas|Prueba
